Episode no = 3100; won: False; iter_time_steps = 11; Q(s,a) = -15.68835070937971; score = -510.0; mean_score/100_episodes = -510.39; reward = -510.0; mean_reward/100_episodes = -510.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-10 09:07:47
Episode no = 3200; won: False; iter_time_steps = 15; Q(s,a) = -15.621996361804296; score = -504.0; mean_score/100_episodes = -511.11; reward = -514.0; mean_reward/100_episodes = -511.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-10 09:07:57
Episode no = 3300; won: False; iter_time_steps = 9; Q(s,a) = -15.756510430142109; score = -508.0; mean_score/100_episodes = -510.13; reward = -508.0; mean_reward/100_episodes = -510.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-10 09:08:06
Episode no = 3400; won: False; iter_time_steps = 29; Q(s,a) = -16.00274314844851; score = -518.0; mean_score/100_episodes = -510.32; reward = -517.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-10 09:08:15
Episode no = 3500; won: False; iter_time_steps = 20; Q(s,a) = -15.936704752433304; score = -519.0; mean_score/100_episodes = -510.29; reward = -519.0; mean_reward/100_episodes = -510.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-10 09:08:25
Episode no = 3600; won: False; iter_time_steps = 7; Q(s,a) = -15.8931201837795; score = -506.0; mean_score/100_episodes = -510.17; reward = -506.0; mean_reward/100_episodes = -510.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-10 09:08:35
Episode no = 3700; won: False; iter_time_steps = 7; Q(s,a) = -16.8146709009565; score = -506.0; mean_score/100_episodes = -510.66; reward = -506.0; mean_reward/100_episodes = -510.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-10 09:08:45
Episode no = 3800; won: False; iter_time_steps = 20; Q(s,a) = -16.579000991346582; score = -519.0; mean_score/100_episodes = -510.0; reward = -519.0; mean_reward/100_episodes = -509.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-10 09:08:54
Episode no = 3900; won: False; iter_time_steps = 6; Q(s,a) = -16.78080270964206; score = -505.0; mean_score/100_episodes = -510.11; reward = -505.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-10 09:09:03
Episode no = 4000; won: False; iter_time_steps = 5; Q(s,a) = -17.701503085482926; score = -504.0; mean_score/100_episodes = -509.42; reward = -504.0; mean_reward/100_episodes = -509.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-10 09:09:13
Episode no = 4100; won: False; iter_time_steps = 8; Q(s,a) = -17.598319873622046; score = -507.0; mean_score/100_episodes = -509.81; reward = -507.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-10 09:09:21
Episode no = 4200; won: False; iter_time_steps = 7; Q(s,a) = -18.065470399995494; score = -506.0; mean_score/100_episodes = -510.78; reward = -506.0; mean_reward/100_episodes = -510.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-10 09:09:32
Episode no = 4300; won: False; iter_time_steps = 10; Q(s,a) = -17.73900613041198; score = -509.0; mean_score/100_episodes = -510.42; reward = -509.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-10 09:09:43
Episode no = 4400; won: False; iter_time_steps = 21; Q(s,a) = -18.39155392138636; score = -520.0; mean_score/100_episodes = -510.41; reward = -520.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-10 09:09:53
