Episode no = 3900; won: False; iter_time_steps = 12; Q(s,a) = 105.38663122432193; score = -501.0; mean_score/100_episodes = -497.79; reward = -500.0; mean_reward/100_episodes = -502.09; and epsilon = 0.48, win percentage = 0.01, 2024-11-25 05:35:55
Episode no = 4000; won: False; iter_time_steps = 21; Q(s,a) = 187.1133770302794; score = -510.0; mean_score/100_episodes = -508.54; reward = -509.0; mean_reward/100_episodes = -507.75; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-25 05:36:02
Episode no = 4100; won: False; iter_time_steps = 15; Q(s,a) = 129.52768887107825; score = -504.0; mean_score/100_episodes = -488.36; reward = -503.0; mean_reward/100_episodes = -496.46; and epsilon = 0.45333333333333337, win percentage = 0.02, 2024-11-25 05:36:10
Episode no = 4200; won: False; iter_time_steps = 18; Q(s,a) = 116.02935713982066; score = -507.0; mean_score/100_episodes = -480.12; reward = -506.0; mean_reward/100_episodes = -491.95; and epsilon = 0.43999999999999995, win percentage = 0.03, 2024-11-25 05:36:17
Episode no = 4300; won: False; iter_time_steps = 27; Q(s,a) = 118.36791994086663; score = -516.0; mean_score/100_episodes = -488.83; reward = -515.0; mean_reward/100_episodes = -496.79; and epsilon = 0.42666666666666664, win percentage = 0.02, 2024-11-25 05:36:24
Episode no = 4400; won: False; iter_time_steps = 12; Q(s,a) = 104.2542363822672; score = -501.0; mean_score/100_episodes = -481.52; reward = -489.0; mean_reward/100_episodes = -493.35; and epsilon = 0.41333333333333333, win percentage = 0.03, 2024-11-25 05:36:33
Episode no = 4500; won: False; iter_time_steps = 8; Q(s,a) = 101.41669560777923; score = -507.0; mean_score/100_episodes = -499.53; reward = -507.0; mean_reward/100_episodes = -503.53; and epsilon = 0.4, win percentage = 0.01, 2024-11-25 05:36:41
Episode no = 4600; won: False; iter_time_steps = 7; Q(s,a) = 49.199558693213945; score = -506.0; mean_score/100_episodes = -492.73; reward = -506.0; mean_reward/100_episodes = -501.6; and epsilon = 0.3866666666666667, win percentage = 0.02, 2024-11-25 05:36:51
Episode no = 4700; won: False; iter_time_steps = 9; Q(s,a) = 93.39392494013066; score = -508.0; mean_score/100_episodes = -469.0; reward = -508.0; mean_reward/100_episodes = -484.83; and epsilon = 0.3733333333333333, win percentage = 0.04, 2024-11-25 05:36:58
Episode no = 4800; won: False; iter_time_steps = 10; Q(s,a) = 94.36824971906066; score = -509.0; mean_score/100_episodes = -480.37; reward = -509.0; mean_reward/100_episodes = -492.09; and epsilon = 0.36, win percentage = 0.03, 2024-11-25 05:37:07
Episode no = 4900; won: False; iter_time_steps = 5; Q(s,a) = 92.44569429179704; score = -504.0; mean_score/100_episodes = -502.27; reward = -504.0; mean_reward/100_episodes = -506.38; and epsilon = 0.3466666666666667, win percentage = 0.01, 2024-11-25 05:37:16
Episode no = 5000; won: False; iter_time_steps = 21; Q(s,a) = 100.39547368784383; score = -510.0; mean_score/100_episodes = -501.37; reward = -509.0; mean_reward/100_episodes = -505.85; and epsilon = 0.33333333333333337, win percentage = 0.01, 2024-11-25 05:37:25
Episode no = 5100; won: False; iter_time_steps = 12; Q(s,a) = 89.52658669818246; score = -511.0; mean_score/100_episodes = -501.13; reward = -511.0; mean_reward/100_episodes = -505.58; and epsilon = 0.31999999999999995, win percentage = 0.01, 2024-11-25 05:37:33
Episode no = 5200; won: False; iter_time_steps = 23; Q(s,a) = 108.1805950296879; score = -512.0; mean_score/100_episodes = -459.1; reward = -500.0; mean_reward/100_episodes = -480.31; and epsilon = 0.30666666666666664, win percentage = 0.05, 2024-11-25 05:37:40
Episode no = 5300; won: False; iter_time_steps = 21; Q(s,a) = 103.3397433038122; score = -520.0; mean_score/100_episodes = -470.98; reward = -520.0; mean_reward/100_episodes = -487.74; and epsilon = 0.29333333333333333, win percentage = 0.04, 2024-11-25 05:37:49
Episode no = 5400; won: False; iter_time_steps = 13; Q(s,a) = 74.4124230920009; score = -502.0; mean_score/100_episodes = -459.29; reward = -501.0; mean_reward/100_episodes = -480.23; and epsilon = 0.28, win percentage = 0.05, 2024-11-25 05:37:57
Episode no = 5500; won: False; iter_time_steps = 12; Q(s,a) = 114.1561500269589; score = -501.0; mean_score/100_episodes = -418.13; reward = -500.0; mean_reward/100_episodes = -455.39; and epsilon = 0.2666666666666667, win percentage = 0.09, 2024-11-25 05:38:05
Episode no = 5600; won: False; iter_time_steps = 12; Q(s,a) = 87.48253676563674; score = -501.0; mean_score/100_episodes = -448.36; reward = -511.0; mean_reward/100_episodes = -472.91; and epsilon = 0.2533333333333333, win percentage = 0.06, 2024-11-25 05:38:13
Episode no = 5700; won: False; iter_time_steps = 9; Q(s,a) = 71.38379124325155; score = -508.0; mean_score/100_episodes = -265.33; reward = -508.0; mean_reward/100_episodes = -363.82; and epsilon = 0.24, win percentage = 0.24, 2024-11-25 05:38:21
Episode no = 5800; won: True; iter_time_steps = 18; Q(s,a) = 90.25320670007216; score = 503.0; mean_score/100_episodes = -345.54; reward = 94.0; mean_reward/100_episodes = -411.53; and epsilon = 0.22666666666666668, win percentage = 0.16, 2024-11-25 05:38:28
Episode no = 5900; won: False; iter_time_steps = 10; Q(s,a) = 76.95813934261817; score = -509.0; mean_score/100_episodes = -305.86; reward = -509.0; mean_reward/100_episodes = -388.61; and epsilon = 0.21333333333333337, win percentage = 0.2, 2024-11-25 05:38:36
Episode no = 6000; won: False; iter_time_steps = 4; Q(s,a) = 70.43955082948544; score = -503.0; mean_score/100_episodes = -255.62; reward = -503.0; mean_reward/100_episodes = -358.75; and epsilon = 0.19999999999999996, win percentage = 0.25, 2024-11-25 05:38:45
Episode no = 6100; won: False; iter_time_steps = 15; Q(s,a) = 97.9614179799798; score = -504.0; mean_score/100_episodes = -296.41; reward = -492.0; mean_reward/100_episodes = -382.99; and epsilon = 0.18666666666666665, win percentage = 0.21, 2024-11-25 05:38:53
Episode no = 6200; won: False; iter_time_steps = 5; Q(s,a) = 69.25121680985053; score = -504.0; mean_score/100_episodes = -347.06; reward = -504.0; mean_reward/100_episodes = -413.37; and epsilon = 0.17333333333333334, win percentage = 0.16, 2024-11-25 05:39:01
Episode no = 6300; won: False; iter_time_steps = 9; Q(s,a) = 78.59700565677079; score = -508.0; mean_score/100_episodes = -235.54; reward = -508.0; mean_reward/100_episodes = -347.16; and epsilon = 0.16000000000000003, win percentage = 0.27, 2024-11-25 05:39:09
Episode no = 6400; won: False; iter_time_steps = 12; Q(s,a) = 80.08518313914152; score = -501.0; mean_score/100_episodes = -217.35; reward = -511.0; mean_reward/100_episodes = -336.66; and epsilon = 0.1466666666666666, win percentage = 0.29, 2024-11-25 05:39:18
Episode no = 6500; won: False; iter_time_steps = 12; Q(s,a) = 70.46238897317005; score = -511.0; mean_score/100_episodes = -318.05; reward = -511.0; mean_reward/100_episodes = -397.3; and epsilon = 0.1333333333333333, win percentage = 0.19, 2024-11-25 05:39:27
Episode no = 6600; won: False; iter_time_steps = 16; Q(s,a) = 88.69640746668749; score = -515.0; mean_score/100_episodes = -237.37; reward = -515.0; mean_reward/100_episodes = -349.17; and epsilon = 0.12, win percentage = 0.27, 2024-11-25 05:39:37
Episode no = 6700; won: True; iter_time_steps = 22; Q(s,a) = 90.42314678349561; score = 499.0; mean_score/100_episodes = -158.04; reward = 90.0; mean_reward/100_episodes = -301.49; and epsilon = 0.10666666666666669, win percentage = 0.35, 2024-11-25 05:39:48
Episode no = 6800; won: False; iter_time_steps = 33; Q(s,a) = 91.64513083855765; score = -532.0; mean_score/100_episodes = -258.46; reward = -532.0; mean_reward/100_episodes = -360.66; and epsilon = 0.1, win percentage = 0.25, 2024-11-25 05:39:57
Episode no = 6900; won: False; iter_time_steps = 30; Q(s,a) = 96.92995626671365; score = -519.0; mean_score/100_episodes = -290.66; reward = -518.0; mean_reward/100_episodes = -380.07; and epsilon = 0.1, win percentage = 0.22, 2024-11-25 05:40:07
Episode no = 7000; won: False; iter_time_steps = 30; Q(s,a) = 99.76749480352719; score = -519.0; mean_score/100_episodes = -231.09; reward = -518.0; mean_reward/100_episodes = -345.59; and epsilon = 0.1, win percentage = 0.28, 2024-11-25 05:40:18
Episode no = 7100; won: True; iter_time_steps = 21; Q(s,a) = 107.4838783131889; score = 500.0; mean_score/100_episodes = -146.48; reward = 91.0; mean_reward/100_episodes = -295.01; and epsilon = 0.1, win percentage = 0.36, 2024-11-25 05:40:28
Episode no = 7200; won: True; iter_time_steps = 18; Q(s,a) = 157.37381290739262; score = 503.0; mean_score/100_episodes = -156.63; reward = 94.0; mean_reward/100_episodes = -300.47; and epsilon = 0.1, win percentage = 0.35, 2024-11-25 05:40:38
Episode no = 7300; won: False; iter_time_steps = 12; Q(s,a) = 54.96520424913418; score = -511.0; mean_score/100_episodes = -5.71; reward = -511.0; mean_reward/100_episodes = -210.49; and epsilon = 0.1, win percentage = 0.5, 2024-11-25 05:40:50
Episode no = 7400; won: False; iter_time_steps = 27; Q(s,a) = 103.51712725302808; score = -516.0; mean_score/100_episodes = 62.63; reward = -515.0; mean_reward/100_episodes = -170.44; and epsilon = 0.1, win percentage = 0.57, 2024-11-25 05:41:03
Episode no = 7500; won: False; iter_time_steps = 20; Q(s,a) = 77.69411645355117; score = -509.0; mean_score/100_episodes = 3.76; reward = -508.0; mean_reward/100_episodes = -204.36; and epsilon = 0.1, win percentage = 0.51, 2024-11-25 05:41:15
Episode no = 7600; won: False; iter_time_steps = 18; Q(s,a) = 79.76303554596142; score = -507.0; mean_score/100_episodes = 93.48; reward = -506.0; mean_reward/100_episodes = -151.73; and epsilon = 0.1, win percentage = 0.6, 2024-11-25 05:41:28
Episode no = 7700; won: True; iter_time_steps = 18; Q(s,a) = 150.9097022077798; score = 503.0; mean_score/100_episodes = 144.29; reward = 94.0; mean_reward/100_episodes = -121.05; and epsilon = 0.1, win percentage = 0.65, 2024-11-25 05:41:41
Episode no = 7800; won: False; iter_time_steps = 12; Q(s,a) = 75.46204207688967; score = -501.0; mean_score/100_episodes = 185.67; reward = -489.0; mean_reward/100_episodes = -95.91; and epsilon = 0.1, win percentage = 0.69, 2024-11-25 05:41:54
Episode no = 7900; won: True; iter_time_steps = 27; Q(s,a) = 280.2515969151376; score = 494.0; mean_score/100_episodes = -16.39; reward = 85.0; mean_reward/100_episodes = -216.23; and epsilon = 0.1, win percentage = 0.49, 2024-11-25 05:42:07
Episode no = 8000; won: True; iter_time_steps = 18; Q(s,a) = 170.3823357862472; score = 503.0; mean_score/100_episodes = 43.06; reward = 94.0; mean_reward/100_episodes = -181.39; and epsilon = 0.1, win percentage = 0.55, 2024-11-25 05:42:21
Episode no = 8100; won: True; iter_time_steps = 27; Q(s,a) = 215.94774214290524; score = 494.0; mean_score/100_episodes = 124.28; reward = 85.0; mean_reward/100_episodes = -133.5; and epsilon = 0.1, win percentage = 0.63, 2024-11-25 05:42:34
Episode no = 8200; won: True; iter_time_steps = 30; Q(s,a) = 62.363481062767306; score = 491.0; mean_score/100_episodes = 142.57; reward = 82.0; mean_reward/100_episodes = -123.21; and epsilon = 0.1, win percentage = 0.65, 2024-11-25 05:42:48
Episode no = 8300; won: True; iter_time_steps = 19; Q(s,a) = 51.75939866774695; score = 502.0; mean_score/100_episodes = 103.87; reward = 93.0; mean_reward/100_episodes = -145.72; and epsilon = 0.1, win percentage = 0.61, 2024-11-25 05:43:00
Episode no = 8400; won: True; iter_time_steps = 19; Q(s,a) = 141.92851641274333; score = 502.0; mean_score/100_episodes = 103.98; reward = 93.0; mean_reward/100_episodes = -145.54; and epsilon = 0.1, win percentage = 0.61, 2024-11-25 05:43:13
Episode no = 8500; won: False; iter_time_steps = 12; Q(s,a) = 54.31261049250105; score = -501.0; mean_score/100_episodes = 177.16; reward = -500.0; mean_reward/100_episodes = -100.88; and epsilon = 0.1, win percentage = 0.68, 2024-11-25 05:43:24
Episode no = 8600; won: True; iter_time_steps = 30; Q(s,a) = 45.69912598385752; score = 491.0; mean_score/100_episodes = 86.34; reward = 82.0; mean_reward/100_episodes = -155.34; and epsilon = 0.1, win percentage = 0.59, 2024-11-25 05:43:35
Episode no = 8700; won: True; iter_time_steps = 19; Q(s,a) = 184.7069995758203; score = 502.0; mean_score/100_episodes = 26.45; reward = 93.0; mean_reward/100_episodes = -190.69; and epsilon = 0.1, win percentage = 0.53, 2024-11-25 05:43:46
Episode no = 8800; won: False; iter_time_steps = 26; Q(s,a) = 108.73808944324551; score = -515.0; mean_score/100_episodes = 97.44; reward = -514.0; mean_reward/100_episodes = -147.79; and epsilon = 0.1, win percentage = 0.6, 2024-11-25 05:43:56
Episode no = 8900; won: False; iter_time_steps = 12; Q(s,a) = 62.41453848899169; score = -501.0; mean_score/100_episodes = 36.07; reward = -511.0; mean_reward/100_episodes = -184.86; and epsilon = 0.1, win percentage = 0.54, 2024-11-25 05:44:07
Episode no = 9000; won: True; iter_time_steps = 25; Q(s,a) = 365.9698720895909; score = 496.0; mean_score/100_episodes = 97.55; reward = 87.0; mean_reward/100_episodes = -147.71; and epsilon = 0.1, win percentage = 0.6, 2024-11-25 05:44:18
Episode no = 9100; won: True; iter_time_steps = 22; Q(s,a) = 101.09664207069578; score = 499.0; mean_score/100_episodes = 8.93; reward = 90.0; mean_reward/100_episodes = -199.92; and epsilon = 0.1, win percentage = 0.51, 2024-11-25 05:44:27
Episode no = 9200; won: True; iter_time_steps = 20; Q(s,a) = 277.5424997337442; score = 501.0; mean_score/100_episodes = 118.76; reward = 92.0; mean_reward/100_episodes = -134.82; and epsilon = 0.1, win percentage = 0.62, 2024-11-25 05:44:37
Episode no = 9300; won: True; iter_time_steps = 16; Q(s,a) = 288.6533101519757; score = 505.0; mean_score/100_episodes = 178.93; reward = 96.0; mean_reward/100_episodes = -99.59; and epsilon = 0.1, win percentage = 0.68, 2024-11-25 05:44:47
Episode no = 9400; won: True; iter_time_steps = 18; Q(s,a) = 262.3970218158653; score = 503.0; mean_score/100_episodes = 158.14; reward = 94.0; mean_reward/100_episodes = -111.97; and epsilon = 0.1, win percentage = 0.66, 2024-11-25 05:44:57
Episode no = 9500; won: True; iter_time_steps = 23; Q(s,a) = 407.46115793645413; score = 498.0; mean_score/100_episodes = 98.08; reward = 89.0; mean_reward/100_episodes = -147.2; and epsilon = 0.1, win percentage = 0.6, 2024-11-25 05:45:08
Episode no = 9600; won: True; iter_time_steps = 20; Q(s,a) = 310.0776410678094; score = 501.0; mean_score/100_episodes = 7.59; reward = 92.0; mean_reward/100_episodes = -201.13; and epsilon = 0.1, win percentage = 0.51, 2024-11-25 05:45:17
