Episode no = 4500; won: False; iter_time_steps = 101; Q(s,a) = 178.94830569523018; score = -70.0; mean_score/100_episodes = -130.24; reward = -17.0; mean_reward/100_episodes = -151.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-02 02:23:27
Episode no = 4600; won: False; iter_time_steps = 42; Q(s,a) = 178.66774805939727; score = -311.0; mean_score/100_episodes = -116.68; reward = -299.0; mean_reward/100_episodes = -127.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-02 02:24:06
Episode no = 4700; won: False; iter_time_steps = 67; Q(s,a) = 217.23954985331147; score = -146.0; mean_score/100_episodes = -34.26; reward = -104.0; mean_reward/100_episodes = -75.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-02 02:24:51
Episode no = 4800; won: False; iter_time_steps = 101; Q(s,a) = 184.55354694579918; score = 240.0; mean_score/100_episodes = -44.33; reward = 144.0; mean_reward/100_episodes = -85.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-02 02:25:31
Episode no = 4900; won: False; iter_time_steps = 34; Q(s,a) = 180.59007559855712; score = -303.0; mean_score/100_episodes = -21.32; reward = -269.0; mean_reward/100_episodes = -59.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-02 02:26:14
Episode no = 5000; won: False; iter_time_steps = 101; Q(s,a) = 196.0611755783607; score = 130.0; mean_score/100_episodes = -17.29; reward = 23.0; mean_reward/100_episodes = -58.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-02 02:26:56
Episode no = 5100; won: False; iter_time_steps = 101; Q(s,a) = 187.13399041775625; score = 260.0; mean_score/100_episodes = -17.79; reward = 177.0; mean_reward/100_episodes = -48.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-02 02:27:38
Episode no = 5200; won: False; iter_time_steps = 25; Q(s,a) = 184.74649510719053; score = -374.0; mean_score/100_episodes = 13.38; reward = -348.0; mean_reward/100_episodes = -48.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-02 02:28:23
Episode no = 5300; won: False; iter_time_steps = 101; Q(s,a) = 199.0333110622277; score = 250.0; mean_score/100_episodes = 7.83; reward = 155.0; mean_reward/100_episodes = -42.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-02 02:29:10
Episode no = 5400; won: False; iter_time_steps = 53; Q(s,a) = 183.58628834237513; score = -202.0; mean_score/100_episodes = 60.45; reward = -178.0; mean_reward/100_episodes = -11.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-02 02:29:59
