Episode no = 3500; won: False; iter_time_steps = 44; Q(s,a) = 103.31631830893285; score = -363.0; mean_score/100_episodes = -296.87; reward = -356.0; mean_reward/100_episodes = -273.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-16 07:06:27
Episode no = 3600; won: False; iter_time_steps = 50; Q(s,a) = 115.03844036174613; score = -239.0; mean_score/100_episodes = -312.58; reward = -208.0; mean_reward/100_episodes = -287.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-16 07:07:29
Episode no = 3700; won: False; iter_time_steps = 69; Q(s,a) = 116.99747933578196; score = -188.0; mean_score/100_episodes = -292.79; reward = -139.0; mean_reward/100_episodes = -266.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-16 07:08:36
Episode no = 3800; won: False; iter_time_steps = 109; Q(s,a) = 116.72913342909575; score = -78.0; mean_score/100_episodes = -303.51; reward = -25.0; mean_reward/100_episodes = -277.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-16 07:09:42
Episode no = 3900; won: False; iter_time_steps = 33; Q(s,a) = 127.12029758536981; score = -422.0; mean_score/100_episodes = -270.37; reward = -411.0; mean_reward/100_episodes = -246.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-16 07:10:53
Episode no = 4000; won: False; iter_time_steps = 59; Q(s,a) = 126.96690961877654; score = -268.0; mean_score/100_episodes = -295.91; reward = -239.0; mean_reward/100_episodes = -273.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-16 07:11:58
Episode no = 4100; won: False; iter_time_steps = 51; Q(s,a) = 130.08256716027313; score = -330.0; mean_score/100_episodes = -271.89; reward = -308.0; mean_reward/100_episodes = -248.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-16 07:13:18
Episode no = 4200; won: False; iter_time_steps = 35; Q(s,a) = 131.4122275117277; score = -264.0; mean_score/100_episodes = -282.91; reward = -237.0; mean_reward/100_episodes = -260.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-16 07:14:18
Episode no = 4300; won: False; iter_time_steps = 100; Q(s,a) = 134.39895924463934; score = -179.0; mean_score/100_episodes = -263.61; reward = -137.0; mean_reward/100_episodes = -240.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-16 07:15:27
Episode no = 4400; won: False; iter_time_steps = 56; Q(s,a) = 132.0372609763046; score = -235.0; mean_score/100_episodes = -240.35; reward = -214.0; mean_reward/100_episodes = -214.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-16 07:16:44
Episode no = 4500; won: False; iter_time_steps = 180; Q(s,a) = 139.91587248912865; score = 71.0; mean_score/100_episodes = -245.04; reward = 146.0; mean_reward/100_episodes = -220.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-16 07:18:04
Episode no = 4600; won: False; iter_time_steps = 18; Q(s,a) = 137.61140759350369; score = -437.0; mean_score/100_episodes = -227.95; reward = -418.0; mean_reward/100_episodes = -195.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-16 07:19:20
Episode no = 4700; won: False; iter_time_steps = 75; Q(s,a) = 144.25171238811825; score = -164.0; mean_score/100_episodes = -210.87; reward = -123.0; mean_reward/100_episodes = -181.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-16 07:20:44
Episode no = 4800; won: False; iter_time_steps = 109; Q(s,a) = 146.10095912351278; score = 92.0; mean_score/100_episodes = -233.62; reward = -18.0; mean_reward/100_episodes = -208.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-16 07:21:51
Episode no = 4900; won: False; iter_time_steps = 47; Q(s,a) = 148.62272914851653; score = -216.0; mean_score/100_episodes = -213.18; reward = -183.0; mean_reward/100_episodes = -186.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-16 07:23:10
Episode no = 5000; won: False; iter_time_steps = 34; Q(s,a) = 149.1761103063569; score = -333.0; mean_score/100_episodes = -207.77; reward = -324.0; mean_reward/100_episodes = -182.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-16 07:24:28
Episode no = 5100; won: False; iter_time_steps = 50; Q(s,a) = 149.56731863558596; score = -169.0; mean_score/100_episodes = -218.8; reward = -131.0; mean_reward/100_episodes = -190.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-16 07:25:32
Episode no = 5200; won: False; iter_time_steps = 59; Q(s,a) = 153.0712924200883; score = -108.0; mean_score/100_episodes = -191.4; reward = -52.0; mean_reward/100_episodes = -161.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-16 07:26:48
Episode no = 5300; won: False; iter_time_steps = 32; Q(s,a) = 151.79001623038442; score = -361.0; mean_score/100_episodes = -241.01; reward = -333.0; mean_reward/100_episodes = -208.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-16 07:27:47
Episode no = 5400; won: False; iter_time_steps = 42; Q(s,a) = 155.35116170193533; score = -231.0; mean_score/100_episodes = -196.97; reward = -200.0; mean_reward/100_episodes = -172.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-16 07:28:56
Episode no = 5500; won: False; iter_time_steps = 29; Q(s,a) = 155.39892250227447; score = -278.0; mean_score/100_episodes = -172.99; reward = -253.0; mean_reward/100_episodes = -147.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-16 07:30:17
Episode no = 5600; won: False; iter_time_steps = 24; Q(s,a) = 152.7221164288456; score = -353.0; mean_score/100_episodes = -179.83; reward = -336.0; mean_reward/100_episodes = -154.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-16 07:31:33
Episode no = 5700; won: False; iter_time_steps = 53; Q(s,a) = 157.83003060161346; score = -172.0; mean_score/100_episodes = -185.3; reward = -145.0; mean_reward/100_episodes = -163.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-16 07:32:41
Episode no = 5800; won: False; iter_time_steps = 33; Q(s,a) = 158.8786461893719; score = -262.0; mean_score/100_episodes = -194.76; reward = -235.0; mean_reward/100_episodes = -165.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-16 07:33:51
Episode no = 5900; won: False; iter_time_steps = 24; Q(s,a) = 160.19996214518955; score = -343.0; mean_score/100_episodes = -162.15; reward = -314.0; mean_reward/100_episodes = -129.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-16 07:35:07
Episode no = 6000; won: False; iter_time_steps = 28; Q(s,a) = 160.768844596907; score = -327.0; mean_score/100_episodes = -165.76; reward = -307.0; mean_reward/100_episodes = -131.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-16 07:36:17
Episode no = 6100; won: False; iter_time_steps = 49; Q(s,a) = 161.9679291567414; score = -138.0; mean_score/100_episodes = -147.83; reward = -97.0; mean_reward/100_episodes = -117.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-16 07:37:35
Episode no = 6200; won: False; iter_time_steps = 69; Q(s,a) = 163.1636594053492; score = -188.0; mean_score/100_episodes = -172.98; reward = -150.0; mean_reward/100_episodes = -147.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-16 07:38:47
Episode no = 6300; won: False; iter_time_steps = 102; Q(s,a) = 164.6261320970723; score = 159.0; mean_score/100_episodes = -125.76; reward = 246.0; mean_reward/100_episodes = -100.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-16 07:40:11
Episode no = 6400; won: False; iter_time_steps = 21; Q(s,a) = 163.1057129276137; score = -370.0; mean_score/100_episodes = -161.4; reward = -344.0; mean_reward/100_episodes = -130.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-16 07:41:22
Episode no = 6500; won: False; iter_time_steps = 167; Q(s,a) = 165.70824531037854; score = 154.0; mean_score/100_episodes = -141.69; reward = 236.0; mean_reward/100_episodes = -116.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-16 07:42:36
Episode no = 6600; won: False; iter_time_steps = 29; Q(s,a) = 166.20334097693353; score = -338.0; mean_score/100_episodes = -165.11; reward = -319.0; mean_reward/100_episodes = -131.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-16 07:43:49
Episode no = 6700; won: False; iter_time_steps = 58; Q(s,a) = 167.95004353567094; score = -67.0; mean_score/100_episodes = -173.45; reward = -7.0; mean_reward/100_episodes = -140.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-16 07:45:03
Episode no = 6800; won: False; iter_time_steps = 74; Q(s,a) = 169.68642432859858; score = -3.0; mean_score/100_episodes = -144.9; reward = 54.0; mean_reward/100_episodes = -120.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:46:15
Episode no = 6900; won: False; iter_time_steps = 39; Q(s,a) = 169.24182565357592; score = -228.0; mean_score/100_episodes = -119.86; reward = -197.0; mean_reward/100_episodes = -90.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:47:34
Episode no = 7000; won: False; iter_time_steps = 30; Q(s,a) = 170.7221715510186; score = -259.0; mean_score/100_episodes = -68.29; reward = -221.0; mean_reward/100_episodes = -48.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:49:11
Episode no = 7100; won: False; iter_time_steps = 61; Q(s,a) = 172.01880631454097; score = -50.0; mean_score/100_episodes = -99.69; reward = 12.0; mean_reward/100_episodes = -75.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:50:34
Episode no = 7200; won: False; iter_time_steps = 31; Q(s,a) = 173.8064975715374; score = -270.0; mean_score/100_episodes = -105.76; reward = -244.0; mean_reward/100_episodes = -83.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:51:51
Episode no = 7300; won: False; iter_time_steps = 32; Q(s,a) = 174.06866381985657; score = -251.0; mean_score/100_episodes = -184.37; reward = -223.0; mean_reward/100_episodes = -160.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:52:50
Episode no = 7400; won: False; iter_time_steps = 150; Q(s,a) = 173.6578467688134; score = 441.0; mean_score/100_episodes = -119.27; reward = 370.0; mean_reward/100_episodes = -89.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:54:09
Episode no = 7500; won: False; iter_time_steps = 123; Q(s,a) = 174.9938301115865; score = 398.0; mean_score/100_episodes = -113.33; reward = 331.0; mean_reward/100_episodes = -81.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-16 07:55:17
