Episode no = 5400; won: False; iter_time_steps = 32; Q(s,a) = 15.659294170329009; score = -221.0; mean_score/100_episodes = 23.94; reward = -190.0; mean_reward/100_episodes = -14.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:08:44
Episode no = 5500; won: False; iter_time_steps = 25; Q(s,a) = 15.56116089355909; score = -284.0; mean_score/100_episodes = 95.55; reward = -260.0; mean_reward/100_episodes = 18.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:10:07
Episode no = 5600; won: False; iter_time_steps = 195; Q(s,a) = 17.589174661262298; score = 146.0; mean_score/100_episodes = 116.53; reward = 50.0; mean_reward/100_episodes = 38.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:11:47
Episode no = 5700; won: False; iter_time_steps = 229; Q(s,a) = 15.616640934909508; score = -178.0; mean_score/100_episodes = -14.39; reward = -292.0; mean_reward/100_episodes = -58.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:13:12
Episode no = 5800; won: False; iter_time_steps = 121; Q(s,a) = 15.775407672373962; score = -100.0; mean_score/100_episodes = 51.27; reward = -59.0; mean_reward/100_episodes = -22.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:14:43
Episode no = 5900; won: False; iter_time_steps = 183; Q(s,a) = 20.56484667313917; score = 778.0; mean_score/100_episodes = 58.52; reward = 395.0; mean_reward/100_episodes = -8.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:16:12
Episode no = 6000; won: False; iter_time_steps = 90; Q(s,a) = 15.25045059006754; score = 481.0; mean_score/100_episodes = 26.89; reward = 239.0; mean_reward/100_episodes = -15.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:17:43
Episode no = 6100; won: False; iter_time_steps = 19; Q(s,a) = 13.245068320579357; score = -358.0; mean_score/100_episodes = 147.2; reward = -342.0; mean_reward/100_episodes = 55.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.03, 2024-12-03 14:19:29
Episode no = 6200; won: False; iter_time_steps = 61; Q(s,a) = 23.013657994965108; score = 70.0; mean_score/100_episodes = 137.05; reward = -47.0; mean_reward/100_episodes = 46.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:21:17
Episode no = 6300; won: False; iter_time_steps = 76; Q(s,a) = 27.4587236889149; score = 135.0; mean_score/100_episodes = 34.88; reward = 26.0; mean_reward/100_episodes = -27.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:22:54
