Episode no = 2900; won: False; iter_time_steps = 22; Q(s,a) = 85.18736031898126; score = -381.0; mean_score/100_episodes = -335.45; reward = -367.0; mean_reward/100_episodes = -326.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-21 10:29:15
Episode no = 3000; won: False; iter_time_steps = 92; Q(s,a) = 93.27826384426929; score = 169.0; mean_score/100_episodes = -315.68; reward = 54.0; mean_reward/100_episodes = -306.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-21 10:30:14
Episode no = 3100; won: False; iter_time_steps = 53; Q(s,a) = 96.55579661348112; score = -272.0; mean_score/100_episodes = -288.31; reward = -244.0; mean_reward/100_episodes = -290.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-21 10:31:12
Episode no = 3200; won: False; iter_time_steps = 30; Q(s,a) = 101.60537563043712; score = -429.0; mean_score/100_episodes = -319.87; reward = -408.0; mean_reward/100_episodes = -305.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-21 10:32:10
Episode no = 3300; won: False; iter_time_steps = 34; Q(s,a) = 107.23353872729894; score = -483.0; mean_score/100_episodes = -310.45; reward = -478.0; mean_reward/100_episodes = -309.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-21 10:33:10
Episode no = 3400; won: False; iter_time_steps = 167; Q(s,a) = 110.76063407539485; score = 4.0; mean_score/100_episodes = -295.19; reward = 71.0; mean_reward/100_episodes = -277.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-21 10:34:20
Episode no = 3500; won: False; iter_time_steps = 63; Q(s,a) = 114.81508186853607; score = -352.0; mean_score/100_episodes = -334.39; reward = -342.0; mean_reward/100_episodes = -321.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-21 10:35:05
Episode no = 3600; won: False; iter_time_steps = 79; Q(s,a) = 119.49777493068326; score = -198.0; mean_score/100_episodes = -326.17; reward = -171.0; mean_reward/100_episodes = -314.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-21 10:35:55
Episode no = 3700; won: False; iter_time_steps = 82; Q(s,a) = 123.22521530067677; score = -341.0; mean_score/100_episodes = -249.64; reward = -317.0; mean_reward/100_episodes = -248.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-21 10:37:05
Episode no = 3800; won: False; iter_time_steps = 29; Q(s,a) = 128.45806630032988; score = -358.0; mean_score/100_episodes = -270.94; reward = -341.0; mean_reward/100_episodes = -259.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-21 10:38:13
