Episode no = 3400; won: False; iter_time_steps = 23; Q(s,a) = -16.253811993460726; score = -522.0; mean_score/100_episodes = -510.43; reward = -522.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-16 05:56:12
Episode no = 3500; won: False; iter_time_steps = 10; Q(s,a) = -16.265525064140345; score = -509.0; mean_score/100_episodes = -510.55; reward = -509.0; mean_reward/100_episodes = -510.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-16 05:56:25
Episode no = 3600; won: False; iter_time_steps = 15; Q(s,a) = -16.455492338977297; score = -514.0; mean_score/100_episodes = -510.67; reward = -514.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-16 05:56:38
Episode no = 3700; won: False; iter_time_steps = 24; Q(s,a) = -16.61190399580504; score = -523.0; mean_score/100_episodes = -511.1; reward = -523.0; mean_reward/100_episodes = -511.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-16 05:56:52
Episode no = 3800; won: False; iter_time_steps = 27; Q(s,a) = -16.872573911020726; score = -516.0; mean_score/100_episodes = -511.09; reward = -515.0; mean_reward/100_episodes = -510.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-16 05:57:05
Episode no = 3900; won: False; iter_time_steps = 7; Q(s,a) = -17.06884753139; score = -506.0; mean_score/100_episodes = -511.01; reward = -506.0; mean_reward/100_episodes = -511.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-16 05:57:18
Episode no = 4000; won: False; iter_time_steps = 11; Q(s,a) = -17.24263930776195; score = -510.0; mean_score/100_episodes = -510.9; reward = -510.0; mean_reward/100_episodes = -510.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-16 05:57:32
Episode no = 4100; won: False; iter_time_steps = 5; Q(s,a) = -18.405358612830224; score = -504.0; mean_score/100_episodes = -511.25; reward = -504.0; mean_reward/100_episodes = -511.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-16 05:57:46
Episode no = 4200; won: False; iter_time_steps = 9; Q(s,a) = -17.716695469924513; score = -508.0; mean_score/100_episodes = -511.73; reward = -508.0; mean_reward/100_episodes = -511.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-16 05:58:01
Episode no = 4300; won: False; iter_time_steps = 18; Q(s,a) = -17.686187390689096; score = -517.0; mean_score/100_episodes = -502.83; reward = -517.0; mean_reward/100_episodes = -506.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.01, 2024-12-16 05:58:18
