Episode no = 4300; won: False; iter_time_steps = 17; Q(s,a) = -0.07561136242698577; score = -516.0; mean_score/100_episodes = -508.94; reward = -516.0; mean_reward/100_episodes = -508.52; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-24 06:10:37
Episode no = 4400; won: False; iter_time_steps = 15; Q(s,a) = -0.07831850302256958; score = -504.0; mean_score/100_episodes = -508.41; reward = -503.0; mean_reward/100_episodes = -508.03; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-24 06:10:39
Episode no = 4500; won: False; iter_time_steps = 10; Q(s,a) = -0.08054350322019893; score = -509.0; mean_score/100_episodes = -507.96; reward = -509.0; mean_reward/100_episodes = -507.82; and epsilon = 0.4, win percentage = 0.0, 2024-11-24 06:10:40
Episode no = 4600; won: False; iter_time_steps = 9; Q(s,a) = -0.08328133268559662; score = -508.0; mean_score/100_episodes = -508.26; reward = -508.0; mean_reward/100_episodes = -508.21; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-24 06:10:42
Episode no = 4700; won: False; iter_time_steps = 5; Q(s,a) = -0.0859402908556435; score = -504.0; mean_score/100_episodes = -509.43; reward = -504.0; mean_reward/100_episodes = -509.31; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-24 06:10:43
Episode no = 4800; won: False; iter_time_steps = 6; Q(s,a) = -0.0884248871140147; score = -505.0; mean_score/100_episodes = -508.17; reward = -505.0; mean_reward/100_episodes = -507.76; and epsilon = 0.36, win percentage = 0.0, 2024-11-24 06:10:45
Episode no = 4900; won: False; iter_time_steps = 13; Q(s,a) = -0.0905658494501476; score = -512.0; mean_score/100_episodes = -508.51; reward = -512.0; mean_reward/100_episodes = -508.21; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-24 06:10:47
Episode no = 5000; won: False; iter_time_steps = 8; Q(s,a) = -0.09279689447211865; score = -507.0; mean_score/100_episodes = -507.84; reward = -507.0; mean_reward/100_episodes = -507.37; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-24 06:10:48
Episode no = 5100; won: False; iter_time_steps = 10; Q(s,a) = -0.09570109018781464; score = -509.0; mean_score/100_episodes = -508.39; reward = -509.0; mean_reward/100_episodes = -508.1; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-24 06:10:50
Episode no = 5200; won: False; iter_time_steps = 15; Q(s,a) = -0.0980589748453467; score = -504.0; mean_score/100_episodes = -507.29; reward = -503.0; mean_reward/100_episodes = -506.94; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-24 06:10:51
Episode no = 5300; won: False; iter_time_steps = 9; Q(s,a) = -0.10052524140938758; score = -508.0; mean_score/100_episodes = -507.52; reward = -508.0; mean_reward/100_episodes = -507.42; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-24 06:10:53
Episode no = 5400; won: False; iter_time_steps = 20; Q(s,a) = -0.10311768518743737; score = -519.0; mean_score/100_episodes = -508.22; reward = -519.0; mean_reward/100_episodes = -508.05; and epsilon = 0.28, win percentage = 0.0, 2024-11-24 06:10:55
Episode no = 5500; won: False; iter_time_steps = 9; Q(s,a) = -0.10542720879150319; score = -508.0; mean_score/100_episodes = -508.36; reward = -508.0; mean_reward/100_episodes = -508.18; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-24 06:10:56
Episode no = 5600; won: False; iter_time_steps = 8; Q(s,a) = -0.10814303941888208; score = -507.0; mean_score/100_episodes = -508.77; reward = -507.0; mean_reward/100_episodes = -508.59; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-24 06:10:58
Episode no = 5700; won: False; iter_time_steps = 7; Q(s,a) = -0.11052179565043987; score = -506.0; mean_score/100_episodes = -508.26; reward = -506.0; mean_reward/100_episodes = -507.9; and epsilon = 0.24, win percentage = 0.0, 2024-11-24 06:11:00
Episode no = 5800; won: False; iter_time_steps = 21; Q(s,a) = -0.11304123360751907; score = -520.0; mean_score/100_episodes = -508.65; reward = -520.0; mean_reward/100_episodes = -508.41; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-24 06:11:02
