Episode no = 4900; won: False; iter_time_steps = 14; Q(s,a) = -14.79893930555502; score = -513.0; mean_score/100_episodes = -489.59; reward = -513.0; mean_reward/100_episodes = -496.24; and epsilon = 0.3466666666666667, win percentage = 0.02, 2024-11-25 05:49:07
Episode no = 5000; won: False; iter_time_steps = 16; Q(s,a) = -17.158558355739466; score = -505.0; mean_score/100_episodes = -511.01; reward = -504.0; mean_reward/100_episodes = -510.64; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-25 05:49:41
Episode no = 5100; won: False; iter_time_steps = 12; Q(s,a) = -10.085033150101065; score = -501.0; mean_score/100_episodes = -490.23; reward = -500.0; mean_reward/100_episodes = -498.37; and epsilon = 0.31999999999999995, win percentage = 0.02, 2024-11-25 05:50:13
Episode no = 5200; won: False; iter_time_steps = 12; Q(s,a) = -6.38248248734759; score = -501.0; mean_score/100_episodes = -509.88; reward = -511.0; mean_reward/100_episodes = -508.7; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-25 05:50:46
Episode no = 5300; won: False; iter_time_steps = 22; Q(s,a) = -7.676263356852067; score = -521.0; mean_score/100_episodes = -510.36; reward = -521.0; mean_reward/100_episodes = -508.49; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-25 05:51:20
Episode no = 5400; won: False; iter_time_steps = 16; Q(s,a) = -12.940717438737805; score = -505.0; mean_score/100_episodes = -501.26; reward = -504.0; mean_reward/100_episodes = -504.89; and epsilon = 0.28, win percentage = 0.01, 2024-11-25 05:51:55
Episode no = 5500; won: False; iter_time_steps = 6; Q(s,a) = -12.613695516160734; score = -505.0; mean_score/100_episodes = -499.78; reward = -505.0; mean_reward/100_episodes = -503.51; and epsilon = 0.2666666666666667, win percentage = 0.01, 2024-11-25 05:52:30
Episode no = 5600; won: False; iter_time_steps = 21; Q(s,a) = -8.113063874419108; score = -520.0; mean_score/100_episodes = -498.71; reward = -520.0; mean_reward/100_episodes = -502.16; and epsilon = 0.2533333333333333, win percentage = 0.01, 2024-11-25 05:53:01
Episode no = 5700; won: False; iter_time_steps = 12; Q(s,a) = -8.388945358477539; score = -501.0; mean_score/100_episodes = -499.33; reward = -511.0; mean_reward/100_episodes = -502.89; and epsilon = 0.24, win percentage = 0.01, 2024-11-25 05:53:33
Episode no = 5800; won: False; iter_time_steps = 16; Q(s,a) = -4.512557285615029; score = -505.0; mean_score/100_episodes = -488.11; reward = -504.0; mean_reward/100_episodes = -495.1; and epsilon = 0.22666666666666668, win percentage = 0.02, 2024-11-25 05:54:03
Episode no = 5900; won: False; iter_time_steps = 16; Q(s,a) = -4.456172714238674; score = -505.0; mean_score/100_episodes = -467.31; reward = -504.0; mean_reward/100_episodes = -483.22; and epsilon = 0.21333333333333337, win percentage = 0.04, 2024-11-25 05:54:30
Episode no = 6000; won: False; iter_time_steps = 6; Q(s,a) = -6.213181232815048; score = -505.0; mean_score/100_episodes = -499.12; reward = -505.0; mean_reward/100_episodes = -502.83; and epsilon = 0.19999999999999996, win percentage = 0.01, 2024-11-25 05:54:50
Episode no = 6100; won: False; iter_time_steps = 13; Q(s,a) = -5.03108291089294; score = -502.0; mean_score/100_episodes = -470.68; reward = -501.0; mean_reward/100_episodes = -486.36; and epsilon = 0.18666666666666665, win percentage = 0.04, 2024-11-25 05:55:19
Episode no = 6200; won: False; iter_time_steps = 14; Q(s,a) = -6.624149880855243; score = -513.0; mean_score/100_episodes = -429.11; reward = -513.0; mean_reward/100_episodes = -461.76; and epsilon = 0.17333333333333334, win percentage = 0.08, 2024-11-25 05:55:54
Episode no = 6300; won: True; iter_time_steps = 28; Q(s,a) = -7.197231784808522; score = 493.0; mean_score/100_episodes = -449.39; reward = 84.0; mean_reward/100_episodes = -473.27; and epsilon = 0.16000000000000003, win percentage = 0.06, 2024-11-25 05:56:18
