Episode no = 2900; won: False; iter_time_steps = 39; Q(s,a) = -11.02662517442672; score = -498.0; mean_score/100_episodes = -453.67; reward = -494.0; mean_reward/100_episodes = -449.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-15 07:16:06
Episode no = 3000; won: False; iter_time_steps = 147; Q(s,a) = -11.141821243085506; score = -476.0; mean_score/100_episodes = -439.2; reward = -459.0; mean_reward/100_episodes = -426.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-15 07:17:03
Episode no = 3100; won: False; iter_time_steps = 31; Q(s,a) = -11.304415548808832; score = -420.0; mean_score/100_episodes = -445.17; reward = -409.0; mean_reward/100_episodes = -443.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-15 07:18:09
Episode no = 3200; won: False; iter_time_steps = 39; Q(s,a) = -11.60501536639621; score = -508.0; mean_score/100_episodes = -445.64; reward = -494.0; mean_reward/100_episodes = -438.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-15 07:19:02
Episode no = 3300; won: False; iter_time_steps = 109; Q(s,a) = -11.462743388678824; score = -398.0; mean_score/100_episodes = -447.57; reward = -377.0; mean_reward/100_episodes = -443.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-15 07:20:04
Episode no = 3400; won: False; iter_time_steps = 68; Q(s,a) = -11.741864163122111; score = -537.0; mean_score/100_episodes = -455.47; reward = -534.0; mean_reward/100_episodes = -452.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-15 07:21:28
Episode no = 3500; won: False; iter_time_steps = 39; Q(s,a) = -11.836496986838775; score = -488.0; mean_score/100_episodes = -450.8; reward = -483.0; mean_reward/100_episodes = -443.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-15 07:22:38
Episode no = 3600; won: False; iter_time_steps = 50; Q(s,a) = -12.019439143237033; score = -469.0; mean_score/100_episodes = -463.04; reward = -461.0; mean_reward/100_episodes = -452.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-15 07:23:43
Episode no = 3700; won: False; iter_time_steps = 35; Q(s,a) = -12.231545778221609; score = -394.0; mean_score/100_episodes = -460.7; reward = -380.0; mean_reward/100_episodes = -451.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-15 07:24:48
Episode no = 3800; won: False; iter_time_steps = 45; Q(s,a) = -12.418557607334943; score = -484.0; mean_score/100_episodes = -463.56; reward = -489.0; mean_reward/100_episodes = -453.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-15 07:25:45
Episode no = 3900; won: False; iter_time_steps = 185; Q(s,a) = -12.609938811641188; score = -284.0; mean_score/100_episodes = -462.35; reward = -413.0; mean_reward/100_episodes = -459.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-15 07:26:55
Episode no = 4000; won: False; iter_time_steps = 16; Q(s,a) = -12.767368811402733; score = -495.0; mean_score/100_episodes = -470.36; reward = -493.0; mean_reward/100_episodes = -463.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-15 07:28:02
Episode no = 4100; won: False; iter_time_steps = 84; Q(s,a) = -12.961947481513203; score = -533.0; mean_score/100_episodes = -462.38; reward = -528.0; mean_reward/100_episodes = -461.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-15 07:29:05
