Episode no = 2900; won: False; iter_time_steps = 9; Q(s,a) = 36.06022698718069; score = -508.0; mean_score/100_episodes = -511.11; reward = -508.0; mean_reward/100_episodes = -510.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 21.357474393597624; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-02 03:41:55
Episode no = 3000; won: False; iter_time_steps = 18; Q(s,a) = 52.99742452775895; score = -517.0; mean_score/100_episodes = -510.43; reward = -517.0; mean_reward/100_episodes = -510.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 22.878634483197327; and epsilon = 0.6, win percentage = 0.0, 2024-12-02 03:42:02
Episode no = 3100; won: False; iter_time_steps = 12; Q(s,a) = 58.263912978291316; score = -511.0; mean_score/100_episodes = -510.27; reward = -511.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 24.486810086397014; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-02 03:42:11
Episode no = 3200; won: False; iter_time_steps = 20; Q(s,a) = 50.67910589454313; score = -509.0; mean_score/100_episodes = -511.23; reward = -508.0; mean_reward/100_episodes = -510.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 26.45593893119663; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-02 03:42:21
Episode no = 3300; won: False; iter_time_steps = 21; Q(s,a) = 63.4727243178675; score = -510.0; mean_score/100_episodes = -511.64; reward = -509.0; mean_reward/100_episodes = -511.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 28.45729574399624; and epsilon = 0.56, win percentage = 0.0, 2024-12-02 03:42:31
Episode no = 3400; won: False; iter_time_steps = 14; Q(s,a) = 61.04663456231462; score = -503.0; mean_score/100_episodes = -509.68; reward = -502.0; mean_reward/100_episodes = -509.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 30.278175935995886; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-02 03:42:40
Episode no = 3500; won: False; iter_time_steps = 14; Q(s,a) = 66.17606593828292; score = -503.0; mean_score/100_episodes = -509.92; reward = -502.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 32.30853791999583; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-02 03:42:50
Episode no = 3600; won: False; iter_time_steps = 7; Q(s,a) = 52.40740488766076; score = -506.0; mean_score/100_episodes = -509.22; reward = -506.0; mean_reward/100_episodes = -508.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 34.509708134397826; and epsilon = 0.52, win percentage = 0.0, 2024-12-02 03:43:00
Episode no = 3700; won: False; iter_time_steps = 14; Q(s,a) = 54.71473795096627; score = -513.0; mean_score/100_episodes = -510.24; reward = -513.0; mean_reward/100_episodes = -509.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 36.63030842879975; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-02 03:43:10
Episode no = 3800; won: False; iter_time_steps = 13; Q(s,a) = 61.26725181377786; score = -512.0; mean_score/100_episodes = -510.7; reward = -512.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 38.915271360001825; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-02 03:43:20
Episode no = 3900; won: False; iter_time_steps = 15; Q(s,a) = 56.95516627511286; score = -504.0; mean_score/100_episodes = -509.81; reward = -503.0; mean_reward/100_episodes = -508.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 41.174451916803875; and epsilon = 0.48, win percentage = 0.0, 2024-12-02 03:43:31
Episode no = 4000; won: False; iter_time_steps = 19; Q(s,a) = 57.13113531177933; score = -518.0; mean_score/100_episodes = -511.29; reward = -518.0; mean_reward/100_episodes = -511.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 43.588326720006066; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-02 03:43:42
Episode no = 4100; won: False; iter_time_steps = 18; Q(s,a) = 54.21484657681751; score = -517.0; mean_score/100_episodes = -509.87; reward = -517.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 46.0473206784083; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-02 03:43:51
Episode no = 4200; won: False; iter_time_steps = 11; Q(s,a) = 48.86217768564519; score = -510.0; mean_score/100_episodes = -510.38; reward = -510.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 48.64167210241065; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-02 03:44:01
Episode no = 4300; won: False; iter_time_steps = 18; Q(s,a) = 49.74813065389575; score = -507.0; mean_score/100_episodes = -510.51; reward = -495.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 51.17479038721295; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-02 03:44:12
Episode no = 4400; won: False; iter_time_steps = 15; Q(s,a) = 43.786030655105016; score = -514.0; mean_score/100_episodes = -510.8; reward = -514.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 53.8754941056154; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-02 03:44:23
Episode no = 4500; won: False; iter_time_steps = 15; Q(s,a) = 37.716870144547634; score = -504.0; mean_score/100_episodes = -510.32; reward = -492.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 56.53107866881781; and epsilon = 0.4, win percentage = 0.0, 2024-12-02 03:44:34
Episode no = 4600; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.48; reward = -508.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 59.0513057664201; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-02 03:44:44
Episode no = 4700; won: False; iter_time_steps = 14; Q(s,a) = 15.585361891596122; score = -513.0; mean_score/100_episodes = -510.15; reward = -513.0; mean_reward/100_episodes = -509.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 61.732672704022534; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-02 03:44:54
Episode no = 4800; won: False; iter_time_steps = 6; Q(s,a) = 8.8187914437694; score = -505.0; mean_score/100_episodes = -509.73; reward = -505.0; mean_reward/100_episodes = -509.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 64.39470286082495; and epsilon = 0.36, win percentage = 0.0, 2024-12-02 03:45:04
Episode no = 4900; won: False; iter_time_steps = 16; Q(s,a) = 45.74118539408248; score = -505.0; mean_score/100_episodes = -510.2; reward = -504.0; mean_reward/100_episodes = -509.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 67.24365523202754; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-02 03:45:15
Episode no = 5000; won: False; iter_time_steps = 17; Q(s,a) = 50.3046562924696; score = -506.0; mean_score/100_episodes = -509.78; reward = -494.0; mean_reward/100_episodes = -508.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 70.1828459136302; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-02 03:45:25
Episode no = 5100; won: False; iter_time_steps = 9; Q(s,a) = 33.13529419354593; score = -508.0; mean_score/100_episodes = -509.39; reward = -508.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 73.09625422083285; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-02 03:45:35
