Episode no = 4700; won: False; iter_time_steps = 45; Q(s,a) = 7.677795693547104; score = -164.0; mean_score/100_episodes = -91.28; reward = -115.0; mean_reward/100_episodes = -104.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:38:05
Episode no = 4800; won: False; iter_time_steps = 14; Q(s,a) = 1.3739703719421912; score = -383.0; mean_score/100_episodes = -71.67; reward = -370.0; mean_reward/100_episodes = -97.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:39:20
Episode no = 4900; won: False; iter_time_steps = 78; Q(s,a) = 2.987789073413645; score = -207.0; mean_score/100_episodes = 56.6; reward = -170.0; mean_reward/100_episodes = 0.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 10:40:39
Episode no = 5000; won: False; iter_time_steps = 46; Q(s,a) = 1.9615456233373632; score = -375.0; mean_score/100_episodes = -109.01; reward = -358.0; mean_reward/100_episodes = -126.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:41:43
Episode no = 5100; won: False; iter_time_steps = 61; Q(s,a) = 1.500377991420366; score = -210.0; mean_score/100_episodes = -71.78; reward = -175.0; mean_reward/100_episodes = -88.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:42:44
Episode no = 5200; won: False; iter_time_steps = 122; Q(s,a) = 4.676927483376441; score = -351.0; mean_score/100_episodes = -72.96; reward = -324.0; mean_reward/100_episodes = -71.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:44:01
Episode no = 5300; won: False; iter_time_steps = 74; Q(s,a) = 4.7520433935455975; score = 477.0; mean_score/100_episodes = -23.92; reward = 233.0; mean_reward/100_episodes = -45.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:45:23
Episode no = 5400; won: False; iter_time_steps = 55; Q(s,a) = 5.171753733871666; score = -54.0; mean_score/100_episodes = -0.65; reward = 7.0; mean_reward/100_episodes = -38.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:46:41
Episode no = 5500; won: False; iter_time_steps = 113; Q(s,a) = 5.183978268509328; score = 178.0; mean_score/100_episodes = -53.12; reward = 88.0; mean_reward/100_episodes = -74.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:47:50
Episode no = 5600; won: False; iter_time_steps = 49; Q(s,a) = 0.2647180260911228; score = -118.0; mean_score/100_episodes = -105.76; reward = -75.0; mean_reward/100_episodes = -105.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:49:00
Episode no = 5700; won: False; iter_time_steps = 19; Q(s,a) = 0.7841568546198743; score = -358.0; mean_score/100_episodes = -74.71; reward = -331.0; mean_reward/100_episodes = -86.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:50:04
Episode no = 5800; won: False; iter_time_steps = 73; Q(s,a) = 0.11732909923400747; score = -282.0; mean_score/100_episodes = -94.62; reward = -253.0; mean_reward/100_episodes = -94.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:51:09
Episode no = 5900; won: False; iter_time_steps = 23; Q(s,a) = 0.6531683597947833; score = -352.0; mean_score/100_episodes = -92.6; reward = -335.0; mean_reward/100_episodes = -94.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:52:17
Episode no = 6000; won: False; iter_time_steps = 50; Q(s,a) = 0.5774114207163956; score = -99.0; mean_score/100_episodes = -90.88; reward = -65.0; mean_reward/100_episodes = -132.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:53:24
