Episode no = 3600; won: False; iter_time_steps = 12; Q(s,a) = -16.750179049421426; score = -511.0; mean_score/100_episodes = -510.48; reward = -511.0; mean_reward/100_episodes = -510.26; and epsilon = 0.52, win percentage = 0.0, 2024-11-29 09:18:07
Episode no = 3700; won: False; iter_time_steps = 13; Q(s,a) = -17.031610892357136; score = -512.0; mean_score/100_episodes = -511.5; reward = -512.0; mean_reward/100_episodes = -511.48; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-29 09:18:16
Episode no = 3800; won: False; iter_time_steps = 13; Q(s,a) = -16.335097173203742; score = -512.0; mean_score/100_episodes = -500.08; reward = -512.0; mean_reward/100_episodes = -504.11; and epsilon = 0.4933333333333333, win percentage = 0.01, 2024-11-29 09:18:24
Episode no = 3900; won: False; iter_time_steps = 14; Q(s,a) = -17.508900267536912; score = -513.0; mean_score/100_episodes = -511.37; reward = -513.0; mean_reward/100_episodes = -511.25; and epsilon = 0.48, win percentage = 0.0, 2024-11-29 09:18:34
Episode no = 4000; won: False; iter_time_steps = 14; Q(s,a) = -17.258616137292098; score = -513.0; mean_score/100_episodes = -510.82; reward = -513.0; mean_reward/100_episodes = -510.76; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-29 09:18:42
Episode no = 4100; won: False; iter_time_steps = 13; Q(s,a) = -17.849816717314898; score = -512.0; mean_score/100_episodes = -512.23; reward = -512.0; mean_reward/100_episodes = -511.66; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-29 09:18:52
Episode no = 4200; won: False; iter_time_steps = 11; Q(s,a) = -18.28105183971332; score = -510.0; mean_score/100_episodes = -500.96; reward = -510.0; mean_reward/100_episodes = -504.48; and epsilon = 0.43999999999999995, win percentage = 0.01, 2024-11-29 09:19:01
Episode no = 4300; won: False; iter_time_steps = 10; Q(s,a) = -18.01564991926482; score = -509.0; mean_score/100_episodes = -511.13; reward = -509.0; mean_reward/100_episodes = -511.05; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-29 09:19:10
Episode no = 4400; won: False; iter_time_steps = 8; Q(s,a) = -18.472527290351984; score = -507.0; mean_score/100_episodes = -511.7; reward = -507.0; mean_reward/100_episodes = -511.59; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-29 09:19:19
Episode no = 4500; won: False; iter_time_steps = 14; Q(s,a) = -18.24650408945859; score = -513.0; mean_score/100_episodes = -511.05; reward = -513.0; mean_reward/100_episodes = -510.86; and epsilon = 0.4, win percentage = 0.0, 2024-11-29 09:19:28
Episode no = 4600; won: False; iter_time_steps = 10; Q(s,a) = -18.64064037769337; score = -509.0; mean_score/100_episodes = -511.16; reward = -509.0; mean_reward/100_episodes = -510.79; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-29 09:19:37
Episode no = 4700; won: False; iter_time_steps = 15; Q(s,a) = -18.45162404512243; score = -504.0; mean_score/100_episodes = -511.7; reward = -492.0; mean_reward/100_episodes = -511.17; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-29 09:19:47
Episode no = 4800; won: False; iter_time_steps = 13; Q(s,a) = -18.509789455417447; score = -512.0; mean_score/100_episodes = -500.69; reward = -512.0; mean_reward/100_episodes = -504.39; and epsilon = 0.36, win percentage = 0.01, 2024-11-29 09:19:57
Episode no = 4900; won: False; iter_time_steps = 9; Q(s,a) = -18.849075683498114; score = -508.0; mean_score/100_episodes = -510.37; reward = -508.0; mean_reward/100_episodes = -509.93; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-29 09:20:06
Episode no = 5000; won: False; iter_time_steps = 18; Q(s,a) = -18.967895928801884; score = -507.0; mean_score/100_episodes = -513.01; reward = -506.0; mean_reward/100_episodes = -512.51; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-29 09:20:18
Episode no = 5100; won: False; iter_time_steps = 11; Q(s,a) = -19.068060424080397; score = -510.0; mean_score/100_episodes = -512.03; reward = -510.0; mean_reward/100_episodes = -511.97; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-29 09:20:28
Episode no = 5200; won: False; iter_time_steps = 22; Q(s,a) = -18.910099660763382; score = -511.0; mean_score/100_episodes = -511.14; reward = -510.0; mean_reward/100_episodes = -510.36; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-29 09:20:38
Episode no = 5300; won: False; iter_time_steps = 11; Q(s,a) = -19.28514684844713; score = -510.0; mean_score/100_episodes = -509.82; reward = -510.0; mean_reward/100_episodes = -508.96; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-29 09:20:48
Episode no = 5400; won: False; iter_time_steps = 15; Q(s,a) = -19.190945410179044; score = -504.0; mean_score/100_episodes = -511.17; reward = -492.0; mean_reward/100_episodes = -510.37; and epsilon = 0.28, win percentage = 0.0, 2024-11-29 09:20:58
Episode no = 5500; won: False; iter_time_steps = 12; Q(s,a) = -19.062571996224875; score = -511.0; mean_score/100_episodes = -501.41; reward = -511.0; mean_reward/100_episodes = -504.92; and epsilon = 0.2666666666666667, win percentage = 0.01, 2024-11-29 09:21:09
Episode no = 5600; won: False; iter_time_steps = 17; Q(s,a) = -18.719356033942635; score = -516.0; mean_score/100_episodes = -490.37; reward = -516.0; mean_reward/100_episodes = -498.07; and epsilon = 0.2533333333333333, win percentage = 0.02, 2024-11-29 09:21:20
Episode no = 5700; won: False; iter_time_steps = 10; Q(s,a) = -18.83047753302019; score = -509.0; mean_score/100_episodes = -509.77; reward = -509.0; mean_reward/100_episodes = -508.91; and epsilon = 0.24, win percentage = 0.0, 2024-11-29 09:21:31
