Episode no = 3600; won: False; iter_time_steps = 12; Q(s,a) = -0.999997837085181; score = -511.0; mean_score/100_episodes = -509.57; reward = -511.0; mean_reward/100_episodes = -509.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-08 14:07:30
Episode no = 3700; won: False; iter_time_steps = 8; Q(s,a) = -0.9999980079694634; score = -507.0; mean_score/100_episodes = -509.03; reward = -507.0; mean_reward/100_episodes = -508.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-08 14:07:35
Episode no = 3800; won: False; iter_time_steps = 7; Q(s,a) = -0.9999982290278341; score = -506.0; mean_score/100_episodes = -509.52; reward = -506.0; mean_reward/100_episodes = -509.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-08 14:07:41
Episode no = 3900; won: False; iter_time_steps = 10; Q(s,a) = -0.9999981305453868; score = -509.0; mean_score/100_episodes = -509.4; reward = -509.0; mean_reward/100_episodes = -509.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-08 14:07:47
Episode no = 4000; won: False; iter_time_steps = 6; Q(s,a) = -0.9999982743363411; score = -505.0; mean_score/100_episodes = -510.12; reward = -505.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-08 14:07:53
Episode no = 4100; won: False; iter_time_steps = 20; Q(s,a) = -0.9999981808576173; score = -509.0; mean_score/100_episodes = -509.16; reward = -508.0; mean_reward/100_episodes = -509.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-08 14:07:59
Episode no = 4200; won: False; iter_time_steps = 9; Q(s,a) = -0.9999982081849638; score = -508.0; mean_score/100_episodes = -509.58; reward = -508.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-08 14:08:05
Episode no = 4300; won: False; iter_time_steps = 8; Q(s,a) = -0.9999982607029055; score = -507.0; mean_score/100_episodes = -509.98; reward = -507.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-08 14:08:11
Episode no = 4400; won: False; iter_time_steps = 15; Q(s,a) = -0.9999983786669564; score = -504.0; mean_score/100_episodes = -509.42; reward = -492.0; mean_reward/100_episodes = -509.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-08 14:08:16
Episode no = 4500; won: False; iter_time_steps = 8; Q(s,a) = -0.999998422409901; score = -507.0; mean_score/100_episodes = -509.37; reward = -507.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-08 14:08:22
Episode no = 4600; won: False; iter_time_steps = 12; Q(s,a) = -0.9999983987586825; score = -511.0; mean_score/100_episodes = -510.38; reward = -511.0; mean_reward/100_episodes = -510.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-08 14:08:28
Episode no = 4700; won: False; iter_time_steps = 8; Q(s,a) = -0.9999985058794916; score = -507.0; mean_score/100_episodes = -509.48; reward = -507.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-08 14:08:34
