Episode no = 2900; won: False; iter_time_steps = 41; Q(s,a) = 153.54147378012368; score = -340.0; mean_score/100_episodes = -307.33; reward = -331.0; mean_reward/100_episodes = -298.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-19 05:29:08
Episode no = 3000; won: False; iter_time_steps = 21; Q(s,a) = 152.6011024974942; score = -400.0; mean_score/100_episodes = -299.43; reward = -388.0; mean_reward/100_episodes = -280.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-19 05:29:51
Episode no = 3100; won: False; iter_time_steps = 35; Q(s,a) = 156.99114526104324; score = -364.0; mean_score/100_episodes = -270.37; reward = -347.0; mean_reward/100_episodes = -256.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-19 05:30:37
Episode no = 3200; won: False; iter_time_steps = 106; Q(s,a) = 163.30878848647512; score = -175.0; mean_score/100_episodes = -246.85; reward = -143.0; mean_reward/100_episodes = -235.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-19 05:31:25
Episode no = 3300; won: False; iter_time_steps = 40; Q(s,a) = 162.0067968331774; score = -379.0; mean_score/100_episodes = -245.51; reward = -363.0; mean_reward/100_episodes = -227.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-19 05:32:13
Episode no = 3400; won: False; iter_time_steps = 41; Q(s,a) = 162.41643890074906; score = -320.0; mean_score/100_episodes = -272.93; reward = -309.0; mean_reward/100_episodes = -254.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-19 05:32:53
Episode no = 3500; won: False; iter_time_steps = 12; Q(s,a) = 165.76412481736625; score = -451.0; mean_score/100_episodes = -216.22; reward = -445.0; mean_reward/100_episodes = -200.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-19 05:33:40
Episode no = 3600; won: False; iter_time_steps = 94; Q(s,a) = 167.80674875366176; score = -93.0; mean_score/100_episodes = -209.41; reward = -43.0; mean_reward/100_episodes = -193.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-19 05:34:34
Episode no = 3700; won: False; iter_time_steps = 55; Q(s,a) = 168.17090551612444; score = -214.0; mean_score/100_episodes = -209.19; reward = -180.0; mean_reward/100_episodes = -196.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-19 05:35:22
Episode no = 3800; won: False; iter_time_steps = 65; Q(s,a) = 173.47793445238534; score = -214.0; mean_score/100_episodes = -215.42; reward = -168.0; mean_reward/100_episodes = -193.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-19 05:36:10
