Episode no = 4300; won: False; iter_time_steps = 62; Q(s,a) = 136.15325775845994; score = -241.0; mean_score/100_episodes = -232.14; reward = -198.0; mean_reward/100_episodes = -199.23; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-27 14:36:05
Episode no = 4400; won: False; iter_time_steps = 101; Q(s,a) = 138.38907583777865; score = -50.0; mean_score/100_episodes = -257.61; reward = 16.0; mean_reward/100_episodes = -230.46; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-27 14:36:58
Episode no = 4500; won: False; iter_time_steps = 23; Q(s,a) = 142.35013091477725; score = -352.0; mean_score/100_episodes = -265.69; reward = -324.0; mean_reward/100_episodes = -237.54; and epsilon = 0.4, win percentage = 0.0, 2024-11-27 14:37:46
Episode no = 4600; won: False; iter_time_steps = 34; Q(s,a) = 143.12100305475906; score = -303.0; mean_score/100_episodes = -252.23; reward = -291.0; mean_reward/100_episodes = -223.36; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-27 14:38:33
Episode no = 4700; won: False; iter_time_steps = 26; Q(s,a) = 146.4209375554153; score = -355.0; mean_score/100_episodes = -257.9; reward = -338.0; mean_reward/100_episodes = -227.93; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-27 14:39:21
Episode no = 4800; won: False; iter_time_steps = 57; Q(s,a) = 148.0001491222921; score = -176.0; mean_score/100_episodes = -232.22; reward = -138.0; mean_reward/100_episodes = -201.43; and epsilon = 0.36, win percentage = 0.0, 2024-11-27 14:40:13
Episode no = 4900; won: False; iter_time_steps = 101; Q(s,a) = 150.56788770846785; score = 20.0; mean_score/100_episodes = -227.4; reward = 82.0; mean_reward/100_episodes = -195.6; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-27 14:41:08
Episode no = 5000; won: False; iter_time_steps = 47; Q(s,a) = 152.649160681824; score = -206.0; mean_score/100_episodes = -234.27; reward = -172.0; mean_reward/100_episodes = -205.97; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-27 14:41:58
Episode no = 5100; won: False; iter_time_steps = 30; Q(s,a) = 154.19045249297344; score = -319.0; mean_score/100_episodes = -212.01; reward = -309.0; mean_reward/100_episodes = -182.7; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-27 14:42:49
Episode no = 5200; won: False; iter_time_steps = 25; Q(s,a) = 156.02427069124744; score = -374.0; mean_score/100_episodes = -209.72; reward = -359.0; mean_reward/100_episodes = -174.81; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-27 14:43:42
Episode no = 5300; won: False; iter_time_steps = 23; Q(s,a) = 157.9320169778332; score = -362.0; mean_score/100_episodes = -207.77; reward = -357.0; mean_reward/100_episodes = -173.34; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-27 14:44:35
Episode no = 5400; won: False; iter_time_steps = 21; Q(s,a) = 158.50172889191114; score = -350.0; mean_score/100_episodes = -180.32; reward = -333.0; mean_reward/100_episodes = -144.75; and epsilon = 0.28, win percentage = 0.0, 2024-11-27 14:45:30
Episode no = 5500; won: False; iter_time_steps = 47; Q(s,a) = 159.29492433678521; score = -276.0; mean_score/100_episodes = -191.09; reward = -249.0; mean_reward/100_episodes = -153.6; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-27 14:46:24
