Episode no = 3600; won: False; iter_time_steps = 15; Q(s,a) = -16.56451829382012; score = -504.0; mean_score/100_episodes = -511.14; reward = -503.0; mean_reward/100_episodes = -511.14; and epsilon = 0.52, win percentage = 0.0, 2024-11-19 06:22:04
Episode no = 3700; won: False; iter_time_steps = 16; Q(s,a) = -14.686625520551582; score = -505.0; mean_score/100_episodes = -511.2; reward = -504.0; mean_reward/100_episodes = -511.2; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-19 06:22:31
Episode no = 3800; won: False; iter_time_steps = 10; Q(s,a) = -17.67266062703032; score = -509.0; mean_score/100_episodes = -504.44; reward = -509.0; mean_reward/100_episodes = -504.44; and epsilon = 0.4933333333333333, win percentage = 0.01, 2024-11-19 06:22:56
Episode no = 3900; won: False; iter_time_steps = 10; Q(s,a) = -19.370303877860003; score = -509.0; mean_score/100_episodes = -504.09; reward = -509.0; mean_reward/100_episodes = -504.09; and epsilon = 0.48, win percentage = 0.01, 2024-11-19 06:23:25
Episode no = 4000; won: False; iter_time_steps = 10; Q(s,a) = -17.654191070126778; score = -509.0; mean_score/100_episodes = -508.71; reward = -509.0; mean_reward/100_episodes = -508.71; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-19 06:23:52
Episode no = 4100; won: False; iter_time_steps = 16; Q(s,a) = -14.691458969204858; score = -505.0; mean_score/100_episodes = -501.58; reward = -504.0; mean_reward/100_episodes = -501.58; and epsilon = 0.45333333333333337, win percentage = 0.01, 2024-11-19 06:24:17
Episode no = 4200; won: False; iter_time_steps = 17; Q(s,a) = -12.87834803555142; score = -506.0; mean_score/100_episodes = -507.78; reward = -505.0; mean_reward/100_episodes = -507.78; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-19 06:24:42
Episode no = 4300; won: False; iter_time_steps = 6; Q(s,a) = -20.020167400261165; score = -505.0; mean_score/100_episodes = -496.24; reward = -505.0; mean_reward/100_episodes = -496.24; and epsilon = 0.42666666666666664, win percentage = 0.02, 2024-11-19 06:25:08
Episode no = 4400; won: False; iter_time_steps = 13; Q(s,a) = -15.244647965360054; score = -512.0; mean_score/100_episodes = -509.15; reward = -512.0; mean_reward/100_episodes = -509.15; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-19 06:25:40
Episode no = 4500; won: False; iter_time_steps = 15; Q(s,a) = -13.488690658989457; score = -504.0; mean_score/100_episodes = -509.42; reward = -492.0; mean_reward/100_episodes = -509.42; and epsilon = 0.4, win percentage = 0.0, 2024-11-19 06:26:11
Episode no = 4600; won: False; iter_time_steps = 18; Q(s,a) = -1.5475135130514026; score = -507.0; mean_score/100_episodes = -504.89; reward = -506.0; mean_reward/100_episodes = -504.89; and epsilon = 0.3866666666666667, win percentage = 0.01, 2024-11-19 06:26:43
Episode no = 4700; won: False; iter_time_steps = 19; Q(s,a) = -8.8327712102791; score = -508.0; mean_score/100_episodes = -498.42; reward = -496.0; mean_reward/100_episodes = -498.42; and epsilon = 0.3733333333333333, win percentage = 0.02, 2024-11-19 06:27:17
Episode no = 4800; won: False; iter_time_steps = 21; Q(s,a) = -8.53617340462782; score = -510.0; mean_score/100_episodes = -503.87; reward = -509.0; mean_reward/100_episodes = -503.87; and epsilon = 0.36, win percentage = 0.01, 2024-11-19 06:27:50
Episode no = 4900; won: False; iter_time_steps = 14; Q(s,a) = -5.31749439230901; score = -503.0; mean_score/100_episodes = -510.7; reward = -502.0; mean_reward/100_episodes = -510.7; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-19 06:28:23
Episode no = 5000; won: False; iter_time_steps = 12; Q(s,a) = -6.992590735669447; score = -511.0; mean_score/100_episodes = -503.79; reward = -511.0; mean_reward/100_episodes = -503.79; and epsilon = 0.33333333333333337, win percentage = 0.01, 2024-11-19 06:28:59
Episode no = 5100; won: False; iter_time_steps = 19; Q(s,a) = -7.54095872086486; score = -508.0; mean_score/100_episodes = -499.38; reward = -507.0; mean_reward/100_episodes = -499.38; and epsilon = 0.31999999999999995, win percentage = 0.02, 2024-11-19 06:29:37
Episode no = 5200; won: False; iter_time_steps = 18; Q(s,a) = -5.997273074583507; score = -517.0; mean_score/100_episodes = -492.45; reward = -517.0; mean_reward/100_episodes = -492.45; and epsilon = 0.30666666666666664, win percentage = 0.03, 2024-11-19 06:30:14
Episode no = 5300; won: False; iter_time_steps = 18; Q(s,a) = -3.4817403661434945; score = -507.0; mean_score/100_episodes = -498.23; reward = -506.0; mean_reward/100_episodes = -498.23; and epsilon = 0.29333333333333333, win percentage = 0.02, 2024-11-19 06:30:51
Episode no = 5400; won: False; iter_time_steps = 31; Q(s,a) = -6.821346704305932; score = -520.0; mean_score/100_episodes = -473.49; reward = -519.0; mean_reward/100_episodes = -473.49; and epsilon = 0.28, win percentage = 0.06, 2024-11-19 06:31:27
Episode no = 5500; won: False; iter_time_steps = 15; Q(s,a) = -3.103153355150818; score = -504.0; mean_score/100_episodes = -503.07; reward = -514.0; mean_reward/100_episodes = -503.07; and epsilon = 0.2666666666666667, win percentage = 0.01, 2024-11-19 06:32:05
Episode no = 5600; won: False; iter_time_steps = 19; Q(s,a) = -2.5384495780139087; score = -508.0; mean_score/100_episodes = -480.01; reward = -507.0; mean_reward/100_episodes = -480.01; and epsilon = 0.2533333333333333, win percentage = 0.05, 2024-11-19 06:32:44
Episode no = 5700; won: False; iter_time_steps = 26; Q(s,a) = -7.269508539367367; score = -515.0; mean_score/100_episodes = -468.25; reward = -514.0; mean_reward/100_episodes = -468.25; and epsilon = 0.24, win percentage = 0.07, 2024-11-19 06:33:21
Episode no = 5800; won: True; iter_time_steps = 21; Q(s,a) = -1.0944647492876274; score = 500.0; mean_score/100_episodes = -398.52; reward = 91.0; mean_reward/100_episodes = -398.52; and epsilon = 0.22666666666666668, win percentage = 0.19, 2024-11-19 06:34:05
Episode no = 5900; won: False; iter_time_steps = 34; Q(s,a) = -3.911481263958341; score = -533.0; mean_score/100_episodes = -311.06; reward = -533.0; mean_reward/100_episodes = -311.06; and epsilon = 0.21333333333333337, win percentage = 0.34, 2024-11-19 06:34:51
Episode no = 6000; won: True; iter_time_steps = 54; Q(s,a) = -5.670526453349505; score = 467.0; mean_score/100_episodes = -210.65; reward = 58.0; mean_reward/100_episodes = -210.65; and epsilon = 0.19999999999999996, win percentage = 0.51, 2024-11-19 06:35:45
Episode no = 6100; won: True; iter_time_steps = 30; Q(s,a) = -9.262324618808627; score = 491.0; mean_score/100_episodes = -193.23; reward = 82.0; mean_reward/100_episodes = -193.23; and epsilon = 0.18666666666666665, win percentage = 0.55, 2024-11-19 06:36:52
Episode no = 6200; won: True; iter_time_steps = 40; Q(s,a) = -4.099835965201979; score = 481.0; mean_score/100_episodes = -229.93; reward = 72.0; mean_reward/100_episodes = -229.93; and epsilon = 0.17333333333333334, win percentage = 0.48, 2024-11-19 06:37:47
Episode no = 6300; won: False; iter_time_steps = 17; Q(s,a) = -5.610530476158733; score = -516.0; mean_score/100_episodes = -252.7; reward = -516.0; mean_reward/100_episodes = -252.7; and epsilon = 0.16000000000000003, win percentage = 0.44, 2024-11-19 06:38:41
Episode no = 6400; won: True; iter_time_steps = 17; Q(s,a) = 13.026188070365754; score = 504.0; mean_score/100_episodes = -137.3; reward = 95.0; mean_reward/100_episodes = -137.3; and epsilon = 0.1466666666666666, win percentage = 0.64, 2024-11-19 06:39:46
Episode no = 6500; won: False; iter_time_steps = 15; Q(s,a) = -9.130688629411907; score = -514.0; mean_score/100_episodes = -127.69; reward = -514.0; mean_reward/100_episodes = -127.69; and epsilon = 0.1333333333333333, win percentage = 0.65, 2024-11-19 06:40:45
Episode no = 6600; won: False; iter_time_steps = 47; Q(s,a) = -6.823281036778026; score = -536.0; mean_score/100_episodes = -69.1; reward = -535.0; mean_reward/100_episodes = -69.1; and epsilon = 0.12, win percentage = 0.75, 2024-11-19 06:41:45
Episode no = 6700; won: True; iter_time_steps = 29; Q(s,a) = 34.812175583472296; score = 492.0; mean_score/100_episodes = -17.61; reward = 83.0; mean_reward/100_episodes = -17.61; and epsilon = 0.10666666666666669, win percentage = 0.83, 2024-11-19 06:42:42
Episode no = 6800; won: True; iter_time_steps = 30; Q(s,a) = -8.468891128281314; score = 491.0; mean_score/100_episodes = -37.44; reward = 82.0; mean_reward/100_episodes = -37.44; and epsilon = 0.1, win percentage = 0.8, 2024-11-19 06:43:40
Episode no = 6900; won: True; iter_time_steps = 30; Q(s,a) = -8.008643462590054; score = 491.0; mean_score/100_episodes = -43.86; reward = 82.0; mean_reward/100_episodes = -43.86; and epsilon = 0.1, win percentage = 0.79, 2024-11-19 06:44:41
Episode no = 7000; won: True; iter_time_steps = 19; Q(s,a) = 82.39661174160021; score = 502.0; mean_score/100_episodes = -36.29; reward = 93.0; mean_reward/100_episodes = -36.29; and epsilon = 0.1, win percentage = 0.81, 2024-11-19 06:45:53
Episode no = 7100; won: True; iter_time_steps = 20; Q(s,a) = 92.47199595835814; score = 501.0; mean_score/100_episodes = -68.05; reward = 92.0; mean_reward/100_episodes = -68.05; and epsilon = 0.1, win percentage = 0.75, 2024-11-19 06:46:55
Episode no = 7200; won: True; iter_time_steps = 48; Q(s,a) = 87.22668809279205; score = 473.0; mean_score/100_episodes = -7.21; reward = 64.0; mean_reward/100_episodes = -7.21; and epsilon = 0.1, win percentage = 0.85, 2024-11-19 06:47:53
Episode no = 7300; won: True; iter_time_steps = 54; Q(s,a) = 4.6606293035818664; score = 467.0; mean_score/100_episodes = -78.7; reward = 58.0; mean_reward/100_episodes = -78.7; and epsilon = 0.1, win percentage = 0.73, 2024-11-19 06:48:53
Episode no = 7400; won: False; iter_time_steps = 15; Q(s,a) = -13.92547257097386; score = -504.0; mean_score/100_episodes = -3.58; reward = -492.0; mean_reward/100_episodes = -3.58; and epsilon = 0.1, win percentage = 0.86, 2024-11-19 06:49:57
Episode no = 7500; won: True; iter_time_steps = 30; Q(s,a) = 105.17022883480159; score = 491.0; mean_score/100_episodes = -91.93; reward = 82.0; mean_reward/100_episodes = -91.93; and epsilon = 0.1, win percentage = 0.72, 2024-11-19 06:51:07
Episode no = 7600; won: False; iter_time_steps = 23; Q(s,a) = 5.6382926838539635; score = -512.0; mean_score/100_episodes = -143.34; reward = -511.0; mean_reward/100_episodes = -143.34; and epsilon = 0.1, win percentage = 0.64, 2024-11-19 06:52:24
Episode no = 7700; won: True; iter_time_steps = 17; Q(s,a) = 112.48545081005304; score = 504.0; mean_score/100_episodes = -56.81; reward = 95.0; mean_reward/100_episodes = -56.81; and epsilon = 0.1, win percentage = 0.78, 2024-11-19 06:53:39
Episode no = 7800; won: True; iter_time_steps = 50; Q(s,a) = 28.677001357217726; score = 471.0; mean_score/100_episodes = -54.16; reward = 62.0; mean_reward/100_episodes = -54.16; and epsilon = 0.1, win percentage = 0.78, 2024-11-19 06:54:47
Episode no = 7900; won: True; iter_time_steps = 41; Q(s,a) = 93.61967402017984; score = 480.0; mean_score/100_episodes = -35.27; reward = 71.0; mean_reward/100_episodes = -35.27; and epsilon = 0.1, win percentage = 0.81, 2024-11-19 06:55:57
Episode no = 8000; won: True; iter_time_steps = 50; Q(s,a) = 124.29747331016702; score = 471.0; mean_score/100_episodes = -127.48; reward = 62.0; mean_reward/100_episodes = -127.48; and epsilon = 0.1, win percentage = 0.66, 2024-11-19 06:57:05
Episode no = 8100; won: True; iter_time_steps = 19; Q(s,a) = 128.71410067817982; score = 502.0; mean_score/100_episodes = -79.88; reward = 93.0; mean_reward/100_episodes = -79.88; and epsilon = 0.1, win percentage = 0.72, 2024-11-19 06:57:51
Episode no = 8200; won: True; iter_time_steps = 17; Q(s,a) = 48.859176650714716; score = 504.0; mean_score/100_episodes = -84.76; reward = 95.0; mean_reward/100_episodes = -84.76; and epsilon = 0.1, win percentage = 0.71, 2024-11-19 06:58:34
Episode no = 8300; won: True; iter_time_steps = 26; Q(s,a) = 63.976090500773914; score = 495.0; mean_score/100_episodes = -42.22; reward = 86.0; mean_reward/100_episodes = -42.22; and epsilon = 0.1, win percentage = 0.78, 2024-11-19 06:59:17
Episode no = 8400; won: False; iter_time_steps = 25; Q(s,a) = 14.008517349590749; score = -514.0; mean_score/100_episodes = -15.04; reward = -513.0; mean_reward/100_episodes = -15.04; and epsilon = 0.1, win percentage = 0.83, 2024-11-19 07:00:06
Episode no = 8500; won: True; iter_time_steps = 29; Q(s,a) = 145.43394372340606; score = 492.0; mean_score/100_episodes = -40.77; reward = 83.0; mean_reward/100_episodes = -40.77; and epsilon = 0.1, win percentage = 0.79, 2024-11-19 07:00:59
Episode no = 8600; won: True; iter_time_steps = 29; Q(s,a) = 111.91831229557692; score = 492.0; mean_score/100_episodes = -25.57; reward = 83.0; mean_reward/100_episodes = -25.57; and epsilon = 0.1, win percentage = 0.82, 2024-11-19 07:01:56
Episode no = 8700; won: False; iter_time_steps = 27; Q(s,a) = 59.18687077073311; score = -516.0; mean_score/100_episodes = -50.84; reward = -515.0; mean_reward/100_episodes = -50.84; and epsilon = 0.1, win percentage = 0.77, 2024-11-19 07:02:44
