Episode no = 3700; won: False; iter_time_steps = 92; Q(s,a) = -12.836441705668896; score = -551.0; mean_score/100_episodes = -465.57; reward = -547.0; mean_reward/100_episodes = -456.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-14 11:59:37
Episode no = 3800; won: False; iter_time_steps = 31; Q(s,a) = -13.004803547854017; score = -510.0; mean_score/100_episodes = -456.15; reward = -508.0; mean_reward/100_episodes = -445.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-14 12:00:54
Episode no = 3900; won: False; iter_time_steps = 31; Q(s,a) = -13.140346384670973; score = -430.0; mean_score/100_episodes = -455.85; reward = -420.0; mean_reward/100_episodes = -449.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-14 12:02:08
Episode no = 4000; won: False; iter_time_steps = 55; Q(s,a) = -13.262404762507703; score = -524.0; mean_score/100_episodes = -453.86; reward = -521.0; mean_reward/100_episodes = -446.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-14 12:03:29
Episode no = 4100; won: False; iter_time_steps = 34; Q(s,a) = -13.388548789660092; score = -453.0; mean_score/100_episodes = -426.96; reward = -445.0; mean_reward/100_episodes = -428.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-14 12:04:49
Episode no = 4200; won: False; iter_time_steps = 311; Q(s,a) = -13.494713161122847; score = -440.0; mean_score/100_episodes = -445.49; reward = -572.0; mean_reward/100_episodes = -442.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-14 12:06:20
Episode no = 4300; won: False; iter_time_steps = 87; Q(s,a) = -13.594251385744364; score = -386.0; mean_score/100_episodes = -454.72; reward = -366.0; mean_reward/100_episodes = -448.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-14 12:07:47
Episode no = 4400; won: False; iter_time_steps = 21; Q(s,a) = -13.6615345869014; score = -440.0; mean_score/100_episodes = -443.32; reward = -432.0; mean_reward/100_episodes = -435.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-14 12:09:16
Episode no = 4500; won: False; iter_time_steps = 74; Q(s,a) = -13.743754565952617; score = -343.0; mean_score/100_episodes = -432.3; reward = -309.0; mean_reward/100_episodes = -418.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-14 12:10:37
Episode no = 4600; won: False; iter_time_steps = 21; Q(s,a) = -13.81660120697771; score = -430.0; mean_score/100_episodes = -432.28; reward = -410.0; mean_reward/100_episodes = -424.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-14 12:11:52
