Episode no = 2900; won: False; iter_time_steps = 11; Q(s,a) = -13.208729746021898; score = -510.0; mean_score/100_episodes = -510.1; reward = -510.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-10 14:22:07
Episode no = 3000; won: False; iter_time_steps = 6; Q(s,a) = -15.401692790221471; score = -505.0; mean_score/100_episodes = -508.39; reward = -505.0; mean_reward/100_episodes = -508.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-10 14:22:14
Episode no = 3100; won: False; iter_time_steps = 35; Q(s,a) = -12.731482085540186; score = -524.0; mean_score/100_episodes = -509.42; reward = -523.0; mean_reward/100_episodes = -509.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-10 14:22:22
Episode no = 3200; won: False; iter_time_steps = 8; Q(s,a) = -16.165094081078383; score = -507.0; mean_score/100_episodes = -510.39; reward = -507.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-10 14:22:30
Episode no = 3300; won: False; iter_time_steps = 13; Q(s,a) = -15.400013493953422; score = -512.0; mean_score/100_episodes = -500.13; reward = -512.0; mean_reward/100_episodes = -504.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.01, 2024-12-10 14:22:37
Episode no = 3400; won: False; iter_time_steps = 9; Q(s,a) = -15.570633357865407; score = -508.0; mean_score/100_episodes = -509.97; reward = -508.0; mean_reward/100_episodes = -509.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-10 14:22:45
Episode no = 3500; won: False; iter_time_steps = 12; Q(s,a) = -16.154522545249893; score = -511.0; mean_score/100_episodes = -511.32; reward = -511.0; mean_reward/100_episodes = -511.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-10 14:22:54
Episode no = 3600; won: False; iter_time_steps = 14; Q(s,a) = -14.793894202131273; score = -503.0; mean_score/100_episodes = -510.37; reward = -502.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-10 14:23:02
Episode no = 3700; won: False; iter_time_steps = 9; Q(s,a) = -16.761030548079884; score = -508.0; mean_score/100_episodes = -510.49; reward = -508.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-10 14:23:10
Episode no = 3800; won: False; iter_time_steps = 7; Q(s,a) = -16.4503702627274; score = -506.0; mean_score/100_episodes = -509.91; reward = -506.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-10 14:23:18
