Episode no = 3600; won: False; iter_time_steps = 49; Q(s,a) = 93.88404422788714; score = -298.0; mean_score/100_episodes = -281.23; reward = -273.0; mean_reward/100_episodes = -260.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-04 06:55:45
Episode no = 3700; won: False; iter_time_steps = 28; Q(s,a) = 106.2332905759756; score = -367.0; mean_score/100_episodes = -259.18; reward = -340.0; mean_reward/100_episodes = -240.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-04 06:56:49
Episode no = 3800; won: False; iter_time_steps = 49; Q(s,a) = 113.03724581850437; score = -318.0; mean_score/100_episodes = -281.19; reward = -295.0; mean_reward/100_episodes = -259.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-04 06:57:45
Episode no = 3900; won: False; iter_time_steps = 32; Q(s,a) = 110.1588798637127; score = -341.0; mean_score/100_episodes = -265.93; reward = -311.0; mean_reward/100_episodes = -238.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-04 06:58:56
Episode no = 4000; won: False; iter_time_steps = 104; Q(s,a) = 119.17131643274055; score = -133.0; mean_score/100_episodes = -250.39; reward = -86.0; mean_reward/100_episodes = -225.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-04 07:00:10
Episode no = 4100; won: False; iter_time_steps = 31; Q(s,a) = 109.72522931563729; score = -290.0; mean_score/100_episodes = -231.37; reward = -277.0; mean_reward/100_episodes = -211.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-04 07:01:20
Episode no = 4200; won: False; iter_time_steps = 36; Q(s,a) = 123.87431436092999; score = -325.0; mean_score/100_episodes = -215.76; reward = -304.0; mean_reward/100_episodes = -187.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-04 07:02:40
Episode no = 4300; won: False; iter_time_steps = 47; Q(s,a) = 126.2949946298557; score = -216.0; mean_score/100_episodes = -215.23; reward = -183.0; mean_reward/100_episodes = -199.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-04 07:03:50
Episode no = 4400; won: False; iter_time_steps = 38; Q(s,a) = 126.35016551581114; score = -387.0; mean_score/100_episodes = -220.25; reward = -361.0; mean_reward/100_episodes = -191.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-04 07:05:00
Episode no = 4500; won: False; iter_time_steps = 40; Q(s,a) = 129.2212156832538; score = -259.0; mean_score/100_episodes = -191.3; reward = -220.0; mean_reward/100_episodes = -168.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-04 07:06:31
Episode no = 4600; won: False; iter_time_steps = 43; Q(s,a) = 130.01365710052931; score = -272.0; mean_score/100_episodes = -198.15; reward = -256.0; mean_reward/100_episodes = -177.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-04 07:07:41
Episode no = 4700; won: False; iter_time_steps = 77; Q(s,a) = 122.63491299917148; score = -296.0; mean_score/100_episodes = -181.71; reward = -268.0; mean_reward/100_episodes = -159.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-04 07:08:54
Episode no = 4800; won: False; iter_time_steps = 79; Q(s,a) = 132.83819924894524; score = -78.0; mean_score/100_episodes = -165.29; reward = -39.0; mean_reward/100_episodes = -143.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-04 07:10:14
Episode no = 4900; won: False; iter_time_steps = 295; Q(s,a) = 137.674973060313; score = 246.0; mean_score/100_episodes = -164.89; reward = 181.0; mean_reward/100_episodes = -142.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-04 07:11:31
Episode no = 5000; won: False; iter_time_steps = 19; Q(s,a) = 138.5168868954468; score = -418.0; mean_score/100_episodes = -134.32; reward = -408.0; mean_reward/100_episodes = -112.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-04 07:12:59
Episode no = 5100; won: False; iter_time_steps = 32; Q(s,a) = 136.6950688938351; score = -251.0; mean_score/100_episodes = -122.4; reward = -223.0; mean_reward/100_episodes = -107.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-04 07:14:30
Episode no = 5200; won: False; iter_time_steps = 51; Q(s,a) = 139.88728425818533; score = -190.0; mean_score/100_episodes = -113.95; reward = -154.0; mean_reward/100_episodes = -105.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-04 07:16:01
Episode no = 5300; won: False; iter_time_steps = 32; Q(s,a) = 142.1745963454751; score = -291.0; mean_score/100_episodes = -52.76; reward = -278.0; mean_reward/100_episodes = -48.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-04 07:17:41
Episode no = 5400; won: False; iter_time_steps = 197; Q(s,a) = 137.38161165445615; score = -176.0; mean_score/100_episodes = -57.42; reward = -124.0; mean_reward/100_episodes = -45.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-04 07:19:27
