Episode no = 2900; won: False; iter_time_steps = 418; Q(s,a) = 85.00965720860323; score = -177.0; mean_score/100_episodes = -316.53; reward = -103.0; mean_reward/100_episodes = -294.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-11 04:39:52
Episode no = 3000; won: False; iter_time_steps = 48; Q(s,a) = 91.27934263070914; score = -277.0; mean_score/100_episodes = -301.46; reward = -239.0; mean_reward/100_episodes = -279.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-11 04:40:56
Episode no = 3100; won: False; iter_time_steps = 40; Q(s,a) = 95.64521918871091; score = -379.0; mean_score/100_episodes = -305.17; reward = -363.0; mean_reward/100_episodes = -284.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-11 04:41:58
Episode no = 3200; won: False; iter_time_steps = 112; Q(s,a) = 102.26841137304925; score = -251.0; mean_score/100_episodes = -306.37; reward = -215.0; mean_reward/100_episodes = -282.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-11 04:43:00
Episode no = 3300; won: False; iter_time_steps = 21; Q(s,a) = 104.14122832244396; score = -450.0; mean_score/100_episodes = -280.95; reward = -443.0; mean_reward/100_episodes = -259.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-11 04:44:10
Episode no = 3400; won: False; iter_time_steps = 174; Q(s,a) = 104.6139936443528; score = -263.0; mean_score/100_episodes = -262.94; reward = -222.0; mean_reward/100_episodes = -240.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-11 04:45:19
Episode no = 3500; won: False; iter_time_steps = 112; Q(s,a) = 110.00808133940242; score = -81.0; mean_score/100_episodes = -267.39; reward = -17.0; mean_reward/100_episodes = -240.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-11 04:46:32
Episode no = 3600; won: False; iter_time_steps = 28; Q(s,a) = 112.23166279641482; score = -357.0; mean_score/100_episodes = -241.9; reward = -329.0; mean_reward/100_episodes = -217.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-11 04:47:44
Episode no = 3700; won: False; iter_time_steps = 70; Q(s,a) = 113.81348878570518; score = -269.0; mean_score/100_episodes = -239.45; reward = -239.0; mean_reward/100_episodes = -219.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-11 04:48:51
Episode no = 3800; won: False; iter_time_steps = 203; Q(s,a) = 119.09503088117374; score = 88.0; mean_score/100_episodes = -229.22; reward = 167.0; mean_reward/100_episodes = -208.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-11 04:50:13
Episode no = 3900; won: False; iter_time_steps = 36; Q(s,a) = 120.65138164923539; score = -365.0; mean_score/100_episodes = -239.64; reward = -348.0; mean_reward/100_episodes = -214.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-11 04:51:40
Episode no = 4000; won: False; iter_time_steps = 147; Q(s,a) = 121.32566737824415; score = 124.0; mean_score/100_episodes = -233.88; reward = 21.0; mean_reward/100_episodes = -213.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-11 04:52:51
Episode no = 4100; won: False; iter_time_steps = 191; Q(s,a) = 121.82184619868403; score = -30.0; mean_score/100_episodes = -196.06; reward = 47.0; mean_reward/100_episodes = -170.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-11 04:54:27
Episode no = 4200; won: False; iter_time_steps = 67; Q(s,a) = 124.09241139308749; score = -176.0; mean_score/100_episodes = -188.51; reward = -148.0; mean_reward/100_episodes = -172.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-11 04:55:51
Episode no = 4300; won: False; iter_time_steps = 31; Q(s,a) = 126.27793141933775; score = -330.0; mean_score/100_episodes = -171.15; reward = -310.0; mean_reward/100_episodes = -148.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-11 04:57:23
Episode no = 4400; won: False; iter_time_steps = 45; Q(s,a) = 127.08516616598769; score = -194.0; mean_score/100_episodes = -186.63; reward = -159.0; mean_reward/100_episodes = -166.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-11 04:58:43
Episode no = 4500; won: False; iter_time_steps = 41; Q(s,a) = 130.50607395460298; score = -340.0; mean_score/100_episodes = -128.31; reward = -309.0; mean_reward/100_episodes = -122.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-11 06:05:22
Episode no = 4600; won: False; iter_time_steps = 235; Q(s,a) = 131.8378451716618; score = 736.0; mean_score/100_episodes = -147.05; reward = 365.0; mean_reward/100_episodes = -127.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-11 06:06:49
Episode no = 4700; won: False; iter_time_steps = 29; Q(s,a) = 132.6349386801552; score = -358.0; mean_score/100_episodes = -117.33; reward = -330.0; mean_reward/100_episodes = -115.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-11 06:08:16
Episode no = 4800; won: False; iter_time_steps = 28; Q(s,a) = 134.0771484633961; score = -337.0; mean_score/100_episodes = -124.32; reward = -318.0; mean_reward/100_episodes = -130.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-11 06:09:49
Episode no = 4900; won: False; iter_time_steps = 118; Q(s,a) = 135.1306559456497; score = 43.0; mean_score/100_episodes = -114.47; reward = 109.0; mean_reward/100_episodes = -108.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-11 06:11:05
Episode no = 5000; won: False; iter_time_steps = 21; Q(s,a) = 137.17202286190394; score = -370.0; mean_score/100_episodes = -114.07; reward = -344.0; mean_reward/100_episodes = -106.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-11 06:12:26
Episode no = 5100; won: False; iter_time_steps = 90; Q(s,a) = 138.4517354997966; score = -49.0; mean_score/100_episodes = -54.14; reward = 5.0; mean_reward/100_episodes = -51.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-11 06:13:58
Episode no = 5200; won: False; iter_time_steps = 16; Q(s,a) = 141.06845837603873; score = -395.0; mean_score/100_episodes = -87.45; reward = -394.0; mean_reward/100_episodes = -84.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-11 06:15:26
Episode no = 5300; won: False; iter_time_steps = 81; Q(s,a) = 143.38534117503022; score = 230.0; mean_score/100_episodes = -36.39; reward = 131.0; mean_reward/100_episodes = -37.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.01, 2024-12-11 06:17:10
Episode no = 5400; won: False; iter_time_steps = 196; Q(s,a) = 143.6774721512557; score = 135.0; mean_score/100_episodes = -40.21; reward = 60.0; mean_reward/100_episodes = -32.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-11 06:18:44
Episode no = 5500; won: False; iter_time_steps = 160; Q(s,a) = 144.5050609492885; score = 291.0; mean_score/100_episodes = -48.28; reward = 228.0; mean_reward/100_episodes = -45.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-11 06:20:22
Episode no = 5600; won: False; iter_time_steps = 130; Q(s,a) = 144.21239069486896; score = 221.0; mean_score/100_episodes = -10.73; reward = 137.0; mean_reward/100_episodes = -12.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-11 06:21:59
Episode no = 5700; won: False; iter_time_steps = 210; Q(s,a) = 145.01124938534014; score = 371.0; mean_score/100_episodes = 11.22; reward = 310.0; mean_reward/100_episodes = -1.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-11 06:23:36
Episode no = 5800; won: False; iter_time_steps = 161; Q(s,a) = 150.8466820477199; score = 250.0; mean_score/100_episodes = 45.36; reward = 341.0; mean_reward/100_episodes = 35.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-11 06:25:25
Episode no = 5900; won: False; iter_time_steps = 25; Q(s,a) = 150.89388947204; score = -324.0; mean_score/100_episodes = 91.8; reward = -293.0; mean_reward/100_episodes = 69.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.01, 2024-12-11 06:27:12
Episode no = 6000; won: False; iter_time_steps = 53; Q(s,a) = 148.54359248958116; score = -142.0; mean_score/100_episodes = 38.23; reward = -101.0; mean_reward/100_episodes = 23.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.01, 2024-12-11 06:28:45
Episode no = 6100; won: False; iter_time_steps = 21; Q(s,a) = 150.3183960149162; score = -350.0; mean_score/100_episodes = 24.57; reward = -322.0; mean_reward/100_episodes = 14.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-11 06:30:26
Episode no = 6200; won: False; iter_time_steps = 145; Q(s,a) = 148.8117762728452; score = 456.0; mean_score/100_episodes = 131.31; reward = 397.0; mean_reward/100_episodes = 89.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.01, 2024-12-11 06:32:25
Episode no = 6300; won: False; iter_time_steps = 116; Q(s,a) = 148.86083502953588; score = 325.0; mean_score/100_episodes = 141.94; reward = 239.0; mean_reward/100_episodes = 84.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-11 06:34:22
Episode no = 6400; won: False; iter_time_steps = 38; Q(s,a) = 150.6989856001929; score = -227.0; mean_score/100_episodes = 187.98; reward = -196.0; mean_reward/100_episodes = 135.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.01, 2024-12-11 06:36:19
Episode no = 6500; won: False; iter_time_steps = 36; Q(s,a) = 149.29402206206692; score = -235.0; mean_score/100_episodes = 194.62; reward = -194.0; mean_reward/100_episodes = 136.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-11 06:38:18
Episode no = 6600; won: False; iter_time_steps = 144; Q(s,a) = 152.4969105277241; score = 247.0; mean_score/100_episodes = 250.2; reward = 336.0; mean_reward/100_episodes = 166.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-11 06:40:28
Episode no = 6700; won: False; iter_time_steps = 103; Q(s,a) = 150.19962160150638; score = 188.0; mean_score/100_episodes = 186.21; reward = 278.0; mean_reward/100_episodes = 137.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.01, 2024-12-11 06:42:27
Episode no = 6800; won: False; iter_time_steps = 30; Q(s,a) = 151.65956834042822; score = -329.0; mean_score/100_episodes = 239.33; reward = -298.0; mean_reward/100_episodes = 160.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-11 06:44:08
Episode no = 6900; won: False; iter_time_steps = 96; Q(s,a) = 152.4807300385213; score = -5.0; mean_score/100_episodes = 282.93; reward = 54.0; mean_reward/100_episodes = 196.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-11 06:46:12
Episode no = 7000; won: False; iter_time_steps = 117; Q(s,a) = 152.99029403832193; score = 224.0; mean_score/100_episodes = 361.54; reward = 308.0; mean_reward/100_episodes = 242.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-11 06:48:25
Episode no = 7100; won: False; iter_time_steps = 198; Q(s,a) = 151.82544524141426; score = 603.0; mean_score/100_episodes = 310.23; reward = 384.0; mean_reward/100_episodes = 217.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-11 06:50:35
