Episode no = 5800; won: False; iter_time_steps = 8; Q(s,a) = -20.92107502049033; score = -507.0; mean_score/100_episodes = -510.1; reward = -507.0; mean_reward/100_episodes = -510.01; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-20 09:00:03
Episode no = 5900; won: False; iter_time_steps = 9; Q(s,a) = -21.37323511046253; score = -508.0; mean_score/100_episodes = -510.92; reward = -508.0; mean_reward/100_episodes = -510.62; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-20 09:00:27
Episode no = 6000; won: False; iter_time_steps = 9; Q(s,a) = -21.278649704890135; score = -508.0; mean_score/100_episodes = -510.58; reward = -508.0; mean_reward/100_episodes = -510.39; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-20 09:00:52
Episode no = 6100; won: False; iter_time_steps = 10; Q(s,a) = -21.354058388518222; score = -509.0; mean_score/100_episodes = -512.03; reward = -509.0; mean_reward/100_episodes = -511.99; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-20 09:01:18
Episode no = 6200; won: False; iter_time_steps = 14; Q(s,a) = -21.113354952083263; score = -513.0; mean_score/100_episodes = -512.59; reward = -513.0; mean_reward/100_episodes = -512.4; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-20 09:01:47
Episode no = 6300; won: False; iter_time_steps = 8; Q(s,a) = -21.758174058425553; score = -507.0; mean_score/100_episodes = -509.67; reward = -507.0; mean_reward/100_episodes = -509.37; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-20 09:02:10
Episode no = 6400; won: False; iter_time_steps = 12; Q(s,a) = -21.75518806969456; score = -511.0; mean_score/100_episodes = -510.65; reward = -511.0; mean_reward/100_episodes = -510.61; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-20 09:02:33
Episode no = 6500; won: False; iter_time_steps = 9; Q(s,a) = -21.84898874025289; score = -508.0; mean_score/100_episodes = -509.24; reward = -508.0; mean_reward/100_episodes = -509.04; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-20 09:02:53
Episode no = 6600; won: False; iter_time_steps = 26; Q(s,a) = -20.233873615937036; score = -525.0; mean_score/100_episodes = -510.67; reward = -525.0; mean_reward/100_episodes = -510.48; and epsilon = 0.12, win percentage = 0.0, 2024-11-20 09:03:17
Episode no = 6700; won: False; iter_time_steps = 9; Q(s,a) = -20.242935155612585; score = -508.0; mean_score/100_episodes = -510.06; reward = -508.0; mean_reward/100_episodes = -510.1; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-20 09:03:40
Episode no = 6800; won: False; iter_time_steps = 8; Q(s,a) = -20.84333545141986; score = -507.0; mean_score/100_episodes = -511.36; reward = -507.0; mean_reward/100_episodes = -511.11; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:04:07
