Episode no = 5400; won: False; iter_time_steps = 52; Q(s,a) = 194.38768191087374; score = -211.0; mean_score/100_episodes = -25.25; reward = -188.0; mean_reward/100_episodes = -68.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 4115.520645898005; and epsilon = 0.28, win percentage = 0.0, 2024-12-02 04:46:47
Episode no = 5500; won: False; iter_time_steps = 97; Q(s,a) = 241.3795802710863; score = 464.0; mean_score/100_episodes = 42.63; reward = 221.0; mean_reward/100_episodes = -23.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 4268.462837230725; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-02 04:47:55
Episode no = 5600; won: False; iter_time_steps = 107; Q(s,a) = 196.8577205861412; score = 274.0; mean_score/100_episodes = 52.34; reward = 182.0; mean_reward/100_episodes = -9.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 4426.816290745786; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-02 04:49:06
Episode no = 5700; won: False; iter_time_steps = 24; Q(s,a) = 193.1484967796941; score = -383.0; mean_score/100_episodes = 108.23; reward = -358.0; mean_reward/100_episodes = 12.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 4594.134671159949; and epsilon = 0.24, win percentage = 0.0, 2024-12-02 04:50:19
Episode no = 5800; won: False; iter_time_steps = 98; Q(s,a) = 214.53197200877085; score = 623.0; mean_score/100_episodes = 80.28; reward = 216.0; mean_reward/100_episodes = 0.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 4757.01097067816; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-02 04:51:30
Episode no = 5900; won: False; iter_time_steps = 91; Q(s,a) = 195.64189270575446; score = 130.0; mean_score/100_episodes = 130.99; reward = 33.0; mean_reward/100_episodes = 23.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 4920.883373185161; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-02 04:52:40
Episode no = 6000; won: False; iter_time_steps = 55; Q(s,a) = 252.24044811011996; score = -24.0; mean_score/100_episodes = 138.7; reward = -129.0; mean_reward/100_episodes = 39.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 5085.83264378815; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-02 04:53:58
Episode no = 6100; won: False; iter_time_steps = 92; Q(s,a) = 227.13930477107394; score = 269.0; mean_score/100_episodes = 220.9; reward = 175.0; mean_reward/100_episodes = 62.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 5259.881449802238; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-02 04:55:12
Episode no = 6200; won: False; iter_time_steps = 88; Q(s,a) = 233.65255334593274; score = 613.0; mean_score/100_episodes = 235.1; reward = 153.0; mean_reward/100_episodes = 82.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 5433.284134958734; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-02 04:56:23
Episode no = 6300; won: False; iter_time_steps = 95; Q(s,a) = 227.5175089946403; score = 246.0; mean_score/100_episodes = 183.1; reward = 150.0; mean_reward/100_episodes = 66.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 5611.021214201583; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-02 04:57:34
