Episode no = 4900; won: False; iter_time_steps = 63; Q(s,a) = 164.19580898261623; score = -212.0; mean_score/100_episodes = 84.83; reward = -177.0; mean_reward/100_episodes = 44.44; and epsilon = 0.3466666666666667, win percentage = 0.02, 2024-11-24 18:26:07
Episode no = 5000; won: False; iter_time_steps = 36; Q(s,a) = 165.74700818154972; score = -355.0; mean_score/100_episodes = 155.46; reward = -337.0; mean_reward/100_episodes = 103.24; and epsilon = 0.33333333333333337, win percentage = 0.05, 2024-11-24 18:30:51
Episode no = 5100; won: False; iter_time_steps = 23; Q(s,a) = 166.04585829826135; score = -342.0; mean_score/100_episodes = 192.6; reward = -335.0; mean_reward/100_episodes = 118.63; and epsilon = 0.31999999999999995, win percentage = 0.06, 2024-11-24 18:35:46
Episode no = 5200; won: False; iter_time_steps = 202; Q(s,a) = 168.09756313156322; score = 579.0; mean_score/100_episodes = 175.15; reward = 358.0; mean_reward/100_episodes = 115.45; and epsilon = 0.30666666666666664, win percentage = 0.03, 2024-11-24 18:40:25
Episode no = 5300; won: False; iter_time_steps = 310; Q(s,a) = 167.34323298231416; score = 331.0; mean_score/100_episodes = 132.09; reward = 265.0; mean_reward/100_episodes = 81.6; and epsilon = 0.29333333333333333, win percentage = 0.03, 2024-11-24 18:44:54
Episode no = 5400; won: False; iter_time_steps = 85; Q(s,a) = 168.59095521905698; score = 256.0; mean_score/100_episodes = 170.97; reward = 160.0; mean_reward/100_episodes = 106.58; and epsilon = 0.28, win percentage = 0.04, 2024-11-24 18:49:58
Episode no = 5500; won: False; iter_time_steps = 260; Q(s,a) = 171.30799720235353; score = 481.0; mean_score/100_episodes = 298.67; reward = 267.0; mean_reward/100_episodes = 193.29; and epsilon = 0.2666666666666667, win percentage = 0.07, 2024-11-24 18:55:45
Episode no = 5600; won: False; iter_time_steps = 111; Q(s,a) = 173.5432449640844; score = 80.0; mean_score/100_episodes = 344.64; reward = 149.0; mean_reward/100_episodes = 216.1; and epsilon = 0.2533333333333333, win percentage = 0.11, 2024-11-24 19:01:19
Episode no = 5700; won: False; iter_time_steps = 143; Q(s,a) = 176.0529140960634; score = 758.0; mean_score/100_episodes = 409.5; reward = 380.0; mean_reward/100_episodes = 265.76; and epsilon = 0.24, win percentage = 0.12, 2024-11-24 19:06:35
Episode no = 5800; won: False; iter_time_steps = 236; Q(s,a) = 174.43306255608337; score = 615.0; mean_score/100_episodes = 446.24; reward = 401.0; mean_reward/100_episodes = 270.08; and epsilon = 0.22666666666666668, win percentage = 0.2, 2024-11-24 19:11:29
Episode no = 5900; won: False; iter_time_steps = 33; Q(s,a) = 175.68462463719806; score = -262.0; mean_score/100_episodes = 452.61; reward = -235.0; mean_reward/100_episodes = 301.57; and epsilon = 0.21333333333333337, win percentage = 0.17, 2024-11-24 19:17:08
Episode no = 6000; won: False; iter_time_steps = 52; Q(s,a) = 173.67291944780018; score = -151.0; mean_score/100_episodes = 484.23; reward = -111.0; mean_reward/100_episodes = 287.55; and epsilon = 0.19999999999999996, win percentage = 0.16, 2024-11-24 19:22:23
Episode no = 6100; won: False; iter_time_steps = 51; Q(s,a) = 177.10861872656847; score = -180.0; mean_score/100_episodes = 643.36; reward = -143.0; mean_reward/100_episodes = 416.69; and epsilon = 0.18666666666666665, win percentage = 0.28, 2024-11-24 19:28:17
Episode no = 6200; won: False; iter_time_steps = 252; Q(s,a) = 178.5934959544422; score = 769.0; mean_score/100_episodes = 609.42; reward = 403.0; mean_reward/100_episodes = 373.61; and epsilon = 0.17333333333333334, win percentage = 0.2, 2024-11-24 19:33:40
Episode no = 6300; won: False; iter_time_steps = 153; Q(s,a) = 179.4448153860215; score = 588.0; mean_score/100_episodes = 603.43; reward = 363.0; mean_reward/100_episodes = 384.25; and epsilon = 0.16000000000000003, win percentage = 0.22, 2024-11-24 19:39:32
Episode no = 6400; won: True; iter_time_steps = 357; Q(s,a) = 179.1800675175023; score = 1714.0; mean_score/100_episodes = 683.27; reward = 942.0; mean_reward/100_episodes = 421.22; and epsilon = 0.1466666666666666, win percentage = 0.28, 2024-11-24 19:45:20
Episode no = 6500; won: False; iter_time_steps = 98; Q(s,a) = 179.5036107574084; score = 323.0; mean_score/100_episodes = 833.72; reward = 246.0; mean_reward/100_episodes = 522.94; and epsilon = 0.1333333333333333, win percentage = 0.37, 2024-11-24 19:50:33
Episode no = 6600; won: False; iter_time_steps = 83; Q(s,a) = 182.40634096871926; score = 168.0; mean_score/100_episodes = 741.09; reward = 74.0; mean_reward/100_episodes = 473.06; and epsilon = 0.12, win percentage = 0.33, 2024-11-24 19:56:03
Episode no = 6700; won: True; iter_time_steps = 270; Q(s,a) = 180.88290500918822; score = 2001.0; mean_score/100_episodes = 929.16; reward = 1091.0; mean_reward/100_episodes = 546.73; and epsilon = 0.10666666666666669, win percentage = 0.4, 2024-11-24 20:02:17
Episode no = 6800; won: True; iter_time_steps = 207; Q(s,a) = 184.49186891052057; score = 1264.0; mean_score/100_episodes = 962.7; reward = 961.0; mean_reward/100_episodes = 598.23; and epsilon = 0.1, win percentage = 0.48, 2024-11-24 20:08:05
Episode no = 6900; won: True; iter_time_steps = 183; Q(s,a) = 189.58956304299784; score = 1888.0; mean_score/100_episodes = 942.64; reward = 1094.0; mean_reward/100_episodes = 585.72; and epsilon = 0.1, win percentage = 0.46, 2024-11-24 20:13:40
Episode no = 7000; won: False; iter_time_steps = 218; Q(s,a) = 198.15216095784203; score = 243.0; mean_score/100_episodes = 1027.95; reward = 339.0; mean_reward/100_episodes = 625.86; and epsilon = 0.1, win percentage = 0.49, 2024-11-24 20:19:16
Episode no = 7100; won: False; iter_time_steps = 119; Q(s,a) = 181.9779080004526; score = 352.0; mean_score/100_episodes = 732.28; reward = 291.0; mean_reward/100_episodes = 446.03; and epsilon = 0.1, win percentage = 0.33, 2024-11-24 20:24:07
