Episode no = 3600; won: False; iter_time_steps = 90; Q(s,a) = 116.56616435549695; score = -199.0; mean_score/100_episodes = -304.36; reward = -160.0; mean_reward/100_episodes = -283.58; and epsilon = 0.52, win percentage = 0.0, 2024-11-26 07:27:21
Episode no = 3700; won: False; iter_time_steps = 96; Q(s,a) = 120.88472833871886; score = -165.0; mean_score/100_episodes = -296.74; reward = -122.0; mean_reward/100_episodes = -275.77; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-26 07:28:02
Episode no = 3800; won: False; iter_time_steps = 21; Q(s,a) = 124.53405623590089; score = -410.0; mean_score/100_episodes = -315.39; reward = -399.0; mean_reward/100_episodes = -292.15; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-26 07:28:41
Episode no = 3900; won: False; iter_time_steps = 32; Q(s,a) = 127.18367377503982; score = -391.0; mean_score/100_episodes = -277.5; reward = -377.0; mean_reward/100_episodes = -253.86; and epsilon = 0.48, win percentage = 0.0, 2024-11-26 07:29:24
Episode no = 4000; won: False; iter_time_steps = 28; Q(s,a) = 127.87483300644128; score = -357.0; mean_score/100_episodes = -261.39; reward = -329.0; mean_reward/100_episodes = -238.59; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-26 07:30:12
Episode no = 4100; won: False; iter_time_steps = 100; Q(s,a) = 131.81488014727003; score = -139.0; mean_score/100_episodes = -266.83; reward = -82.0; mean_reward/100_episodes = -246.99; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-26 07:30:56
Episode no = 4200; won: False; iter_time_steps = 22; Q(s,a) = 135.30840781081082; score = -391.0; mean_score/100_episodes = -264.18; reward = -367.0; mean_reward/100_episodes = -239.88; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-26 07:31:42
Episode no = 4300; won: False; iter_time_steps = 151; Q(s,a) = 137.80891485022568; score = 30.0; mean_score/100_episodes = -275.83; reward = 98.0; mean_reward/100_episodes = -251.65; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-26 07:32:22
Episode no = 4400; won: False; iter_time_steps = 103; Q(s,a) = 138.8976626876036; score = -92.0; mean_score/100_episodes = -250.67; reward = -30.0; mean_reward/100_episodes = -228.82; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-26 07:33:07
Episode no = 4500; won: False; iter_time_steps = 41; Q(s,a) = 141.93596976169272; score = -340.0; mean_score/100_episodes = -253.31; reward = -320.0; mean_reward/100_episodes = -232.32; and epsilon = 0.4, win percentage = 0.0, 2024-11-26 07:33:52
Episode no = 4600; won: False; iter_time_steps = 25; Q(s,a) = 144.70346875241268; score = -384.0; mean_score/100_episodes = -208.35; reward = -370.0; mean_reward/100_episodes = -191.9; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-26 07:34:43
Episode no = 4700; won: False; iter_time_steps = 41; Q(s,a) = 146.70377396946287; score = -300.0; mean_score/100_episodes = -213.16; reward = -276.0; mean_reward/100_episodes = -190.7; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-26 07:35:40
Episode no = 4800; won: False; iter_time_steps = 11; Q(s,a) = 149.3646136669328; score = -440.0; mean_score/100_episodes = -241.1; reward = -433.0; mean_reward/100_episodes = -219.66; and epsilon = 0.36, win percentage = 0.0, 2024-11-26 07:36:20
Episode no = 4900; won: False; iter_time_steps = 136; Q(s,a) = 151.3525130798791; score = 185.0; mean_score/100_episodes = -234.5; reward = 98.0; mean_reward/100_episodes = -211.5; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-26 07:37:03
Episode no = 5000; won: False; iter_time_steps = 38; Q(s,a) = 152.9000512694364; score = -237.0; mean_score/100_episodes = -197.9; reward = -196.0; mean_reward/100_episodes = -174.84; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-26 07:37:50
Episode no = 5100; won: False; iter_time_steps = 61; Q(s,a) = 151.01713584610297; score = -230.0; mean_score/100_episodes = -174.06; reward = -197.0; mean_reward/100_episodes = -153.74; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-26 07:38:43
Episode no = 5200; won: False; iter_time_steps = 29; Q(s,a) = 153.62032874254476; score = -298.0; mean_score/100_episodes = -197.16; reward = -275.0; mean_reward/100_episodes = -171.98; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-26 07:39:36
Episode no = 5300; won: False; iter_time_steps = 14; Q(s,a) = 155.6972882211854; score = -413.0; mean_score/100_episodes = -182.94; reward = -414.0; mean_reward/100_episodes = -154.28; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-26 07:40:23
Episode no = 5400; won: False; iter_time_steps = 19; Q(s,a) = 157.44853453229643; score = -428.0; mean_score/100_episodes = -177.92; reward = -419.0; mean_reward/100_episodes = -149.69; and epsilon = 0.28, win percentage = 0.0, 2024-11-26 07:41:13
Episode no = 5500; won: False; iter_time_steps = 33; Q(s,a) = 158.76482451949354; score = -282.0; mean_score/100_episodes = -133.14; reward = -257.0; mean_reward/100_episodes = -108.25; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-26 07:42:08
Episode no = 5600; won: False; iter_time_steps = 31; Q(s,a) = 159.57470903549503; score = -350.0; mean_score/100_episodes = -167.29; reward = -343.0; mean_reward/100_episodes = -140.32; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-26 07:43:02
Episode no = 5700; won: False; iter_time_steps = 18; Q(s,a) = 161.86887201579654; score = -367.0; mean_score/100_episodes = -157.96; reward = -352.0; mean_reward/100_episodes = -140.55; and epsilon = 0.24, win percentage = 0.0, 2024-11-26 07:43:50
Episode no = 5800; won: False; iter_time_steps = 40; Q(s,a) = 161.2921144812467; score = -269.0; mean_score/100_episodes = -185.62; reward = -242.0; mean_reward/100_episodes = -161.52; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-26 07:44:34
Episode no = 5900; won: False; iter_time_steps = 88; Q(s,a) = 162.70714921879608; score = 293.0; mean_score/100_episodes = -132.64; reward = 212.0; mean_reward/100_episodes = -113.27; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-26 07:45:26
Episode no = 6000; won: False; iter_time_steps = 90; Q(s,a) = 163.47363819367004; score = 81.0; mean_score/100_episodes = -100.2; reward = 159.0; mean_reward/100_episodes = -70.21; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-26 07:46:25
Episode no = 6100; won: False; iter_time_steps = 31; Q(s,a) = 163.96380851365683; score = -270.0; mean_score/100_episodes = -120.73; reward = -233.0; mean_reward/100_episodes = -104.98; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-26 07:47:16
Episode no = 6200; won: False; iter_time_steps = 15; Q(s,a) = 164.33260620861154; score = -384.0; mean_score/100_episodes = -143.18; reward = -371.0; mean_reward/100_episodes = -121.08; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-26 07:48:04
