Episode no = 6300; won: False; iter_time_steps = 5; Q(s,a) = -17.689796294276487; score = -504.0; mean_score/100_episodes = -465.99; reward = -504.0; mean_reward/100_episodes = -481.69; and epsilon = 0.16000000000000003, win percentage = 0.04, 2024-11-22 03:58:57
Episode no = 6400; won: False; iter_time_steps = 6; Q(s,a) = -17.40909551452232; score = -505.0; mean_score/100_episodes = -487.24; reward = -505.0; mean_reward/100_episodes = -494.8; and epsilon = 0.1466666666666666, win percentage = 0.02, 2024-11-22 03:59:04
Episode no = 6500; won: False; iter_time_steps = 12; Q(s,a) = -16.61357390338911; score = -511.0; mean_score/100_episodes = -450.79; reward = -511.0; mean_reward/100_episodes = -473.73; and epsilon = 0.1333333333333333, win percentage = 0.06, 2024-11-22 03:59:15
Episode no = 6600; won: False; iter_time_steps = 16; Q(s,a) = -16.44128653401369; score = -515.0; mean_score/100_episodes = -480.07; reward = -515.0; mean_reward/100_episodes = -491.03; and epsilon = 0.12, win percentage = 0.03, 2024-11-22 03:59:27
Episode no = 6700; won: False; iter_time_steps = 14; Q(s,a) = -14.435635626089036; score = -503.0; mean_score/100_episodes = -463.23; reward = -502.0; mean_reward/100_episodes = -482.78; and epsilon = 0.10666666666666669, win percentage = 0.05, 2024-11-22 03:59:41
Episode no = 6800; won: False; iter_time_steps = 14; Q(s,a) = -4.39087530783446; score = -503.0; mean_score/100_episodes = -460.89; reward = -502.0; mean_reward/100_episodes = -480.17; and epsilon = 0.1, win percentage = 0.05, 2024-11-22 03:59:54
Episode no = 6900; won: False; iter_time_steps = 10; Q(s,a) = -16.712108220313244; score = -509.0; mean_score/100_episodes = -300.53; reward = -509.0; mean_reward/100_episodes = -385.24; and epsilon = 0.1, win percentage = 0.21, 2024-11-22 04:00:08
Episode no = 7000; won: False; iter_time_steps = 15; Q(s,a) = -13.849584892222076; score = -504.0; mean_score/100_episodes = -344.78; reward = -492.0; mean_reward/100_episodes = -412.87; and epsilon = 0.1, win percentage = 0.17, 2024-11-22 04:00:24
Episode no = 7100; won: False; iter_time_steps = 26; Q(s,a) = -2.726217752574122; score = -515.0; mean_score/100_episodes = -240.76; reward = -514.0; mean_reward/100_episodes = -350.03; and epsilon = 0.1, win percentage = 0.27, 2024-11-22 04:00:39
Episode no = 7200; won: False; iter_time_steps = 24; Q(s,a) = -3.3676924642128583; score = -513.0; mean_score/100_episodes = -221.17; reward = -512.0; mean_reward/100_episodes = -338.55; and epsilon = 0.1, win percentage = 0.29, 2024-11-22 04:00:54
Episode no = 7300; won: True; iter_time_steps = 33; Q(s,a) = -6.77292872876839; score = 488.0; mean_score/100_episodes = -240.73; reward = 79.0; mean_reward/100_episodes = -349.81; and epsilon = 0.1, win percentage = 0.27, 2024-11-22 04:01:09
Episode no = 7400; won: True; iter_time_steps = 23; Q(s,a) = -2.8561257768164405; score = 498.0; mean_score/100_episodes = -68.73; reward = 89.0; mean_reward/100_episodes = -247.59; and epsilon = 0.1, win percentage = 0.44, 2024-11-22 04:01:23
Episode no = 7500; won: True; iter_time_steps = 18; Q(s,a) = -3.0005689771803774; score = 503.0; mean_score/100_episodes = -117.97; reward = 94.0; mean_reward/100_episodes = -276.57; and epsilon = 0.1, win percentage = 0.39, 2024-11-22 04:01:37
Episode no = 7600; won: False; iter_time_steps = 59; Q(s,a) = -2.2624204702295927; score = -548.0; mean_score/100_episodes = -117.54; reward = -547.0; mean_reward/100_episodes = -276.14; and epsilon = 0.1, win percentage = 0.39, 2024-11-22 04:01:50
Episode no = 7700; won: False; iter_time_steps = 15; Q(s,a) = -6.249104970941862; score = -504.0; mean_score/100_episodes = -128.26; reward = -492.0; mean_reward/100_episodes = -282.2; and epsilon = 0.1, win percentage = 0.38, 2024-11-22 04:02:04
Episode no = 7800; won: True; iter_time_steps = 58; Q(s,a) = -5.480876315788694; score = 463.0; mean_score/100_episodes = -68.26; reward = 54.0; mean_reward/100_episodes = -247.68; and epsilon = 0.1, win percentage = 0.44, 2024-11-22 04:02:19
Episode no = 7900; won: True; iter_time_steps = 24; Q(s,a) = -2.230438217628859; score = 497.0; mean_score/100_episodes = -68.44; reward = 88.0; mean_reward/100_episodes = -247.77; and epsilon = 0.1, win percentage = 0.44, 2024-11-22 04:02:33
Episode no = 8000; won: False; iter_time_steps = 14; Q(s,a) = -4.901809524664666; score = -503.0; mean_score/100_episodes = -102.62; reward = -502.0; mean_reward/100_episodes = -269.67; and epsilon = 0.1, win percentage = 0.41, 2024-11-22 04:02:49
Episode no = 8100; won: True; iter_time_steps = 19; Q(s,a) = 10.011269627912926; score = 502.0; mean_score/100_episodes = -150.83; reward = 93.0; mean_reward/100_episodes = -297.33; and epsilon = 0.1, win percentage = 0.36, 2024-11-22 04:03:05
Episode no = 8200; won: True; iter_time_steps = 23; Q(s,a) = 0.8866951469894206; score = 498.0; mean_score/100_episodes = -26.82; reward = 89.0; mean_reward/100_episodes = -222.33; and epsilon = 0.1, win percentage = 0.48, 2024-11-22 04:03:19
Episode no = 8300; won: False; iter_time_steps = 47; Q(s,a) = -5.993409379284065; score = -536.0; mean_score/100_episodes = 2.61; reward = -535.0; mean_reward/100_episodes = -204.42; and epsilon = 0.1, win percentage = 0.51, 2024-11-22 04:03:34
Episode no = 8400; won: True; iter_time_steps = 25; Q(s,a) = 23.721719279556666; score = 496.0; mean_score/100_episodes = -17.39; reward = 87.0; mean_reward/100_episodes = -216.69; and epsilon = 0.1, win percentage = 0.49, 2024-11-22 04:03:47
Episode no = 8500; won: False; iter_time_steps = 11; Q(s,a) = -7.303847005552874; score = -510.0; mean_score/100_episodes = 13.35; reward = -510.0; mean_reward/100_episodes = -197.94; and epsilon = 0.1, win percentage = 0.52, 2024-11-22 04:04:01
Episode no = 8600; won: True; iter_time_steps = 19; Q(s,a) = 40.35114768892826; score = 502.0; mean_score/100_episodes = -7.13; reward = 93.0; mean_reward/100_episodes = -210.67; and epsilon = 0.1, win percentage = 0.5, 2024-11-22 04:04:14
Episode no = 8700; won: False; iter_time_steps = 24; Q(s,a) = 0.4230375513675422; score = -513.0; mean_score/100_episodes = 24.54; reward = -512.0; mean_reward/100_episodes = -190.67; and epsilon = 0.1, win percentage = 0.53, 2024-11-22 04:04:27
Episode no = 8800; won: True; iter_time_steps = 26; Q(s,a) = 60.582818095065505; score = 495.0; mean_score/100_episodes = 74.16; reward = 86.0; mean_reward/100_episodes = -161.92; and epsilon = 0.1, win percentage = 0.58, 2024-11-22 04:04:39
Episode no = 8900; won: True; iter_time_steps = 25; Q(s,a) = 74.28748944054905; score = 496.0; mean_score/100_episodes = 24.27; reward = 87.0; mean_reward/100_episodes = -190.61; and epsilon = 0.1, win percentage = 0.53, 2024-11-22 04:04:50
Episode no = 9000; won: False; iter_time_steps = 13; Q(s,a) = 3.7447663921998378; score = -502.0; mean_score/100_episodes = 94.91; reward = -501.0; mean_reward/100_episodes = -149.95; and epsilon = 0.1, win percentage = 0.6, 2024-11-22 04:05:03
Episode no = 9100; won: False; iter_time_steps = 30; Q(s,a) = -8.591880152395039; score = -519.0; mean_score/100_episodes = -5.36; reward = -518.0; mean_reward/100_episodes = -208.83; and epsilon = 0.1, win percentage = 0.5, 2024-11-22 04:05:14
Episode no = 9200; won: True; iter_time_steps = 16; Q(s,a) = 96.7476907448302; score = 505.0; mean_score/100_episodes = 76.87; reward = 96.0; mean_reward/100_episodes = -159.79; and epsilon = 0.1, win percentage = 0.58, 2024-11-22 04:05:25
Episode no = 9300; won: True; iter_time_steps = 14; Q(s,a) = 89.75895773654752; score = 507.0; mean_score/100_episodes = -44.51; reward = 98.0; mean_reward/100_episodes = -232.37; and epsilon = 0.1, win percentage = 0.46, 2024-11-22 04:05:35
Episode no = 9400; won: False; iter_time_steps = 12; Q(s,a) = -7.154907183179956; score = -511.0; mean_score/100_episodes = -64.74; reward = -511.0; mean_reward/100_episodes = -244.48; and epsilon = 0.1, win percentage = 0.44, 2024-11-22 04:05:45
Episode no = 9500; won: True; iter_time_steps = 18; Q(s,a) = 96.55991762666812; score = 503.0; mean_score/100_episodes = 16.64; reward = 94.0; mean_reward/100_episodes = -195.87; and epsilon = 0.1, win percentage = 0.52, 2024-11-22 04:05:55
Episode no = 9600; won: False; iter_time_steps = 21; Q(s,a) = 81.89841491829058; score = -510.0; mean_score/100_episodes = -24.25; reward = -509.0; mean_reward/100_episodes = -220.12; and epsilon = 0.1, win percentage = 0.48, 2024-11-22 04:06:05
Episode no = 9700; won: False; iter_time_steps = 22; Q(s,a) = 6.47862396657884; score = -511.0; mean_score/100_episodes = -134.7; reward = -510.0; mean_reward/100_episodes = -285.41; and epsilon = 0.1, win percentage = 0.37, 2024-11-22 04:06:16
Episode no = 9800; won: False; iter_time_steps = 16; Q(s,a) = 6.605392346569185; score = -515.0; mean_score/100_episodes = 26.91; reward = -515.0; mean_reward/100_episodes = -188.73; and epsilon = 0.1, win percentage = 0.53, 2024-11-22 04:06:26
Episode no = 9900; won: True; iter_time_steps = 16; Q(s,a) = 113.21482758433659; score = 505.0; mean_score/100_episodes = 147.25; reward = 96.0; mean_reward/100_episodes = -118.28; and epsilon = 0.1, win percentage = 0.65, 2024-11-22 04:06:38
Episode no = 10000; won: False; iter_time_steps = 9; Q(s,a) = 1.8813818884631421; score = -508.0; mean_score/100_episodes = 74.57; reward = -508.0; mean_reward/100_episodes = -162.12; and epsilon = 0.1, win percentage = 0.58, 2024-11-22 04:06:50
Episode no = 10100; won: True; iter_time_steps = 20; Q(s,a) = 106.40572908627436; score = 501.0; mean_score/100_episodes = 143.84; reward = 92.0; mean_reward/100_episodes = -121.63; and epsilon = 0.1, win percentage = 0.65, 2024-11-22 04:07:04
Episode no = 10200; won: True; iter_time_steps = 16; Q(s,a) = 120.0347620989023; score = 505.0; mean_score/100_episodes = 225.27; reward = 96.0; mean_reward/100_episodes = -72.96; and epsilon = 0.1, win percentage = 0.73, 2024-11-22 04:07:18
Episode no = 10300; won: True; iter_time_steps = 18; Q(s,a) = 126.19970562382747; score = 503.0; mean_score/100_episodes = 204.34; reward = 94.0; mean_reward/100_episodes = -85.8; and epsilon = 0.1, win percentage = 0.71, 2024-11-22 04:07:32
Episode no = 10400; won: True; iter_time_steps = 31; Q(s,a) = 102.63071555885223; score = 490.0; mean_score/100_episodes = 215.74; reward = 81.0; mean_reward/100_episodes = -78.48; and epsilon = 0.1, win percentage = 0.72, 2024-11-22 04:07:46
Episode no = 10500; won: True; iter_time_steps = 17; Q(s,a) = 129.53742626468875; score = 504.0; mean_score/100_episodes = 174.8; reward = 95.0; mean_reward/100_episodes = -102.9; and epsilon = 0.1, win percentage = 0.68, 2024-11-22 04:07:59
Episode no = 10600; won: False; iter_time_steps = 21; Q(s,a) = 49.31466064819082; score = -510.0; mean_score/100_episodes = 183.34; reward = -509.0; mean_reward/100_episodes = -98.58; and epsilon = 0.1, win percentage = 0.69, 2024-11-22 04:08:14
Episode no = 10700; won: True; iter_time_steps = 24; Q(s,a) = 129.7530614041509; score = 497.0; mean_score/100_episodes = 316.55; reward = 88.0; mean_reward/100_episodes = -18.66; and epsilon = 0.1, win percentage = 0.82, 2024-11-22 04:08:28
Episode no = 10800; won: False; iter_time_steps = 31; Q(s,a) = 56.12120950938933; score = -520.0; mean_score/100_episodes = 334.86; reward = -519.0; mean_reward/100_episodes = -8.56; and epsilon = 0.1, win percentage = 0.84, 2024-11-22 04:08:43
Episode no = 10900; won: True; iter_time_steps = 16; Q(s,a) = 124.68672767409215; score = 505.0; mean_score/100_episodes = 395.93; reward = 96.0; mean_reward/100_episodes = 27.92; and epsilon = 0.1, win percentage = 0.9, 2024-11-22 04:08:58
Episode no = 11000; won: True; iter_time_steps = 28; Q(s,a) = 100.60999041183302; score = 493.0; mean_score/100_episodes = 396.74; reward = 84.0; mean_reward/100_episodes = 28.83; and epsilon = 0.1, win percentage = 0.9, 2024-11-22 04:09:11
