Episode no = 2900; won: False; iter_time_steps = 65; Q(s,a) = -11.517323485770053; score = -434.0; mean_score/100_episodes = -445.75; reward = -421.0; mean_reward/100_episodes = -437.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-13 07:00:43
Episode no = 3000; won: False; iter_time_steps = 25; Q(s,a) = -11.690539194574093; score = -504.0; mean_score/100_episodes = -451.35; reward = -502.0; mean_reward/100_episodes = -442.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-13 07:01:39
Episode no = 3100; won: False; iter_time_steps = 89; Q(s,a) = -11.889851562741423; score = -468.0; mean_score/100_episodes = -448.29; reward = -445.0; mean_reward/100_episodes = -442.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-13 07:02:47
Episode no = 3200; won: False; iter_time_steps = 90; Q(s,a) = -12.094491460581605; score = -529.0; mean_score/100_episodes = -454.18; reward = -512.0; mean_reward/100_episodes = -448.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-13 07:04:00
Episode no = 3300; won: False; iter_time_steps = 52; Q(s,a) = -12.248528299697462; score = -421.0; mean_score/100_episodes = -452.6; reward = -397.0; mean_reward/100_episodes = -446.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-13 07:05:17
Episode no = 3400; won: False; iter_time_steps = 33; Q(s,a) = -12.436517141475225; score = -482.0; mean_score/100_episodes = -445.49; reward = -477.0; mean_reward/100_episodes = -446.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-13 07:06:25
Episode no = 3500; won: False; iter_time_steps = 29; Q(s,a) = -12.61217827712236; score = -458.0; mean_score/100_episodes = -458.18; reward = -462.0; mean_reward/100_episodes = -452.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-13 07:07:28
Episode no = 3600; won: False; iter_time_steps = 110; Q(s,a) = -12.785070269571813; score = -239.0; mean_score/100_episodes = -450.24; reward = -371.0; mean_reward/100_episodes = -446.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-13 07:08:39
Episode no = 3700; won: False; iter_time_steps = 47; Q(s,a) = -12.946404414321044; score = -516.0; mean_score/100_episodes = -462.34; reward = -513.0; mean_reward/100_episodes = -453.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-13 07:09:50
Episode no = 3800; won: False; iter_time_steps = 98; Q(s,a) = -13.11411278186553; score = -427.0; mean_score/100_episodes = -459.06; reward = -410.0; mean_reward/100_episodes = -448.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-13 07:11:07
Episode no = 3900; won: False; iter_time_steps = 35; Q(s,a) = -13.25953205314557; score = -434.0; mean_score/100_episodes = -453.77; reward = -435.0; mean_reward/100_episodes = -445.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-13 07:12:07
Episode no = 4000; won: False; iter_time_steps = 22; Q(s,a) = -13.39225463142374; score = -501.0; mean_score/100_episodes = -454.55; reward = -499.0; mean_reward/100_episodes = -446.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-13 07:13:08
Episode no = 4100; won: False; iter_time_steps = 35; Q(s,a) = -13.52867327991299; score = -444.0; mean_score/100_episodes = -460.27; reward = -446.0; mean_reward/100_episodes = -453.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-13 07:14:20
