Episode no = 3300; won: False; iter_time_steps = 15; Q(s,a) = -1.1333652519136992; score = -504.0; mean_score/100_episodes = -508.15; reward = -503.0; mean_reward/100_episodes = -507.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-05 09:48:51
Episode no = 3400; won: False; iter_time_steps = 9; Q(s,a) = -1.132274116051656; score = -508.0; mean_score/100_episodes = -509.86; reward = -508.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-05 09:49:04
Episode no = 3500; won: False; iter_time_steps = 20; Q(s,a) = -1.134503793912085; score = -509.0; mean_score/100_episodes = -508.45; reward = -508.0; mean_reward/100_episodes = -507.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-05 09:49:16
Episode no = 3600; won: False; iter_time_steps = 14; Q(s,a) = -1.1385446453307542; score = -503.0; mean_score/100_episodes = -508.19; reward = -502.0; mean_reward/100_episodes = -507.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-05 09:49:27
Episode no = 3700; won: False; iter_time_steps = 15; Q(s,a) = -1.144791555470064; score = -504.0; mean_score/100_episodes = -508.5; reward = -503.0; mean_reward/100_episodes = -508.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-05 09:49:38
Episode no = 3800; won: False; iter_time_steps = 5; Q(s,a) = -1.144858281778834; score = -504.0; mean_score/100_episodes = -508.22; reward = -504.0; mean_reward/100_episodes = -508.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-05 09:49:49
Episode no = 3900; won: False; iter_time_steps = 6; Q(s,a) = -1.1497952326094107; score = -505.0; mean_score/100_episodes = -509.7; reward = -505.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-05 09:50:03
Episode no = 4000; won: False; iter_time_steps = 8; Q(s,a) = -1.1508095633399429; score = -507.0; mean_score/100_episodes = -509.66; reward = -507.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-05 09:50:15
Episode no = 4100; won: False; iter_time_steps = 8; Q(s,a) = -1.1491903705693882; score = -507.0; mean_score/100_episodes = -509.07; reward = -507.0; mean_reward/100_episodes = -508.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-05 09:50:29
Episode no = 4200; won: False; iter_time_steps = 9; Q(s,a) = -1.1511296882718611; score = -508.0; mean_score/100_episodes = -508.9; reward = -508.0; mean_reward/100_episodes = -508.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-05 09:50:42
Episode no = 4300; won: False; iter_time_steps = 9; Q(s,a) = -1.1575656989096743; score = -508.0; mean_score/100_episodes = -508.47; reward = -508.0; mean_reward/100_episodes = -508.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-05 09:50:54
