Episode no = 4100; won: False; iter_time_steps = 9; Q(s,a) = -12.480159239903537; score = -508.0; mean_score/100_episodes = -509.86; reward = -508.0; mean_reward/100_episodes = -509.83; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-20 07:57:17
Episode no = 4200; won: False; iter_time_steps = 12; Q(s,a) = -7.6224498440099655; score = -511.0; mean_score/100_episodes = -510.42; reward = -511.0; mean_reward/100_episodes = -510.27; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-20 07:57:39
Episode no = 4300; won: False; iter_time_steps = 8; Q(s,a) = -13.051504962325975; score = -507.0; mean_score/100_episodes = -510.55; reward = -507.0; mean_reward/100_episodes = -510.15; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-20 07:58:02
Episode no = 4400; won: False; iter_time_steps = 10; Q(s,a) = -6.93327467639046; score = -509.0; mean_score/100_episodes = -510.03; reward = -509.0; mean_reward/100_episodes = -509.99; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-20 07:58:23
Episode no = 4500; won: False; iter_time_steps = 9; Q(s,a) = -15.28804184749863; score = -508.0; mean_score/100_episodes = -510.17; reward = -508.0; mean_reward/100_episodes = -510.23; and epsilon = 0.4, win percentage = 0.0, 2024-11-20 07:58:45
Episode no = 4600; won: False; iter_time_steps = 8; Q(s,a) = -10.199939960140853; score = -507.0; mean_score/100_episodes = -510.53; reward = -507.0; mean_reward/100_episodes = -510.47; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-20 07:59:07
Episode no = 4700; won: False; iter_time_steps = 15; Q(s,a) = -7.983821290666437; score = -504.0; mean_score/100_episodes = -510.93; reward = -503.0; mean_reward/100_episodes = -510.49; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-20 07:59:32
Episode no = 4800; won: False; iter_time_steps = 7; Q(s,a) = -12.917886234990473; score = -506.0; mean_score/100_episodes = -509.93; reward = -506.0; mean_reward/100_episodes = -509.65; and epsilon = 0.36, win percentage = 0.0, 2024-11-20 07:59:56
Episode no = 4900; won: False; iter_time_steps = 18; Q(s,a) = -12.81838102784596; score = -517.0; mean_score/100_episodes = -511.02; reward = -517.0; mean_reward/100_episodes = -510.7; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-20 08:00:20
Episode no = 5000; won: False; iter_time_steps = 11; Q(s,a) = -12.922967186549519; score = -510.0; mean_score/100_episodes = -510.16; reward = -510.0; mean_reward/100_episodes = -509.98; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-20 08:00:42
