Episode no = 6000; won: False; iter_time_steps = 10; Q(s,a) = 76.57592150011816; score = -509.0; reward = -509.0; mean_reward/100_episodes = -366.19; and epsilon = 0.19999999999999996, win percentage = 0.25, 2024-11-16 19:45:03
Episode no = 6100; won: False; iter_time_steps = 30; Q(s,a) = 80.98544892653868; score = -519.0; reward = -518.0; mean_reward/100_episodes = -402.23; and epsilon = 0.18666666666666665, win percentage = 0.19, 2024-11-16 19:45:14
Episode no = 6200; won: False; iter_time_steps = 42; Q(s,a) = 90.78926947878846; score = -531.0; reward = -530.0; mean_reward/100_episodes = -323.44; and epsilon = 0.17333333333333334, win percentage = 0.32, 2024-11-16 19:45:25
Episode no = 6300; won: False; iter_time_steps = 30; Q(s,a) = 96.26680619379674; score = -519.0; reward = -518.0; mean_reward/100_episodes = -303.79; and epsilon = 0.16000000000000003, win percentage = 0.36, 2024-11-16 19:45:38
Episode no = 6400; won: True; iter_time_steps = 33; Q(s,a) = 197.04514698336067; score = 488.0; reward = 79.0; mean_reward/100_episodes = -273.24; and epsilon = 0.1466666666666666, win percentage = 0.41, 2024-11-16 19:45:51
Episode no = 6500; won: False; iter_time_steps = 59; Q(s,a) = 125.86766298203682; score = -548.0; reward = -547.0; mean_reward/100_episodes = -290.73; and epsilon = 0.1333333333333333, win percentage = 0.38, 2024-11-16 19:46:04
Episode no = 6600; won: True; iter_time_steps = 31; Q(s,a) = 194.80272746292553; score = 490.0; reward = 81.0; mean_reward/100_episodes = -167.05; and epsilon = 0.12, win percentage = 0.59, 2024-11-16 19:46:18
Episode no = 6700; won: True; iter_time_steps = 39; Q(s,a) = 91.30476807571922; score = 482.0; reward = 73.0; mean_reward/100_episodes = -176.36; and epsilon = 0.10666666666666669, win percentage = 0.57, 2024-11-16 19:46:31
Episode no = 6800; won: False; iter_time_steps = 46; Q(s,a) = 87.71025068849764; score = -535.0; reward = -534.0; mean_reward/100_episodes = -175.0; and epsilon = 0.1, win percentage = 0.57, 2024-11-16 19:46:42
Episode no = 6900; won: True; iter_time_steps = 25; Q(s,a) = 204.66781248135254; score = 496.0; reward = 87.0; mean_reward/100_episodes = -221.49; and epsilon = 0.1, win percentage = 0.49, 2024-11-16 19:46:52
Episode no = 7000; won: True; iter_time_steps = 30; Q(s,a) = 132.77683505848867; score = 491.0; reward = 82.0; mean_reward/100_episodes = -113.65; and epsilon = 0.1, win percentage = 0.67, 2024-11-16 19:47:03
Episode no = 7100; won: True; iter_time_steps = 19; Q(s,a) = 239.80881725443362; score = 502.0; reward = 93.0; mean_reward/100_episodes = -153.06; and epsilon = 0.1, win percentage = 0.6, 2024-11-16 19:47:13
Episode no = 7200; won: True; iter_time_steps = 21; Q(s,a) = 210.37063698118337; score = 500.0; reward = 91.0; mean_reward/100_episodes = -115.84; and epsilon = 0.1, win percentage = 0.66, 2024-11-16 19:47:22
Episode no = 7300; won: True; iter_time_steps = 19; Q(s,a) = 281.36645087993793; score = 502.0; reward = 93.0; mean_reward/100_episodes = -62.44; and epsilon = 0.1, win percentage = 0.75, 2024-11-16 19:47:32
Episode no = 7400; won: True; iter_time_steps = 17; Q(s,a) = 222.9958773561118; score = 504.0; reward = 95.0; mean_reward/100_episodes = -49.25; and epsilon = 0.1, win percentage = 0.77, 2024-11-16 19:47:41
Episode no = 7500; won: True; iter_time_steps = 41; Q(s,a) = 237.58711072930734; score = 480.0; reward = 71.0; mean_reward/100_episodes = -36.9; and epsilon = 0.1, win percentage = 0.79, 2024-11-16 19:47:50
Episode no = 7600; won: True; iter_time_steps = 20; Q(s,a) = 301.41924120209745; score = 501.0; reward = 92.0; mean_reward/100_episodes = -36.36; and epsilon = 0.1, win percentage = 0.79, 2024-11-16 19:47:59
Episode no = 7700; won: True; iter_time_steps = 17; Q(s,a) = 261.74829732874935; score = 504.0; reward = 95.0; mean_reward/100_episodes = -78.06; and epsilon = 0.1, win percentage = 0.72, 2024-11-16 19:48:07
Episode no = 7800; won: True; iter_time_steps = 20; Q(s,a) = 319.699488870341; score = 501.0; reward = 92.0; mean_reward/100_episodes = -44.85; and epsilon = 0.1, win percentage = 0.78, 2024-11-16 19:48:17
Episode no = 7900; won: True; iter_time_steps = 16; Q(s,a) = 304.7267457524069; score = 505.0; reward = 96.0; mean_reward/100_episodes = 4.99; and epsilon = 0.1, win percentage = 0.86, 2024-11-16 19:48:25
Episode no = 8000; won: False; iter_time_steps = 14; Q(s,a) = 150.09744789584587; score = -503.0; reward = -502.0; mean_reward/100_episodes = -31.69; and epsilon = 0.1, win percentage = 0.8, 2024-11-16 19:48:35
Episode no = 8100; won: True; iter_time_steps = 18; Q(s,a) = 262.38597225706707; score = 503.0; reward = 94.0; mean_reward/100_episodes = -75.12; and epsilon = 0.1, win percentage = 0.73, 2024-11-16 19:48:44
Episode no = 8200; won: True; iter_time_steps = 16; Q(s,a) = 342.93334438571236; score = 505.0; reward = 96.0; mean_reward/100_episodes = -54.62; and epsilon = 0.1, win percentage = 0.76, 2024-11-16 19:48:53
Episode no = 8300; won: True; iter_time_steps = 22; Q(s,a) = 282.6089282184828; score = 499.0; reward = 90.0; mean_reward/100_episodes = -29.29; and epsilon = 0.1, win percentage = 0.8, 2024-11-16 19:49:02
Episode no = 8400; won: True; iter_time_steps = 21; Q(s,a) = 307.2794404705067; score = 500.0; reward = 91.0; mean_reward/100_episodes = -41.34; and epsilon = 0.1, win percentage = 0.78, 2024-11-16 19:49:10
Episode no = 8500; won: True; iter_time_steps = 37; Q(s,a) = 367.5754584281305; score = 484.0; reward = 75.0; mean_reward/100_episodes = -17.96; and epsilon = 0.1, win percentage = 0.82, 2024-11-16 19:49:18
Episode no = 8600; won: True; iter_time_steps = 21; Q(s,a) = 372.3680113162896; score = 500.0; reward = 91.0; mean_reward/100_episodes = -73.0; and epsilon = 0.1, win percentage = 0.73, 2024-11-16 19:49:27
Episode no = 8700; won: True; iter_time_steps = 20; Q(s,a) = 415.6597491295634; score = 501.0; reward = 92.0; mean_reward/100_episodes = -40.49; and epsilon = 0.1, win percentage = 0.78, 2024-11-16 19:49:35
Episode no = 8800; won: True; iter_time_steps = 16; Q(s,a) = 398.2346842192822; score = 505.0; reward = 96.0; mean_reward/100_episodes = -5.3; and epsilon = 0.1, win percentage = 0.84, 2024-11-16 19:49:43
Episode no = 8900; won: False; iter_time_steps = 47; Q(s,a) = 370.13082722144577; score = -536.0; reward = -535.0; mean_reward/100_episodes = 30.42; and epsilon = 0.1, win percentage = 0.9, 2024-11-16 19:49:51
Episode no = 9000; won: False; iter_time_steps = 12; Q(s,a) = 143.06881260256722; score = -511.0; reward = -511.0; mean_reward/100_episodes = -36.38; and epsilon = 0.1, win percentage = 0.79, 2024-11-16 19:50:00
Episode no = 9100; won: True; iter_time_steps = 19; Q(s,a) = 359.66042452801145; score = 502.0; reward = 93.0; mean_reward/100_episodes = -30.22; and epsilon = 0.1, win percentage = 0.8, 2024-11-16 19:50:09
Episode no = 9200; won: False; iter_time_steps = 16; Q(s,a) = 260.1874920306175; score = -505.0; reward = -504.0; mean_reward/100_episodes = -48.59; and epsilon = 0.1, win percentage = 0.77, 2024-11-16 19:50:17
Episode no = 9300; won: True; iter_time_steps = 18; Q(s,a) = 275.57673616634236; score = 503.0; reward = 94.0; mean_reward/100_episodes = -41.26; and epsilon = 0.1, win percentage = 0.78, 2024-11-16 19:50:26
Episode no = 9400; won: False; iter_time_steps = 17; Q(s,a) = 249.16347551333624; score = -506.0; reward = -505.0; mean_reward/100_episodes = -55.66; and epsilon = 0.1, win percentage = 0.76, 2024-11-16 19:50:35
Episode no = 9500; won: True; iter_time_steps = 35; Q(s,a) = 418.7588779514907; score = 486.0; reward = 77.0; mean_reward/100_episodes = 11.55; and epsilon = 0.1, win percentage = 0.87, 2024-11-16 19:50:44
Episode no = 9600; won: True; iter_time_steps = 23; Q(s,a) = 497.9408207762398; score = 498.0; reward = 89.0; mean_reward/100_episodes = -16.6; and epsilon = 0.1, win percentage = 0.82, 2024-11-16 19:50:52
Episode no = 9700; won: False; iter_time_steps = 14; Q(s,a) = 267.82525998272575; score = -503.0; reward = -502.0; mean_reward/100_episodes = 1.8; and epsilon = 0.1, win percentage = 0.85, 2024-11-16 19:51:00
Episode no = 9800; won: True; iter_time_steps = 19; Q(s,a) = 515.9816338585712; score = 502.0; reward = 93.0; mean_reward/100_episodes = 31.18; and epsilon = 0.1, win percentage = 0.9, 2024-11-16 19:51:08
Episode no = 9900; won: False; iter_time_steps = 21; Q(s,a) = 286.26675362821436; score = -510.0; reward = -509.0; mean_reward/100_episodes = 0.58; and epsilon = 0.1, win percentage = 0.85, 2024-11-16 19:51:17
Episode no = 10000; won: True; iter_time_steps = 27; Q(s,a) = 400.1687426794266; score = 494.0; reward = 85.0; mean_reward/100_episodes = 18.12; and epsilon = 0.1, win percentage = 0.88, 2024-11-16 19:51:26
Episode no = 10100; won: True; iter_time_steps = 19; Q(s,a) = 513.7854835032902; score = 502.0; reward = 93.0; mean_reward/100_episodes = 18.7; and epsilon = 0.1, win percentage = 0.88, 2024-11-16 19:51:35
Episode no = 10200; won: True; iter_time_steps = 20; Q(s,a) = 512.2955913569654; score = 501.0; reward = 92.0; mean_reward/100_episodes = 29.74; and epsilon = 0.1, win percentage = 0.9, 2024-11-16 19:51:44
Episode no = 10300; won: False; iter_time_steps = 46; Q(s,a) = 215.39921486158897; score = -535.0; reward = -534.0; mean_reward/100_episodes = -11.54; and epsilon = 0.1, win percentage = 0.83, 2024-11-16 19:51:52
Episode no = 10400; won: True; iter_time_steps = 19; Q(s,a) = 549.7391151640647; score = 502.0; reward = 93.0; mean_reward/100_episodes = 12.74; and epsilon = 0.1, win percentage = 0.87, 2024-11-16 19:52:01
Episode no = 10500; won: True; iter_time_steps = 18; Q(s,a) = 314.10784781879727; score = 503.0; reward = 94.0; mean_reward/100_episodes = -23.6; and epsilon = 0.1, win percentage = 0.81, 2024-11-16 19:52:10
Episode no = 10600; won: False; iter_time_steps = 26; Q(s,a) = 340.74211438561764; score = -515.0; reward = -514.0; mean_reward/100_episodes = 19.45; and epsilon = 0.1, win percentage = 0.88, 2024-11-16 19:52:18
Episode no = 10700; won: True; iter_time_steps = 37; Q(s,a) = 513.5434723336981; score = 484.0; reward = 75.0; mean_reward/100_episodes = 6.96; and epsilon = 0.1, win percentage = 0.86, 2024-11-16 19:52:26
Episode no = 10800; won: True; iter_time_steps = 18; Q(s,a) = 558.4556524792846; score = 503.0; reward = 94.0; mean_reward/100_episodes = 19.58; and epsilon = 0.1, win percentage = 0.88, 2024-11-16 19:52:34
Episode no = 10900; won: True; iter_time_steps = 20; Q(s,a) = 424.36912914214224; score = 501.0; reward = 92.0; mean_reward/100_episodes = -6.77; and epsilon = 0.1, win percentage = 0.84, 2024-11-16 19:52:43
Episode no = 11000; won: False; iter_time_steps = 13; Q(s,a) = 240.21444465010842; score = -512.0; reward = -512.0; mean_reward/100_episodes = 12.88; and epsilon = 0.1, win percentage = 0.87, 2024-11-16 19:52:51
Episode no = 11100; won: True; iter_time_steps = 30; Q(s,a) = 575.5855170023807; score = 491.0; reward = 82.0; mean_reward/100_episodes = -6.04; and epsilon = 0.1, win percentage = 0.84, 2024-11-16 19:53:00
Episode no = 11200; won: True; iter_time_steps = 29; Q(s,a) = 398.30495254964944; score = 492.0; reward = 83.0; mean_reward/100_episodes = 43.55; and epsilon = 0.1, win percentage = 0.92, 2024-11-16 19:53:08
Episode no = 11300; won: True; iter_time_steps = 17; Q(s,a) = 466.8681563326918; score = 504.0; reward = 95.0; mean_reward/100_episodes = 16.05; and epsilon = 0.1, win percentage = 0.88, 2024-11-16 19:53:17
Episode no = 11400; won: True; iter_time_steps = 30; Q(s,a) = 374.2166621690054; score = 491.0; reward = 82.0; mean_reward/100_episodes = -11.44; and epsilon = 0.1, win percentage = 0.83, 2024-11-16 19:53:26
Episode no = 11500; won: True; iter_time_steps = 16; Q(s,a) = 441.12117386011494; score = 505.0; reward = 96.0; mean_reward/100_episodes = 12.45; and epsilon = 0.1, win percentage = 0.87, 2024-11-16 19:53:34
Episode no = 11600; won: True; iter_time_steps = 18; Q(s,a) = 482.07601964764626; score = 503.0; reward = 94.0; mean_reward/100_episodes = -5.82; and epsilon = 0.1, win percentage = 0.84, 2024-11-16 19:53:43
