Episode no = 4500; won: False; iter_time_steps = 65; Q(s,a) = 87.42612822325253; score = -254.0; mean_score/100_episodes = -334.97; reward = -234.0; mean_reward/100_episodes = -313.99; and epsilon = 0.4, win percentage = 0.0, 2024-11-24 16:08:34
Episode no = 4600; won: False; iter_time_steps = 38; Q(s,a) = 89.27341340346558; score = -257.0; mean_score/100_episodes = -379.55; reward = -229.0; mean_reward/100_episodes = -361.85; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-24 16:08:57
Episode no = 4700; won: False; iter_time_steps = 60; Q(s,a) = 91.36500503957726; score = -229.0; mean_score/100_episodes = -314.26; reward = -185.0; mean_reward/100_episodes = -292.84; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-24 16:09:20
Episode no = 4800; won: False; iter_time_steps = 41; Q(s,a) = 93.94393885092178; score = -260.0; mean_score/100_episodes = -289.45; reward = -232.0; mean_reward/100_episodes = -269.29; and epsilon = 0.36, win percentage = 0.0, 2024-11-24 16:09:38
Episode no = 4900; won: False; iter_time_steps = 154; Q(s,a) = 97.7988629101666; score = -113.0; mean_score/100_episodes = -269.22; reward = -59.0; mean_reward/100_episodes = -244.22; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-24 16:10:00
Episode no = 5000; won: False; iter_time_steps = 25; Q(s,a) = 101.74859357730477; score = -344.0; mean_score/100_episodes = -265.19; reward = -326.0; mean_reward/100_episodes = -239.13; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-24 16:10:24
Episode no = 5100; won: False; iter_time_steps = 31; Q(s,a) = 104.6293821606406; score = -380.0; mean_score/100_episodes = -260.0; reward = -365.0; mean_reward/100_episodes = -234.4; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-24 16:10:47
Episode no = 5200; won: False; iter_time_steps = 28; Q(s,a) = 108.97459249233684; score = -407.0; mean_score/100_episodes = -266.3; reward = -395.0; mean_reward/100_episodes = -237.24; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-24 16:11:07
Episode no = 5300; won: False; iter_time_steps = 55; Q(s,a) = 109.8730006409493; score = -154.0; mean_score/100_episodes = -272.84; reward = -114.0; mean_reward/100_episodes = -245.72; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-24 16:11:28
Episode no = 5400; won: False; iter_time_steps = 142; Q(s,a) = 110.63023783154239; score = -161.0; mean_score/100_episodes = -252.68; reward = -113.0; mean_reward/100_episodes = -223.71; and epsilon = 0.28, win percentage = 0.0, 2024-11-24 16:11:50
Episode no = 5500; won: False; iter_time_steps = 13; Q(s,a) = 114.18283976043942; score = -432.0; mean_score/100_episodes = -251.65; reward = -424.0; mean_reward/100_episodes = -221.53; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-24 16:12:14
Episode no = 5600; won: False; iter_time_steps = 24; Q(s,a) = 114.74502403026924; score = -323.0; mean_score/100_episodes = -261.75; reward = -292.0; mean_reward/100_episodes = -236.63; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-24 16:12:34
Episode no = 5700; won: False; iter_time_steps = 13; Q(s,a) = 116.31753283144896; score = -432.0; mean_score/100_episodes = -264.67; reward = -413.0; mean_reward/100_episodes = -236.02; and epsilon = 0.24, win percentage = 0.0, 2024-11-24 16:12:55
Episode no = 5800; won: False; iter_time_steps = 28; Q(s,a) = 118.23534424895536; score = -337.0; mean_score/100_episodes = -257.22; reward = -318.0; mean_reward/100_episodes = -229.76; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-24 16:13:15
Episode no = 5900; won: False; iter_time_steps = 13; Q(s,a) = 119.4905456674866; score = -452.0; mean_score/100_episodes = -242.66; reward = -446.0; mean_reward/100_episodes = -211.92; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-24 16:13:38
Episode no = 6000; won: False; iter_time_steps = 37; Q(s,a) = 123.91200121538704; score = -276.0; mean_score/100_episodes = -239.34; reward = -250.0; mean_reward/100_episodes = -210.99; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-24 16:14:02
