Episode no = 2900; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -510.12; reward = -505.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-02 01:48:41
Episode no = 3000; won: False; iter_time_steps = 14; Q(s,a) = 21.711045678273063; score = -513.0; mean_score/100_episodes = -510.87; reward = -513.0; mean_reward/100_episodes = -510.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-02 01:48:48
Episode no = 3100; won: False; iter_time_steps = 14; Q(s,a) = 38.206732786766594; score = -513.0; mean_score/100_episodes = -511.53; reward = -513.0; mean_reward/100_episodes = -511.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-02 01:48:55
Episode no = 3200; won: False; iter_time_steps = 18; Q(s,a) = 68.38284772320088; score = -517.0; mean_score/100_episodes = -510.49; reward = -517.0; mean_reward/100_episodes = -510.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-02 01:49:01
Episode no = 3300; won: False; iter_time_steps = 21; Q(s,a) = 116.49264321857585; score = -520.0; mean_score/100_episodes = -510.26; reward = -520.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-02 01:49:07
Episode no = 3400; won: False; iter_time_steps = 10; Q(s,a) = 47.41434656147444; score = -509.0; mean_score/100_episodes = -510.03; reward = -509.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-02 01:49:14
Episode no = 3500; won: False; iter_time_steps = 13; Q(s,a) = 54.841595854377395; score = -512.0; mean_score/100_episodes = -509.43; reward = -512.0; mean_reward/100_episodes = -508.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-02 01:49:20
Episode no = 3600; won: False; iter_time_steps = 17; Q(s,a) = 116.21846793934183; score = -506.0; mean_score/100_episodes = -510.82; reward = -505.0; mean_reward/100_episodes = -510.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-02 01:49:28
Episode no = 3700; won: False; iter_time_steps = 7; Q(s,a) = 23.572732963069825; score = -506.0; mean_score/100_episodes = -499.78; reward = -506.0; mean_reward/100_episodes = -503.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.01, 2024-12-02 01:49:35
Episode no = 3800; won: False; iter_time_steps = 21; Q(s,a) = 72.86904364367386; score = -510.0; mean_score/100_episodes = -511.07; reward = -509.0; mean_reward/100_episodes = -510.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-02 01:49:43
Episode no = 3900; won: False; iter_time_steps = 21; Q(s,a) = 75.6151710822749; score = -520.0; mean_score/100_episodes = -510.07; reward = -520.0; mean_reward/100_episodes = -509.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-02 01:49:51
Episode no = 4000; won: False; iter_time_steps = 19; Q(s,a) = 118.43190739040658; score = -508.0; mean_score/100_episodes = -511.23; reward = -507.0; mean_reward/100_episodes = -510.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-02 01:49:59
