Episode no = 4600; won: False; iter_time_steps = 22; Q(s,a) = 66.34520519234074; score = -511.0; mean_score/100_episodes = -492.71; reward = -510.0; mean_reward/100_episodes = -500.4; and epsilon = 0.3866666666666667, win percentage = 0.02, 2024-11-22 09:11:40
Episode no = 4700; won: False; iter_time_steps = 14; Q(s,a) = 58.886561294916476; score = -513.0; mean_score/100_episodes = -422.94; reward = -513.0; mean_reward/100_episodes = -458.78; and epsilon = 0.3733333333333333, win percentage = 0.09, 2024-11-22 09:11:49
Episode no = 4800; won: False; iter_time_steps = 14; Q(s,a) = 61.23515741798538; score = -503.0; mean_score/100_episodes = -464.19; reward = -491.0; mean_reward/100_episodes = -483.13; and epsilon = 0.36, win percentage = 0.05, 2024-11-22 09:11:59
Episode no = 4900; won: False; iter_time_steps = 15; Q(s,a) = 76.130099780779; score = -504.0; mean_score/100_episodes = -453.25; reward = -503.0; mean_reward/100_episodes = -476.68; and epsilon = 0.3466666666666667, win percentage = 0.06, 2024-11-22 09:12:07
Episode no = 5000; won: False; iter_time_steps = 36; Q(s,a) = 82.79880722872544; score = -525.0; mean_score/100_episodes = -383.92; reward = -524.0; mean_reward/100_episodes = -436.08; and epsilon = 0.33333333333333337, win percentage = 0.13, 2024-11-22 09:12:18
Episode no = 5100; won: False; iter_time_steps = 24; Q(s,a) = 53.73464370716565; score = -513.0; mean_score/100_episodes = -363.79; reward = -512.0; mean_reward/100_episodes = -423.75; and epsilon = 0.31999999999999995, win percentage = 0.15, 2024-11-22 09:12:29
Episode no = 5200; won: False; iter_time_steps = 22; Q(s,a) = 56.35687362861833; score = -511.0; mean_score/100_episodes = -382.66; reward = -510.0; mean_reward/100_episodes = -434.09; and epsilon = 0.30666666666666664, win percentage = 0.13, 2024-11-22 09:12:39
Episode no = 5300; won: False; iter_time_steps = 46; Q(s,a) = 89.61129495528503; score = -535.0; mean_score/100_episodes = -272.84; reward = -534.0; mean_reward/100_episodes = -369.81; and epsilon = 0.29333333333333333, win percentage = 0.24, 2024-11-22 09:12:50
Episode no = 5400; won: False; iter_time_steps = 22; Q(s,a) = 74.93741765660931; score = -511.0; mean_score/100_episodes = -255.75; reward = -510.0; mean_reward/100_episodes = -361.17; and epsilon = 0.28, win percentage = 0.26, 2024-11-22 09:13:03
Episode no = 5500; won: True; iter_time_steps = 32; Q(s,a) = 97.2221678188422; score = 489.0; mean_score/100_episodes = -211.84; reward = 80.0; mean_reward/100_episodes = -333.55; and epsilon = 0.2666666666666667, win percentage = 0.3, 2024-11-22 09:13:14
Episode no = 5600; won: False; iter_time_steps = 12; Q(s,a) = 32.602812988730946; score = -511.0; mean_score/100_episodes = -118.84; reward = -511.0; mean_reward/100_episodes = -276.97; and epsilon = 0.2533333333333333, win percentage = 0.39, 2024-11-22 09:13:24
Episode no = 5700; won: True; iter_time_steps = 19; Q(s,a) = 98.52786816075323; score = 502.0; mean_score/100_episodes = 20.72; reward = 93.0; mean_reward/100_episodes = -194.69; and epsilon = 0.24, win percentage = 0.53, 2024-11-22 09:13:36
Episode no = 5800; won: True; iter_time_steps = 30; Q(s,a) = 81.22723901822778; score = 491.0; mean_score/100_episodes = 0.57; reward = 82.0; mean_reward/100_episodes = -206.9; and epsilon = 0.22666666666666668, win percentage = 0.51, 2024-11-22 09:13:48
Episode no = 5900; won: False; iter_time_steps = 28; Q(s,a) = 89.09169010529716; score = -517.0; mean_score/100_episodes = 11.53; reward = -516.0; mean_reward/100_episodes = -199.98; and epsilon = 0.21333333333333337, win percentage = 0.52, 2024-11-22 09:14:00
Episode no = 6000; won: True; iter_time_steps = 30; Q(s,a) = 106.18121335985178; score = 491.0; mean_score/100_episodes = 40.93; reward = 82.0; mean_reward/100_episodes = -183.14; and epsilon = 0.19999999999999996, win percentage = 0.55, 2024-11-22 09:14:11
Episode no = 6100; won: True; iter_time_steps = 26; Q(s,a) = 86.36293438082797; score = 495.0; mean_score/100_episodes = 70.72; reward = 86.0; mean_reward/100_episodes = -165.8; and epsilon = 0.18666666666666665, win percentage = 0.58, 2024-11-22 09:14:24
Episode no = 6200; won: True; iter_time_steps = 20; Q(s,a) = 158.9809664822536; score = 501.0; mean_score/100_episodes = -9.05; reward = 92.0; mean_reward/100_episodes = -212.62; and epsilon = 0.17333333333333334, win percentage = 0.5, 2024-11-22 09:14:35
Episode no = 6300; won: True; iter_time_steps = 32; Q(s,a) = 162.09067244698443; score = 489.0; mean_score/100_episodes = 111.78; reward = 80.0; mean_reward/100_episodes = -141.07; and epsilon = 0.16000000000000003, win percentage = 0.62, 2024-11-22 09:14:48
Episode no = 6400; won: False; iter_time_steps = 12; Q(s,a) = 78.4547252515676; score = -511.0; mean_score/100_episodes = -29.28; reward = -511.0; mean_reward/100_episodes = -223.69; and epsilon = 0.1466666666666666, win percentage = 0.48, 2024-11-22 09:14:59
Episode no = 6500; won: True; iter_time_steps = 21; Q(s,a) = 162.06430320443667; score = 500.0; mean_score/100_episodes = 21.58; reward = 91.0; mean_reward/100_episodes = -193.54; and epsilon = 0.1333333333333333, win percentage = 0.53, 2024-11-22 09:15:11
Episode no = 6600; won: False; iter_time_steps = 5; Q(s,a) = 48.04529274561024; score = -504.0; mean_score/100_episodes = -26.72; reward = -504.0; mean_reward/100_episodes = -221.84; and epsilon = 0.12, win percentage = 0.48, 2024-11-22 09:15:21
Episode no = 6700; won: False; iter_time_steps = 26; Q(s,a) = 109.07694821516863; score = -515.0; mean_score/100_episodes = 32.95; reward = -514.0; mean_reward/100_episodes = -185.87; and epsilon = 0.10666666666666669, win percentage = 0.54, 2024-11-22 09:15:32
Episode no = 6800; won: True; iter_time_steps = 21; Q(s,a) = 166.83382374917224; score = 500.0; mean_score/100_episodes = -47.21; reward = 91.0; mean_reward/100_episodes = -233.57; and epsilon = 0.1, win percentage = 0.46, 2024-11-22 09:15:42
Episode no = 6900; won: False; iter_time_steps = 6; Q(s,a) = 69.71032893679082; score = -505.0; mean_score/100_episodes = 14.23; reward = -505.0; mean_reward/100_episodes = -196.5; and epsilon = 0.1, win percentage = 0.52, 2024-11-22 09:15:52
Episode no = 7000; won: True; iter_time_steps = 25; Q(s,a) = 182.6341413564294; score = 496.0; mean_score/100_episodes = 94.39; reward = 87.0; mean_reward/100_episodes = -149.28; and epsilon = 0.1, win percentage = 0.6, 2024-11-22 09:16:02
Episode no = 7100; won: False; iter_time_steps = 11; Q(s,a) = 78.40471261837567; score = -510.0; mean_score/100_episodes = -27.54; reward = -510.0; mean_reward/100_episodes = -221.3; and epsilon = 0.1, win percentage = 0.48, 2024-11-22 09:16:13
Episode no = 7200; won: True; iter_time_steps = 22; Q(s,a) = 122.09226185078127; score = 499.0; mean_score/100_episodes = 144.87; reward = 90.0; mean_reward/100_episodes = -119.38; and epsilon = 0.1, win percentage = 0.65, 2024-11-22 09:16:24
Episode no = 7300; won: True; iter_time_steps = 26; Q(s,a) = 287.96778262099235; score = 495.0; mean_score/100_episodes = -36.2; reward = 86.0; mean_reward/100_episodes = -224.96; and epsilon = 0.1, win percentage = 0.47, 2024-11-22 09:16:34
Episode no = 7400; won: True; iter_time_steps = 25; Q(s,a) = 309.47916288576675; score = 496.0; mean_score/100_episodes = 74.49; reward = 87.0; mean_reward/100_episodes = -160.38; and epsilon = 0.1, win percentage = 0.58, 2024-11-22 09:16:44
Episode no = 7500; won: False; iter_time_steps = 15; Q(s,a) = 87.233912016669; score = -504.0; mean_score/100_episodes = 125.7; reward = -492.0; mean_reward/100_episodes = -130.32; and epsilon = 0.1, win percentage = 0.63, 2024-11-22 09:16:54
Episode no = 7600; won: True; iter_time_steps = 27; Q(s,a) = 353.8340165614695; score = 494.0; mean_score/100_episodes = 156.87; reward = 85.0; mean_reward/100_episodes = -111.42; and epsilon = 0.1, win percentage = 0.66, 2024-11-22 09:17:04
Episode no = 7700; won: True; iter_time_steps = 19; Q(s,a) = 242.40288008396556; score = 502.0; mean_score/100_episodes = 66.15; reward = 93.0; mean_reward/100_episodes = -165.17; and epsilon = 0.1, win percentage = 0.57, 2024-11-22 09:17:13
