Episode no = 4200; won: False; iter_time_steps = 145; Q(s,a) = 161.19629258053644; score = 196.0; mean_score/100_episodes = -119.3; reward = 111.0; mean_reward/100_episodes = -124.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.01, 2024-12-21 16:38:30
Episode no = 4300; won: False; iter_time_steps = 341; Q(s,a) = 163.6172874049414; score = 10.0; mean_score/100_episodes = -117.44; reward = 95.0; mean_reward/100_episodes = -116.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-21 16:39:47
Episode no = 4400; won: False; iter_time_steps = 136; Q(s,a) = 164.8157271687538; score = 155.0; mean_score/100_episodes = -110.07; reward = 245.0; mean_reward/100_episodes = -106.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-21 16:40:57
Episode no = 4500; won: False; iter_time_steps = 57; Q(s,a) = 166.6438806884427; score = -226.0; mean_score/100_episodes = -116.87; reward = -182.0; mean_reward/100_episodes = -121.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-21 16:42:05
Episode no = 4600; won: False; iter_time_steps = 194; Q(s,a) = 168.01612431479063; score = -113.0; mean_score/100_episodes = -29.58; reward = -224.0; mean_reward/100_episodes = -53.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-21 16:43:41
Episode no = 4700; won: False; iter_time_steps = 219; Q(s,a) = 168.89153723631992; score = -28.0; mean_score/100_episodes = -80.44; reward = -139.0; mean_reward/100_episodes = -87.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-21 16:45:06
Episode no = 4800; won: False; iter_time_steps = 146; Q(s,a) = 170.19118014885467; score = 265.0; mean_score/100_episodes = -88.49; reward = 176.0; mean_reward/100_episodes = -86.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-21 16:46:26
Episode no = 4900; won: False; iter_time_steps = 13; Q(s,a) = 172.32495226466287; score = -442.0; mean_score/100_episodes = -68.94; reward = -435.0; mean_reward/100_episodes = -75.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-21 16:47:49
Episode no = 5000; won: False; iter_time_steps = 77; Q(s,a) = 173.34075167855733; score = -106.0; mean_score/100_episodes = -42.75; reward = -59.0; mean_reward/100_episodes = -48.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-21 16:49:20
Episode no = 5100; won: False; iter_time_steps = 31; Q(s,a) = 173.69197097975925; score = -340.0; mean_score/100_episodes = -46.53; reward = -321.0; mean_reward/100_episodes = -52.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-21 16:50:51
Episode no = 5200; won: False; iter_time_steps = 33; Q(s,a) = 176.14920439320483; score = -332.0; mean_score/100_episodes = -1.71; reward = -312.0; mean_reward/100_episodes = -28.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.01, 2024-12-21 16:52:23
Episode no = 5300; won: False; iter_time_steps = 94; Q(s,a) = 176.50774980328833; score = -233.0; mean_score/100_episodes = -14.81; reward = -186.0; mean_reward/100_episodes = -33.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-21 16:53:54
Episode no = 5400; won: False; iter_time_steps = 143; Q(s,a) = 177.8713793089443; score = -12.0; mean_score/100_episodes = -47.21; reward = 51.0; mean_reward/100_episodes = -58.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-21 16:55:26
Episode no = 5500; won: False; iter_time_steps = 25; Q(s,a) = 178.00275157645103; score = -334.0; mean_score/100_episodes = -58.46; reward = -304.0; mean_reward/100_episodes = -73.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-21 16:56:38
Episode no = 5600; won: False; iter_time_steps = 59; Q(s,a) = 179.320643642723; score = 262.0; mean_score/100_episodes = 32.82; reward = 6.0; mean_reward/100_episodes = 9.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.02, 2024-12-21 16:58:14
Episode no = 5700; won: False; iter_time_steps = 292; Q(s,a) = 180.16365918157896; score = 369.0; mean_score/100_episodes = -28.36; reward = 305.0; mean_reward/100_episodes = -38.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-21 16:59:47
Episode no = 5800; won: False; iter_time_steps = 49; Q(s,a) = 179.34426038333848; score = -248.0; mean_score/100_episodes = 11.43; reward = -218.0; mean_reward/100_episodes = -14.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.01, 2024-12-21 17:01:33
Episode no = 5900; won: False; iter_time_steps = 297; Q(s,a) = 182.89670396289668; score = 544.0; mean_score/100_episodes = 5.88; reward = 329.0; mean_reward/100_episodes = -17.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.01, 2024-12-21 17:03:11
Episode no = 6000; won: False; iter_time_steps = 36; Q(s,a) = 182.11726087185852; score = -345.0; mean_score/100_episodes = 29.19; reward = -326.0; mean_reward/100_episodes = 5.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-21 17:05:03
