Episode no = 3600; won: False; iter_time_steps = 6; Q(s,a) = -17.073343278821593; score = -505.0; mean_score/100_episodes = -509.47; reward = -505.0; mean_reward/100_episodes = -509.39; and epsilon = 0.52, win percentage = 0.0, 2024-11-22 08:55:46
Episode no = 3700; won: False; iter_time_steps = 8; Q(s,a) = -18.14908451297144; score = -507.0; mean_score/100_episodes = -509.66; reward = -507.0; mean_reward/100_episodes = -509.58; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-22 08:55:53
Episode no = 3800; won: False; iter_time_steps = 10; Q(s,a) = -17.616832974785073; score = -509.0; mean_score/100_episodes = -510.41; reward = -509.0; mean_reward/100_episodes = -510.26; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-22 08:56:00
Episode no = 3900; won: False; iter_time_steps = 10; Q(s,a) = -17.72047296449157; score = -509.0; mean_score/100_episodes = -510.41; reward = -509.0; mean_reward/100_episodes = -510.35; and epsilon = 0.48, win percentage = 0.0, 2024-11-22 08:56:08
Episode no = 4000; won: False; iter_time_steps = 10; Q(s,a) = -17.719688791893407; score = -509.0; mean_score/100_episodes = -510.12; reward = -509.0; mean_reward/100_episodes = -509.79; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-22 08:56:15
Episode no = 4100; won: False; iter_time_steps = 16; Q(s,a) = -18.064094492491982; score = -515.0; mean_score/100_episodes = -510.96; reward = -515.0; mean_reward/100_episodes = -510.77; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-22 08:56:24
Episode no = 4200; won: False; iter_time_steps = 12; Q(s,a) = -18.16935282906037; score = -511.0; mean_score/100_episodes = -510.75; reward = -511.0; mean_reward/100_episodes = -510.57; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-22 08:56:31
Episode no = 4300; won: False; iter_time_steps = 9; Q(s,a) = -18.796371141229468; score = -508.0; mean_score/100_episodes = -511.13; reward = -508.0; mean_reward/100_episodes = -511.0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-22 08:56:40
Episode no = 4400; won: False; iter_time_steps = 18; Q(s,a) = -18.406009982006037; score = -517.0; mean_score/100_episodes = -511.55; reward = -517.0; mean_reward/100_episodes = -511.32; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-22 08:56:49
Episode no = 4500; won: False; iter_time_steps = 26; Q(s,a) = -17.954936432422272; score = -525.0; mean_score/100_episodes = -512.67; reward = -525.0; mean_reward/100_episodes = -512.55; and epsilon = 0.4, win percentage = 0.0, 2024-11-22 08:56:59
Episode no = 4600; won: False; iter_time_steps = 15; Q(s,a) = -17.680302834457546; score = -504.0; mean_score/100_episodes = -510.63; reward = -503.0; mean_reward/100_episodes = -510.5; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-22 08:57:07
Episode no = 4700; won: False; iter_time_steps = 15; Q(s,a) = -18.769827448594153; score = -514.0; mean_score/100_episodes = -510.83; reward = -514.0; mean_reward/100_episodes = -510.55; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-22 08:57:15
Episode no = 4800; won: False; iter_time_steps = 31; Q(s,a) = -17.456046000634924; score = -520.0; mean_score/100_episodes = -513.88; reward = -519.0; mean_reward/100_episodes = -513.61; and epsilon = 0.36, win percentage = 0.0, 2024-11-22 08:57:26
Episode no = 4900; won: False; iter_time_steps = 9; Q(s,a) = -19.25949486828878; score = -508.0; mean_score/100_episodes = -510.3; reward = -508.0; mean_reward/100_episodes = -509.59; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-22 08:57:35
Episode no = 5000; won: False; iter_time_steps = 23; Q(s,a) = -17.772680528622057; score = -512.0; mean_score/100_episodes = -510.06; reward = -511.0; mean_reward/100_episodes = -509.73; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-22 08:57:43
Episode no = 5100; won: False; iter_time_steps = 8; Q(s,a) = -18.827437738236448; score = -507.0; mean_score/100_episodes = -510.4; reward = -507.0; mean_reward/100_episodes = -509.43; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-22 08:57:53
Episode no = 5200; won: False; iter_time_steps = 8; Q(s,a) = -18.717651541799878; score = -507.0; mean_score/100_episodes = -501.36; reward = -507.0; mean_reward/100_episodes = -504.97; and epsilon = 0.30666666666666664, win percentage = 0.01, 2024-11-22 08:58:02
Episode no = 5300; won: False; iter_time_steps = 13; Q(s,a) = -19.137196405332308; score = -512.0; mean_score/100_episodes = -501.09; reward = -512.0; mean_reward/100_episodes = -504.83; and epsilon = 0.29333333333333333, win percentage = 0.01, 2024-11-22 08:58:12
Episode no = 5400; won: False; iter_time_steps = 11; Q(s,a) = -18.493484546065435; score = -510.0; mean_score/100_episodes = -480.37; reward = -510.0; mean_reward/100_episodes = -492.27; and epsilon = 0.28, win percentage = 0.03, 2024-11-22 08:58:22
Episode no = 5500; won: False; iter_time_steps = 8; Q(s,a) = -19.015567506578734; score = -507.0; mean_score/100_episodes = -481.1; reward = -507.0; mean_reward/100_episodes = -493.09; and epsilon = 0.2666666666666667, win percentage = 0.03, 2024-11-22 08:58:32
Episode no = 5600; won: False; iter_time_steps = 13; Q(s,a) = -19.235759484312887; score = -512.0; mean_score/100_episodes = -482.32; reward = -512.0; mean_reward/100_episodes = -493.48; and epsilon = 0.2533333333333333, win percentage = 0.03, 2024-11-22 08:58:44
