Episode no = 2900; won: False; iter_time_steps = 29; Q(s,a) = 72.23816861543409; score = -378.0; mean_score/100_episodes = -325.66; reward = -374.0; mean_reward/100_episodes = -307.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-07 10:11:30
Episode no = 3000; won: False; iter_time_steps = 134; Q(s,a) = 79.48607109090973; score = -163.0; mean_score/100_episodes = -319.56; reward = -116.0; mean_reward/100_episodes = -297.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-07 10:12:30
Episode no = 3100; won: False; iter_time_steps = 17; Q(s,a) = 84.61255478284517; score = -416.0; mean_score/100_episodes = -303.27; reward = -395.0; mean_reward/100_episodes = -276.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-07 10:13:42
Episode no = 3200; won: False; iter_time_steps = 47; Q(s,a) = 87.58274554747133; score = -296.0; mean_score/100_episodes = -305.76; reward = -271.0; mean_reward/100_episodes = -288.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-07 10:14:47
Episode no = 3300; won: False; iter_time_steps = 33; Q(s,a) = 90.95167967804082; score = -452.0; mean_score/100_episodes = -299.96; reward = -444.0; mean_reward/100_episodes = -275.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-07 10:15:46
Episode no = 3400; won: False; iter_time_steps = 37; Q(s,a) = 99.75725078432576; score = -406.0; mean_score/100_episodes = -267.83; reward = -382.0; mean_reward/100_episodes = -247.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-07 10:17:13
Episode no = 3500; won: False; iter_time_steps = 17; Q(s,a) = 96.82971465300791; score = -436.0; mean_score/100_episodes = -265.73; reward = -417.0; mean_reward/100_episodes = -244.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-07 10:18:21
Episode no = 3600; won: False; iter_time_steps = 120; Q(s,a) = 99.80340070139377; score = -119.0; mean_score/100_episodes = -227.38; reward = -69.0; mean_reward/100_episodes = -203.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-07 10:19:38
Episode no = 3700; won: False; iter_time_steps = 98; Q(s,a) = 106.98658901339394; score = -227.0; mean_score/100_episodes = -266.67; reward = -190.0; mean_reward/100_episodes = -237.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-07 10:20:56
Episode no = 3800; won: False; iter_time_steps = 19; Q(s,a) = 103.2663626568806; score = -358.0; mean_score/100_episodes = -256.43; reward = -342.0; mean_reward/100_episodes = -234.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-07 10:22:03
