Episode no = 3900; won: False; iter_time_steps = 497; Q(s,a) = 143.90960127547714; score = 134.0; mean_score/100_episodes = 203.44; reward = 67.0; mean_reward/100_episodes = 102.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:06:28
Episode no = 4000; won: False; iter_time_steps = 69; Q(s,a) = 148.39319558540834; score = 182.0; mean_score/100_episodes = 224.23; reward = 77.0; mean_reward/100_episodes = 111.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:07:48
Episode no = 4100; won: False; iter_time_steps = 17; Q(s,a) = 142.948454622711; score = -366.0; mean_score/100_episodes = 207.06; reward = -340.0; mean_reward/100_episodes = 98.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:09:04
Episode no = 4200; won: False; iter_time_steps = 114; Q(s,a) = 152.66699480590518; score = 367.0; mean_score/100_episodes = 221.85; reward = 285.0; mean_reward/100_episodes = 120.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:10:31
Episode no = 4300; won: False; iter_time_steps = 126; Q(s,a) = 149.5517427239613; score = 735.0; mean_score/100_episodes = 289.83; reward = 342.0; mean_reward/100_episodes = 164.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:12:09
Episode no = 4400; won: False; iter_time_steps = 95; Q(s,a) = 154.2645464783914; score = 716.0; mean_score/100_episodes = 288.34; reward = 318.0; mean_reward/100_episodes = 170.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:13:34
Episode no = 4500; won: False; iter_time_steps = 62; Q(s,a) = 156.140917469886; score = 199.0; mean_score/100_episodes = 264.91; reward = 95.0; mean_reward/100_episodes = 144.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:15:05
Episode no = 4600; won: False; iter_time_steps = 61; Q(s,a) = 155.86061964403487; score = 140.0; mean_score/100_episodes = 253.21; reward = 30.0; mean_reward/100_episodes = 147.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:16:37
Episode no = 4700; won: False; iter_time_steps = 132; Q(s,a) = 155.86377699469278; score = 159.0; mean_score/100_episodes = 324.57; reward = 238.0; mean_reward/100_episodes = 166.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:18:13
Episode no = 4800; won: False; iter_time_steps = 115; Q(s,a) = 163.43221262915122; score = 26.0; mean_score/100_episodes = 255.47; reward = 90.0; mean_reward/100_episodes = 151.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:19:43
Episode no = 4900; won: False; iter_time_steps = 181; Q(s,a) = 162.95323676059508; score = 590.0; mean_score/100_episodes = 290.96; reward = 368.0; mean_reward/100_episodes = 165.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:21:26
Episode no = 5000; won: False; iter_time_steps = 126; Q(s,a) = 185.30867139286036; score = 245.0; mean_score/100_episodes = 308.01; reward = 152.0; mean_reward/100_episodes = 171.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:22:51
Episode no = 5100; won: False; iter_time_steps = 31; Q(s,a) = 178.65450746499172; score = -80.0; mean_score/100_episodes = 283.7; reward = -204.0; mean_reward/100_episodes = 154.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:24:18
Episode no = 5200; won: False; iter_time_steps = 66; Q(s,a) = 180.27830294853226; score = 135.0; mean_score/100_episodes = 263.52; reward = 25.0; mean_reward/100_episodes = 159.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:25:56
