Episode no = 4000; won: False; iter_time_steps = 14; Q(s,a) = 130.2116534567943; score = -423.0; mean_score/100_episodes = -282.24; reward = -403.0; mean_reward/100_episodes = -254.16; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-28 14:09:25
Episode no = 4100; won: False; iter_time_steps = 60; Q(s,a) = 132.77355201780253; score = -309.0; mean_score/100_episodes = -293.28; reward = -284.0; mean_reward/100_episodes = -270.15; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-28 14:10:17
Episode no = 4200; won: False; iter_time_steps = 28; Q(s,a) = 134.61031044655118; score = -387.0; mean_score/100_episodes = -256.63; reward = -373.0; mean_reward/100_episodes = -227.17; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-28 14:11:25
Episode no = 4300; won: False; iter_time_steps = 53; Q(s,a) = 137.1801540307873; score = -202.0; mean_score/100_episodes = -271.1; reward = -167.0; mean_reward/100_episodes = -243.97; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-28 14:12:21
Episode no = 4400; won: False; iter_time_steps = 78; Q(s,a) = 139.04156589007235; score = -127.0; mean_score/100_episodes = -233.87; reward = -82.0; mean_reward/100_episodes = -201.83; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-28 14:13:34
Episode no = 4500; won: False; iter_time_steps = 88; Q(s,a) = 140.16280523735816; score = -97.0; mean_score/100_episodes = -242.1; reward = -37.0; mean_reward/100_episodes = -208.51; and epsilon = 0.4, win percentage = 0.0, 2024-11-28 14:14:46
Episode no = 4600; won: False; iter_time_steps = 119; Q(s,a) = 144.49874935933968; score = -108.0; mean_score/100_episodes = -222.8; reward = -46.0; mean_reward/100_episodes = -191.63; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-28 14:15:53
Episode no = 4700; won: False; iter_time_steps = 48; Q(s,a) = 147.50707171931612; score = -287.0; mean_score/100_episodes = -232.95; reward = -272.0; mean_reward/100_episodes = -201.24; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-28 14:16:59
Episode no = 4800; won: False; iter_time_steps = 56; Q(s,a) = 143.48296766859514; score = -195.0; mean_score/100_episodes = -219.41; reward = -170.0; mean_reward/100_episodes = -188.16; and epsilon = 0.36, win percentage = 0.0, 2024-11-28 14:18:03
Episode no = 4900; won: False; iter_time_steps = 62; Q(s,a) = 147.0079783409259; score = -111.0; mean_score/100_episodes = -226.68; reward = -55.0; mean_reward/100_episodes = -194.7; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-28 14:19:04
Episode no = 5000; won: False; iter_time_steps = 34; Q(s,a) = 149.96499446359397; score = -323.0; mean_score/100_episodes = -233.37; reward = -302.0; mean_reward/100_episodes = -203.0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-28 14:20:06
Episode no = 5100; won: False; iter_time_steps = 84; Q(s,a) = 151.26568598009214; score = -3.0; mean_score/100_episodes = -220.42; reward = 55.0; mean_reward/100_episodes = -187.24; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-28 14:21:09
Episode no = 5200; won: False; iter_time_steps = 52; Q(s,a) = 152.84045135020267; score = -201.0; mean_score/100_episodes = -238.15; reward = -166.0; mean_reward/100_episodes = -207.77; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-28 14:22:03
Episode no = 5300; won: False; iter_time_steps = 41; Q(s,a) = 154.92229512136277; score = -240.0; mean_score/100_episodes = -208.24; reward = -199.0; mean_reward/100_episodes = -177.09; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-28 14:23:04
Episode no = 5400; won: False; iter_time_steps = 29; Q(s,a) = 156.61161337457526; score = -328.0; mean_score/100_episodes = -209.79; reward = -308.0; mean_reward/100_episodes = -174.71; and epsilon = 0.28, win percentage = 0.0, 2024-11-28 14:24:06
Episode no = 5500; won: False; iter_time_steps = 36; Q(s,a) = 158.41231935737818; score = -235.0; mean_score/100_episodes = -203.28; reward = -205.0; mean_reward/100_episodes = -166.15; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-28 14:25:15
Episode no = 5600; won: False; iter_time_steps = 55; Q(s,a) = 159.72538926990438; score = -174.0; mean_score/100_episodes = -205.2; reward = -136.0; mean_reward/100_episodes = -173.27; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-28 14:26:19
Episode no = 5700; won: False; iter_time_steps = 38; Q(s,a) = 159.59262697788657; score = -227.0; mean_score/100_episodes = -172.9; reward = -185.0; mean_reward/100_episodes = -149.24; and epsilon = 0.24, win percentage = 0.0, 2024-11-28 14:27:30
Episode no = 5800; won: False; iter_time_steps = 43; Q(s,a) = 165.86422116422125; score = -202.0; mean_score/100_episodes = -188.7; reward = -179.0; mean_reward/100_episodes = -159.78; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-28 14:28:37
Episode no = 5900; won: False; iter_time_steps = 13; Q(s,a) = 166.08859037109528; score = -402.0; mean_score/100_episodes = -120.57; reward = -391.0; mean_reward/100_episodes = -88.51; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-28 14:30:08
Episode no = 6000; won: False; iter_time_steps = 24; Q(s,a) = 167.19734408527728; score = -343.0; mean_score/100_episodes = -194.36; reward = -325.0; mean_reward/100_episodes = -164.8; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-28 14:31:10
Episode no = 6100; won: False; iter_time_steps = 60; Q(s,a) = 167.37448316149226; score = -89.0; mean_score/100_episodes = -141.58; reward = -42.0; mean_reward/100_episodes = -107.09; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-28 14:32:21
Episode no = 6200; won: False; iter_time_steps = 15; Q(s,a) = 167.69246595853554; score = -394.0; mean_score/100_episodes = -174.07; reward = -382.0; mean_reward/100_episodes = -148.55; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-28 14:33:22
Episode no = 6300; won: False; iter_time_steps = 109; Q(s,a) = 166.94289320239324; score = 172.0; mean_score/100_episodes = -144.32; reward = 261.0; mean_reward/100_episodes = -115.04; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-28 14:34:36
Episode no = 6400; won: False; iter_time_steps = 58; Q(s,a) = 170.75621052763924; score = -137.0; mean_score/100_episodes = -98.46; reward = -84.0; mean_reward/100_episodes = -74.55; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-28 14:36:00
Episode no = 6500; won: False; iter_time_steps = 57; Q(s,a) = 172.92819388088878; score = -56.0; mean_score/100_episodes = -140.98; reward = -6.0; mean_reward/100_episodes = -113.72; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-28 14:37:06
Episode no = 6600; won: False; iter_time_steps = 64; Q(s,a) = 174.27706885033894; score = -33.0; mean_score/100_episodes = -91.86; reward = 20.0; mean_reward/100_episodes = -50.64; and epsilon = 0.12, win percentage = 0.0, 2024-11-28 14:38:19
Episode no = 6700; won: False; iter_time_steps = 223; Q(s,a) = 174.3198567723165; score = 328.0; mean_score/100_episodes = -125.0; reward = 264.0; mean_reward/100_episodes = -94.01; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-28 14:39:28
Episode no = 6800; won: False; iter_time_steps = 160; Q(s,a) = 174.37071059490214; score = 171.0; mean_score/100_episodes = -101.26; reward = 254.0; mean_reward/100_episodes = -61.53; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:40:47
Episode no = 6900; won: False; iter_time_steps = 159; Q(s,a) = 176.36498880019514; score = 192.0; mean_score/100_episodes = -89.31; reward = 277.0; mean_reward/100_episodes = -58.5; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:42:11
Episode no = 7000; won: False; iter_time_steps = 59; Q(s,a) = 176.5322385353477; score = -88.0; mean_score/100_episodes = -88.76; reward = -30.0; mean_reward/100_episodes = -60.53; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:43:47
Episode no = 7100; won: False; iter_time_steps = 27; Q(s,a) = 175.64679822421127; score = -276.0; mean_score/100_episodes = -106.18; reward = -251.0; mean_reward/100_episodes = -83.84; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:44:57
Episode no = 7200; won: False; iter_time_steps = 70; Q(s,a) = 174.94819760539824; score = -29.0; mean_score/100_episodes = -128.46; reward = 25.0; mean_reward/100_episodes = -93.53; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:46:01
Episode no = 7300; won: False; iter_time_steps = 70; Q(s,a) = 176.06731114647116; score = -9.0; mean_score/100_episodes = -90.18; reward = 47.0; mean_reward/100_episodes = -55.76; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:47:19
