Episode no = 4500; won: False; iter_time_steps = 16; Q(s,a) = -18.185306275246436; score = -505.0; mean_score/100_episodes = -510.16; reward = -504.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 1.078430503034182; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-02 03:49:25
Episode no = 4600; won: False; iter_time_steps = 13; Q(s,a) = -18.210124560440843; score = -512.0; mean_score/100_episodes = -511.16; reward = -512.0; mean_reward/100_episodes = -511.04; snn_single_energy = 0; snn_total_energy = 1.1306228951188504; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-02 03:49:38
Episode no = 4700; won: False; iter_time_steps = 9; Q(s,a) = -18.308958688247326; score = -508.0; mean_score/100_episodes = -511.38; reward = -508.0; mean_reward/100_episodes = -511.23; snn_single_energy = 0; snn_total_energy = 1.1859770782160213; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-02 03:49:53
Episode no = 4800; won: False; iter_time_steps = 14; Q(s,a) = -18.64911325357728; score = -513.0; mean_score/100_episodes = -501.04; reward = -513.0; mean_reward/100_episodes = -504.52; snn_single_energy = 0; snn_total_energy = 1.2398508102733226; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.01, 2024-12-02 03:50:06
Episode no = 4900; won: False; iter_time_steps = 12; Q(s,a) = -18.869958865523518; score = -511.0; mean_score/100_episodes = -501.65; reward = -511.0; mean_reward/100_episodes = -505.44; snn_single_energy = 0; snn_total_energy = 1.2991441548150922; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.01, 2024-12-02 03:50:21
Episode no = 5000; won: False; iter_time_steps = 18; Q(s,a) = -18.2156286355164; score = -507.0; mean_score/100_episodes = -510.19; reward = -506.0; mean_reward/100_episodes = -509.99; snn_single_energy = 0; snn_total_energy = 1.3519275964574056; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-02 03:50:35
Episode no = 5100; won: False; iter_time_steps = 6; Q(s,a) = -19.508806731219707; score = -505.0; mean_score/100_episodes = -510.19; reward = -505.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 1.4017771793904827; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-02 03:50:47
Episode no = 5200; won: False; iter_time_steps = 12; Q(s,a) = -19.531467575840026; score = -511.0; mean_score/100_episodes = -509.82; reward = -511.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 1.4547154990056188; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-02 03:51:00
Episode no = 5300; won: False; iter_time_steps = 9; Q(s,a) = -19.77973211399952; score = -508.0; mean_score/100_episodes = -491.59; reward = -508.0; mean_reward/100_episodes = -499.06; snn_single_energy = 0; snn_total_energy = 1.5223258932187498; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.02, 2024-12-02 03:51:21
Episode no = 5400; won: False; iter_time_steps = 15; Q(s,a) = -19.386595473758; score = -504.0; mean_score/100_episodes = -501.02; reward = -503.0; mean_reward/100_episodes = -504.71; snn_single_energy = 0; snn_total_energy = 1.5847643341243582; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.01, 2024-12-02 03:51:41
Episode no = 5500; won: False; iter_time_steps = 13; Q(s,a) = -19.316674158170365; score = -512.0; mean_score/100_episodes = -490.57; reward = -512.0; mean_reward/100_episodes = -497.91; snn_single_energy = 0; snn_total_energy = 1.6466203546663922; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.02, 2024-12-02 03:51:58
Episode no = 5600; won: False; iter_time_steps = 15; Q(s,a) = -19.38107689777599; score = -514.0; mean_score/100_episodes = -500.35; reward = -514.0; mean_reward/100_episodes = -503.69; snn_single_energy = 0; snn_total_energy = 1.7114345118843564; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.01, 2024-12-02 03:52:15
Episode no = 5700; won: False; iter_time_steps = 12; Q(s,a) = -19.752017358610395; score = -511.0; mean_score/100_episodes = -510.63; reward = -511.0; mean_reward/100_episodes = -510.16; snn_single_energy = 0; snn_total_energy = 1.7691400079248392; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-02 03:52:29
Episode no = 5800; won: False; iter_time_steps = 16; Q(s,a) = -19.460221496975723; score = -505.0; mean_score/100_episodes = -512.37; reward = -504.0; mean_reward/100_episodes = -511.47; snn_single_energy = 0; snn_total_energy = 1.8458873492677574; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-02 03:52:48
Episode no = 5900; won: False; iter_time_steps = 6; Q(s,a) = -19.8769113092933; score = -505.0; mean_score/100_episodes = -491.59; reward = -505.0; mean_reward/100_episodes = -499.48; snn_single_energy = 0; snn_total_energy = 1.921138104716222; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.02, 2024-12-02 03:53:07
Episode no = 6000; won: False; iter_time_steps = 15; Q(s,a) = -19.170467976738326; score = -514.0; mean_score/100_episodes = -502.03; reward = -514.0; mean_reward/100_episodes = -505.29; snn_single_energy = 0; snn_total_energy = 2.0017578380701804; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.01, 2024-12-02 03:53:25
Episode no = 6100; won: False; iter_time_steps = 13; Q(s,a) = -19.50810263787041; score = -512.0; mean_score/100_episodes = -501.38; reward = -512.0; mean_reward/100_episodes = -504.77; snn_single_energy = 0; snn_total_energy = 2.0786394932591157; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.01, 2024-12-02 03:53:42
Episode no = 6200; won: False; iter_time_steps = 13; Q(s,a) = -20.0040717235131; score = -512.0; mean_score/100_episodes = -501.39; reward = -512.0; mean_reward/100_episodes = -504.68; snn_single_energy = 0; snn_total_energy = 2.1558574189645783; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.01, 2024-12-02 03:53:59
Episode no = 6300; won: False; iter_time_steps = 9; Q(s,a) = -19.058788184232895; score = -508.0; mean_score/100_episodes = -512.51; reward = -508.0; mean_reward/100_episodes = -512.05; snn_single_energy = 0; snn_total_energy = 2.238048460402946; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-02 03:54:18
Episode no = 6400; won: False; iter_time_steps = 36; Q(s,a) = -18.935762750318048; score = -525.0; mean_score/100_episodes = -503.5; reward = -524.0; mean_reward/100_episodes = -507.22; snn_single_energy = 0; snn_total_energy = 2.3313366329119427; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.01, 2024-12-02 03:54:42
Episode no = 6500; won: False; iter_time_steps = 15; Q(s,a) = -18.61936245763716; score = -514.0; mean_score/100_episodes = -514.32; reward = -514.0; mean_reward/100_episodes = -513.59; snn_single_energy = 0; snn_total_energy = 2.441347509292812; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-02 03:55:10
Episode no = 6600; won: False; iter_time_steps = 18; Q(s,a) = -19.20922993656265; score = -517.0; mean_score/100_episodes = -493.43; reward = -517.0; mean_reward/100_episodes = -500.49; snn_single_energy = 0; snn_total_energy = 2.554088061273704; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.02, 2024-12-02 03:55:37
Episode no = 6700; won: False; iter_time_steps = 15; Q(s,a) = -19.142530155152592; score = -504.0; mean_score/100_episodes = -504.96; reward = -492.0; mean_reward/100_episodes = -507.8; snn_single_energy = 0; snn_total_energy = 2.67811555497143; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.01, 2024-12-02 03:56:08
Episode no = 6800; won: False; iter_time_steps = 15; Q(s,a) = -17.66037288441892; score = -504.0; mean_score/100_episodes = -513.03; reward = -503.0; mean_reward/100_episodes = -511.78; snn_single_energy = 0; snn_total_energy = 2.795129216887071; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 03:56:36
Episode no = 6900; won: False; iter_time_steps = 15; Q(s,a) = -18.00182785808979; score = -504.0; mean_score/100_episodes = -514.73; reward = -503.0; mean_reward/100_episodes = -513.43; snn_single_energy = 0; snn_total_energy = 2.9292883193304937; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 03:57:07
Episode no = 7000; won: False; iter_time_steps = 46; Q(s,a) = -17.660038981392134; score = -535.0; mean_score/100_episodes = -505.23; reward = -534.0; mean_reward/100_episodes = -507.87; snn_single_energy = 0; snn_total_energy = 3.074732487332235; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-02 03:57:39
Episode no = 7100; won: False; iter_time_steps = 8; Q(s,a) = -18.75492081747413; score = -507.0; mean_score/100_episodes = -506.19; reward = -507.0; mean_reward/100_episodes = -509.06; snn_single_energy = 0; snn_total_energy = 3.2302997012140477; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-02 03:58:13
Episode no = 7200; won: False; iter_time_steps = 12; Q(s,a) = -18.797042176172702; score = -511.0; mean_score/100_episodes = -494.98; reward = -511.0; mean_reward/100_episodes = -501.89; snn_single_energy = 0; snn_total_energy = 3.379583971527138; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-02 03:58:44
Episode no = 7300; won: False; iter_time_steps = 10; Q(s,a) = -18.89594596498591; score = -509.0; mean_score/100_episodes = -507.53; reward = -509.0; mean_reward/100_episodes = -510.22; snn_single_energy = 0; snn_total_energy = 3.5594966750465233; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-02 03:59:20
Episode no = 7400; won: False; iter_time_steps = 29; Q(s,a) = -16.75472238931264; score = -518.0; mean_score/100_episodes = -506.16; reward = -517.0; mean_reward/100_episodes = -509.32; snn_single_energy = 0; snn_total_energy = 3.7277349352811977; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-02 03:59:54
Episode no = 7500; won: False; iter_time_steps = 10; Q(s,a) = -18.294690399379768; score = -509.0; mean_score/100_episodes = -495.99; reward = -509.0; mean_reward/100_episodes = -503.37; snn_single_energy = 0; snn_total_energy = 3.89624272945495; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-02 04:00:27
Episode no = 7600; won: False; iter_time_steps = 19; Q(s,a) = -16.45566516213336; score = -508.0; mean_score/100_episodes = -484.48; reward = -507.0; mean_reward/100_episodes = -495.66; snn_single_energy = 0; snn_total_energy = 4.0642788414083615; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.03, 2024-12-02 04:00:54
Episode no = 7700; won: False; iter_time_steps = 9; Q(s,a) = -18.59101021177534; score = -508.0; mean_score/100_episodes = -496.41; reward = -508.0; mean_reward/100_episodes = -503.3; snn_single_energy = 0; snn_total_energy = 4.258508365342198; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-02 04:01:25
