Episode no = 3500; won: False; iter_time_steps = 176; Q(s,a) = 172.87267711010736; score = -365.0; mean_score/100_episodes = -274.53; reward = -334.0; mean_reward/100_episodes = -267.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-20 14:46:34
Episode no = 3600; won: False; iter_time_steps = 28; Q(s,a) = 171.63218905698858; score = -397.0; mean_score/100_episodes = -277.96; reward = -384.0; mean_reward/100_episodes = -268.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-20 14:47:10
Episode no = 3700; won: False; iter_time_steps = 28; Q(s,a) = 172.19832055831856; score = -377.0; mean_score/100_episodes = -286.11; reward = -373.0; mean_reward/100_episodes = -283.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-20 14:47:40
Episode no = 3800; won: False; iter_time_steps = 102; Q(s,a) = 174.99462013591125; score = -221.0; mean_score/100_episodes = -263.23; reward = -183.0; mean_reward/100_episodes = -260.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-20 14:48:25
Episode no = 3900; won: False; iter_time_steps = 29; Q(s,a) = 175.6647734853121; score = -298.0; mean_score/100_episodes = -243.78; reward = -275.0; mean_reward/100_episodes = -250.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-20 14:49:14
Episode no = 4000; won: False; iter_time_steps = 30; Q(s,a) = 179.49447348149832; score = -389.0; mean_score/100_episodes = -247.49; reward = -386.0; mean_reward/100_episodes = -241.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-20 14:49:54
Episode no = 4100; won: False; iter_time_steps = 59; Q(s,a) = 178.01794311685512; score = -158.0; mean_score/100_episodes = -296.25; reward = -107.0; mean_reward/100_episodes = -287.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-20 14:50:27
Episode no = 4200; won: False; iter_time_steps = 95; Q(s,a) = 179.2014098405595; score = -104.0; mean_score/100_episodes = -286.57; reward = -224.0; mean_reward/100_episodes = -286.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-20 14:50:59
Episode no = 4300; won: False; iter_time_steps = 137; Q(s,a) = 179.410864919025; score = -296.0; mean_score/100_episodes = -195.43; reward = -262.0; mean_reward/100_episodes = -206.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-20 14:51:41
Episode no = 4400; won: False; iter_time_steps = 118; Q(s,a) = 195.8464667417313; score = 103.0; mean_score/100_episodes = -201.83; reward = -5.0; mean_reward/100_episodes = -206.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-20 14:52:25
Episode no = 4500; won: False; iter_time_steps = 117; Q(s,a) = 182.74172007888723; score = 104.0; mean_score/100_episodes = -255.28; reward = 7.0; mean_reward/100_episodes = -240.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-20 14:53:00
Episode no = 4600; won: False; iter_time_steps = 64; Q(s,a) = 185.61563919781366; score = -243.0; mean_score/100_episodes = -262.85; reward = -211.0; mean_reward/100_episodes = -251.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-20 14:53:31
Episode no = 4700; won: False; iter_time_steps = 75; Q(s,a) = 210.49517153928537; score = -204.0; mean_score/100_episodes = -228.89; reward = -167.0; mean_reward/100_episodes = -230.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-20 14:54:20
Episode no = 4800; won: False; iter_time_steps = 24; Q(s,a) = 186.4953476354108; score = -453.0; mean_score/100_episodes = -216.22; reward = -435.0; mean_reward/100_episodes = -211.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-20 14:55:02
Episode no = 4900; won: False; iter_time_steps = 125; Q(s,a) = 187.65063324409647; score = -44.0; mean_score/100_episodes = -232.57; reward = 14.0; mean_reward/100_episodes = -231.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-20 14:55:42
Episode no = 5000; won: False; iter_time_steps = 93; Q(s,a) = 187.5792102083389; score = -182.0; mean_score/100_episodes = -170.4; reward = -141.0; mean_reward/100_episodes = -184.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-20 14:56:25
Episode no = 5100; won: False; iter_time_steps = 315; Q(s,a) = 202.78320370850182; score = 426.0; mean_score/100_episodes = -175.86; reward = 212.0; mean_reward/100_episodes = -181.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-20 14:57:12
Episode no = 5200; won: False; iter_time_steps = 39; Q(s,a) = 189.37466586107652; score = -288.0; mean_score/100_episodes = -191.96; reward = -252.0; mean_reward/100_episodes = -205.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-20 14:57:54
Episode no = 5300; won: False; iter_time_steps = 15; Q(s,a) = 196.95105188693114; score = -404.0; mean_score/100_episodes = -188.65; reward = -393.0; mean_reward/100_episodes = -201.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-20 14:58:39
Episode no = 5400; won: False; iter_time_steps = 116; Q(s,a) = 190.41163677388573; score = -275.0; mean_score/100_episodes = -194.31; reward = -241.0; mean_reward/100_episodes = -203.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-20 14:59:25
Episode no = 5500; won: False; iter_time_steps = 80; Q(s,a) = 198.15037419405914; score = -49.0; mean_score/100_episodes = -132.35; reward = 15.0; mean_reward/100_episodes = -150.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-20 15:00:19
Episode no = 5600; won: False; iter_time_steps = 76; Q(s,a) = 191.647521544957; score = -235.0; mean_score/100_episodes = -103.24; reward = -201.0; mean_reward/100_episodes = -132.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-20 15:01:08
Episode no = 5700; won: False; iter_time_steps = 39; Q(s,a) = 191.659234809151; score = -268.0; mean_score/100_episodes = -137.64; reward = -241.0; mean_reward/100_episodes = -154.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-20 15:02:01
Episode no = 5800; won: False; iter_time_steps = 68; Q(s,a) = 191.66393866291943; score = -217.0; mean_score/100_episodes = -69.23; reward = -182.0; mean_reward/100_episodes = -123.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-20 15:02:52
