Episode no = 4100; won: False; iter_time_steps = 48; Q(s,a) = 139.73031137109837; score = -247.0; mean_score/100_episodes = -237.17; reward = -228.0; mean_reward/100_episodes = -216.39; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-29 06:27:16
Episode no = 4200; won: False; iter_time_steps = 25; Q(s,a) = 143.04971931830084; score = -374.0; mean_score/100_episodes = -261.78; reward = -370.0; mean_reward/100_episodes = -238.72; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-29 06:28:21
Episode no = 4300; won: False; iter_time_steps = 104; Q(s,a) = 144.7140128489631; score = -173.0; mean_score/100_episodes = -251.35; reward = -130.0; mean_reward/100_episodes = -221.24; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-29 06:29:29
Episode no = 4400; won: False; iter_time_steps = 39; Q(s,a) = 141.90723381788106; score = -218.0; mean_score/100_episodes = -237.5; reward = -186.0; mean_reward/100_episodes = -208.04; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-29 06:30:36
Episode no = 4500; won: False; iter_time_steps = 50; Q(s,a) = 145.05963163140328; score = -279.0; mean_score/100_episodes = -205.63; reward = -252.0; mean_reward/100_episodes = -183.62; and epsilon = 0.4, win percentage = 0.0, 2024-11-29 06:32:05
Episode no = 4600; won: False; iter_time_steps = 48; Q(s,a) = 147.35704756402356; score = -287.0; mean_score/100_episodes = -205.97; reward = -261.0; mean_reward/100_episodes = -178.7; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-29 06:33:25
Episode no = 4700; won: False; iter_time_steps = 33; Q(s,a) = 150.09880036040354; score = -342.0; mean_score/100_episodes = -250.22; reward = -323.0; mean_reward/100_episodes = -232.88; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-29 06:34:26
Episode no = 4800; won: False; iter_time_steps = 33; Q(s,a) = 153.48571560994225; score = -302.0; mean_score/100_episodes = -230.64; reward = -279.0; mean_reward/100_episodes = -206.1; and epsilon = 0.36, win percentage = 0.0, 2024-11-29 06:35:32
Episode no = 4900; won: False; iter_time_steps = 24; Q(s,a) = 149.43113143534936; score = -363.0; mean_score/100_episodes = -175.76; reward = -347.0; mean_reward/100_episodes = -148.31; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-29 06:36:52
Episode no = 5000; won: False; iter_time_steps = 192; Q(s,a) = 155.70617521797732; score = -41.0; mean_score/100_episodes = -183.13; reward = 24.0; mean_reward/100_episodes = -165.76; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-29 06:38:11
Episode no = 5100; won: False; iter_time_steps = 57; Q(s,a) = 157.62052072235826; score = -196.0; mean_score/100_episodes = -179.49; reward = -149.0; mean_reward/100_episodes = -155.75; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-29 06:39:24
Episode no = 5200; won: False; iter_time_steps = 77; Q(s,a) = 156.97956664536702; score = -36.0; mean_score/100_episodes = -166.02; reward = 18.0; mean_reward/100_episodes = -145.18; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-29 06:40:43
Episode no = 5300; won: False; iter_time_steps = 40; Q(s,a) = 157.22728389942543; score = -299.0; mean_score/100_episodes = -154.25; reward = -264.0; mean_reward/100_episodes = -133.05; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-29 06:42:04
