Episode no = 3700; won: False; iter_time_steps = 8; Q(s,a) = -15.848560417089605; score = -507.0; mean_score/100_episodes = -510.17; reward = -507.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:14:46
Episode no = 3800; won: False; iter_time_steps = 9; Q(s,a) = -16.278958011761677; score = -508.0; mean_score/100_episodes = -510.57; reward = -508.0; mean_reward/100_episodes = -510.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:14:57
Episode no = 3900; won: False; iter_time_steps = 23; Q(s,a) = -16.233178540073613; score = -522.0; mean_score/100_episodes = -511.27; reward = -522.0; mean_reward/100_episodes = -511.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:15:08
Episode no = 4000; won: False; iter_time_steps = 10; Q(s,a) = -16.29370441465563; score = -509.0; mean_score/100_episodes = -511.33; reward = -509.0; mean_reward/100_episodes = -511.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:15:18
Episode no = 4100; won: False; iter_time_steps = 10; Q(s,a) = -16.62997039430528; score = -509.0; mean_score/100_episodes = -511.44; reward = -509.0; mean_reward/100_episodes = -511.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:15:30
Episode no = 4200; won: False; iter_time_steps = 13; Q(s,a) = -16.833289971337905; score = -512.0; mean_score/100_episodes = -511.92; reward = -512.0; mean_reward/100_episodes = -512.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:15:43
Episode no = 4300; won: False; iter_time_steps = 10; Q(s,a) = -16.99488865548036; score = -509.0; mean_score/100_episodes = -511.13; reward = -509.0; mean_reward/100_episodes = -511.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:15:54
Episode no = 4400; won: False; iter_time_steps = 7; Q(s,a) = -17.099806360517952; score = -506.0; mean_score/100_episodes = -513.24; reward = -506.0; mean_reward/100_episodes = -513.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:16:08
Episode no = 4500; won: False; iter_time_steps = 14; Q(s,a) = -17.22289317059026; score = -513.0; mean_score/100_episodes = -512.59; reward = -513.0; mean_reward/100_episodes = -512.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:16:20
Episode no = 4600; won: False; iter_time_steps = 9; Q(s,a) = -17.10635024157755; score = -508.0; mean_score/100_episodes = -512.97; reward = -508.0; mean_reward/100_episodes = -512.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:16:31
Episode no = 4700; won: False; iter_time_steps = 14; Q(s,a) = -17.294815920442577; score = -513.0; mean_score/100_episodes = -512.07; reward = -513.0; mean_reward/100_episodes = -512.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:16:40
