Episode no = 4000; won: False; iter_time_steps = 71; Q(s,a) = 167.24369857758145; score = -130.0; mean_score/100_episodes = -215.7; reward = -75.0; mean_reward/100_episodes = -218.01; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-27 15:45:20
Episode no = 4100; won: False; iter_time_steps = 23; Q(s,a) = 166.95533387029488; score = -412.0; mean_score/100_episodes = -244.27; reward = -401.0; mean_reward/100_episodes = -235.67; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-27 15:48:00
Episode no = 4200; won: False; iter_time_steps = 85; Q(s,a) = 167.28314705573993; score = -214.0; mean_score/100_episodes = -198.97; reward = -177.0; mean_reward/100_episodes = -209.6; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-27 15:50:40
Episode no = 4300; won: False; iter_time_steps = 85; Q(s,a) = 167.73867962912695; score = -84.0; mean_score/100_episodes = -201.74; reward = -203.0; mean_reward/100_episodes = -213.76; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-27 15:53:21
Episode no = 4400; won: False; iter_time_steps = 29; Q(s,a) = 584.5334005397629; score = -388.0; mean_score/100_episodes = -161.88; reward = -363.0; mean_reward/100_episodes = -179.86; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-27 15:56:17
Episode no = 4500; won: False; iter_time_steps = 85; Q(s,a) = 169.4534859436939; score = -124.0; mean_score/100_episodes = -198.78; reward = -78.0; mean_reward/100_episodes = -204.35; and epsilon = 0.4, win percentage = 0.0, 2024-11-27 15:58:57
Episode no = 4600; won: False; iter_time_steps = 28; Q(s,a) = 176.8118421010872; score = -417.0; mean_score/100_episodes = -162.78; reward = -395.0; mean_reward/100_episodes = -184.85; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-27 16:01:35
Episode no = 4700; won: False; iter_time_steps = 85; Q(s,a) = 178.93273079234194; score = -164.0; mean_score/100_episodes = -127.15; reward = -122.0; mean_reward/100_episodes = -154.15; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-27 16:04:25
Episode no = 4800; won: False; iter_time_steps = 17; Q(s,a) = 288.99317167107205; score = -426.0; mean_score/100_episodes = -113.06; reward = -417.0; mean_reward/100_episodes = -144.3; and epsilon = 0.36, win percentage = 0.0, 2024-11-27 16:07:11
Episode no = 4900; won: False; iter_time_steps = 85; Q(s,a) = 181.1896828504386; score = -214.0; mean_score/100_episodes = -88.64; reward = -166.0; mean_reward/100_episodes = -119.0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-27 16:10:13
Episode no = 5000; won: False; iter_time_steps = 85; Q(s,a) = 177.45522073603962; score = -114.0; mean_score/100_episodes = -90.99; reward = -67.0; mean_reward/100_episodes = -123.53; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-27 16:13:06
Episode no = 5100; won: False; iter_time_steps = 49; Q(s,a) = 205.6446454819411; score = -288.0; mean_score/100_episodes = -142.73; reward = -251.0; mean_reward/100_episodes = -149.03; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-27 16:15:49
Episode no = 5200; won: False; iter_time_steps = 85; Q(s,a) = 182.97423568739347; score = 6.0; mean_score/100_episodes = -109.32; reward = 76.0; mean_reward/100_episodes = -127.06; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-27 16:18:46
Episode no = 5300; won: False; iter_time_steps = 85; Q(s,a) = 186.8094006567699; score = -124.0; mean_score/100_episodes = -91.61; reward = -78.0; mean_reward/100_episodes = -109.51; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-27 16:21:48
Episode no = 5400; won: False; iter_time_steps = 75; Q(s,a) = 204.42296843864068; score = -184.0; mean_score/100_episodes = -49.68; reward = -145.0; mean_reward/100_episodes = -89.47; and epsilon = 0.28, win percentage = 0.0, 2024-11-27 16:24:48
Episode no = 5500; won: False; iter_time_steps = 85; Q(s,a) = 190.36695106317057; score = 146.0; mean_score/100_episodes = -10.36; reward = 39.0; mean_reward/100_episodes = -64.79; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-27 16:27:56
Episode no = 5600; won: False; iter_time_steps = 85; Q(s,a) = 187.78203921611185; score = 136.0; mean_score/100_episodes = 33.07; reward = 28.0; mean_reward/100_episodes = -55.58; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-27 16:30:57
Episode no = 5700; won: False; iter_time_steps = 85; Q(s,a) = 185.26333014336822; score = 386.0; mean_score/100_episodes = -1.94; reward = 72.0; mean_reward/100_episodes = -59.23; and epsilon = 0.24, win percentage = 0.0, 2024-11-27 16:34:01
Episode no = 5800; won: False; iter_time_steps = 85; Q(s,a) = 178.13106545236846; score = -144.0; mean_score/100_episodes = 57.92; reward = -100.0; mean_reward/100_episodes = -13.47; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-27 16:37:15
Episode no = 5900; won: False; iter_time_steps = 46; Q(s,a) = 183.13132636955757; score = 15.0; mean_score/100_episodes = -37.58; reward = -109.0; mean_reward/100_episodes = -66.14; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-27 16:40:18
Episode no = 6000; won: False; iter_time_steps = 85; Q(s,a) = 192.0022137732871; score = 66.0; mean_score/100_episodes = -10.78; reward = -38.0; mean_reward/100_episodes = -52.37; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-27 16:43:19
Episode no = 6100; won: False; iter_time_steps = 56; Q(s,a) = 196.04781688618954; score = -265.0; mean_score/100_episodes = -30.64; reward = -247.0; mean_reward/100_episodes = -80.84; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-27 16:46:20
Episode no = 6200; won: False; iter_time_steps = 77; Q(s,a) = 182.56298725772172; score = 344.0; mean_score/100_episodes = 44.25; reward = 87.0; mean_reward/100_episodes = -32.04; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-27 16:49:22
Episode no = 6300; won: False; iter_time_steps = 85; Q(s,a) = 192.41242355553354; score = 496.0; mean_score/100_episodes = 125.74; reward = 244.0; mean_reward/100_episodes = 12.85; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-27 16:52:39
Episode no = 6400; won: False; iter_time_steps = 81; Q(s,a) = 214.09865271723368; score = 280.0; mean_score/100_episodes = 120.1; reward = 186.0; mean_reward/100_episodes = 35.32; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-27 16:55:58
Episode no = 6500; won: False; iter_time_steps = 85; Q(s,a) = 212.42107037268642; score = 386.0; mean_score/100_episodes = 238.55; reward = 123.0; mean_reward/100_episodes = 80.08; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-27 16:59:24
