mean_score,total_steps,std_score,max_score,min_score
-510.74,593,0.0,-510.74,-510.74
-503.39,594,0.0,-503.39,-503.39
-515.94,595,0.0,-515.94,-515.94
-515.23,596,0.0,-515.23,-515.23
-508.43,597,0.0,-508.43,-508.43
-511.54,598,0.0,-511.54,-511.54
-502.25,599,0.0,-502.25,-502.25
-517.17,600,0.0,-517.17,-517.17
-495.85,601,0.0,-495.85,-495.85
-517.71,602,0.0,-517.71,-517.71
-512.57,603,0.0,-512.57,-512.57
-509.24,604,0.0,-509.24,-509.24
-515.3,605,0.0,-515.3,-515.3
-508.65,606,0.0,-508.65,-508.65
-506.3,607,0.0,-506.3,-506.3
-507.51,608,0.0,-507.51,-507.51
-514.93,609,0.0,-514.93,-514.93
-495.62,610,0.0,-495.62,-495.62
-500.12,611,0.0,-500.12,-500.12
-513.82,612,0.0,-513.82,-513.82
-507.32,613,0.0,-507.32,-507.32
-507.67,614,0.0,-507.67,-507.67
-505.85,615,0.0,-505.85,-505.85
-508.22,616,0.0,-508.22,-508.22
-515.36,617,0.0,-515.36,-515.36
-509.86,618,0.0,-509.86,-509.86
-505.42,619,0.0,-505.42,-505.42
-502.36,620,0.0,-502.36,-502.36
-509.44,621,0.0,-509.44,-509.44
-505.0,622,0.0,-505.0,-505.0
-508.61,623,0.0,-508.61,-508.61
-501.74,624,0.0,-501.74,-501.74
-496.91,625,0.0,-496.91,-496.91
-509.54,626,0.0,-509.54,-509.54
-509.2,627,0.0,-509.2,-509.2
-508.41,628,0.0,-508.41,-508.41
-510.66,629,0.0,-510.66,-510.66
-502.75,630,0.0,-502.75,-502.75
-508.98,631,0.0,-508.98,-508.98
-513.54,632,0.0,-513.54,-513.54
-507.33,633,0.0,-507.33,-507.33
-503.58,634,0.0,-503.58,-503.58
-514.79,635,0.0,-514.79,-514.79
-515.64,636,0.0,-515.64,-515.64
-517.13,637,0.0,-517.13,-517.13
-508.2,638,0.0,-508.2,-508.2
-515.13,639,0.0,-515.13,-515.13
-511.62,640,0.0,-511.62,-511.62
-514.12,641,0.0,-514.12,-514.12
-508.25,642,0.0,-508.25,-508.25
-496.87,643,0.0,-496.87,-496.87
-514.75,644,0.0,-514.75,-514.75
-503.36,645,0.0,-503.36,-503.36
-507.76,646,0.0,-507.76,-507.76
-512.59,647,0.0,-512.59,-512.59
-512.82,648,0.0,-512.82,-512.82
-509.44,649,0.0,-509.44,-509.44
-516.21,650,0.0,-516.21,-516.21
-503.98,651,0.0,-503.98,-503.98
-516.09,652,0.0,-516.09,-516.09
-516.78,653,0.0,-516.78,-516.78
-511.51,654,0.0,-511.51,-511.51
-514.78,655,0.0,-514.78,-514.78
-517.35,656,0.0,-517.35,-517.35
-507.93,657,0.0,-507.93,-507.93
-512.17,658,0.0,-512.17,-512.17
-508.23,659,0.0,-508.23,-508.23
-507.5,660,0.0,-507.5,-507.5
-510.46,661,0.0,-510.46,-510.46
-512.54,662,0.0,-512.54,-512.54
